corner_id,corner,temp_c,vin_v,vout_0ma,vout_25ma,vout_50ma,ivin_0ma_ua,iload_25ma,iload_50ma,isns_mv_50ma,vth_mv_50ma,sense_margin_pct,ilim_1764_ma,ilim_1500_ma,ilim_0900_ma,ilim_0300_ma,ilim_0000_ma,pshort_mw,flat_0_vs_1500_pct
tt_-40c_2.97v,tt,-40,2.97,1.79948,1.79947,1.79947,11.1588,24.9927,49.9854,68.7787,100.836,31.7915,73.9134,73.9325,74.1351,74.4029,74.5806,221.505,0.876637
tt_-40c_3.30v,tt,-40,3.30,1.79945,1.79945,1.79944,12.8087,24.9923,49.9846,68.8688,101.224,31.9637,73.9427,74.0252,74.2701,74.5949,74.9244,247.25,1.21468
tt_-40c_3.63v,tt,-40,3.63,1.79938,1.79937,1.79937,14.4926,24.9913,49.9826,68.9181,101.566,32.1444,74.0445,74.149,74.421,74.9663,75.7578,275.001,2.16974
tt_27c_2.97v,tt,27,2.97,1.79938,1.79938,1.79938,12.2851,24.9914,49.9828,67.9175,100.875,32.6715,74.9422,74.9223,75.0583,75.2701,75.4174,223.99,0.660751
tt_27c_3.30v,tt,27,3.30,1.79935,1.79935,1.79934,14.0772,24.9909,49.9818,68.0069,101.227,32.8173,74.924,74.976,75.1621,75.4283,75.7155,249.861,0.986329
tt_27c_3.63v,tt,27,3.63,1.79926,1.79925,1.79925,15.909,24.9896,49.9792,68.055,101.535,32.974,74.9881,75.0661,75.2824,75.7522,76.4745,277.602,1.87617
tt_125c_2.97v,tt,125,2.97,1.79921,1.7992,1.7992,13.7055,24.9889,49.9778,67.4168,100.934,33.2069,75.626,75.5558,75.6132,75.7598,75.8713,225.338,0.417466
tt_125c_3.30v,tt,125,3.30,1.79916,1.79916,1.79916,15.6601,24.9883,49.9765,67.5058,101.251,33.3284,75.548,75.564,75.6817,75.88,76.1161,251.183,0.730573
tt_125c_3.63v,tt,125,3.63,1.79903,1.79902,1.79902,17.6691,24.9864,49.9728,67.5522,101.527,33.4641,75.5682,75.6153,75.7675,76.1478,76.7803,278.712,1.54064
ff_-40c_2.97v,ff,-40,2.97,1.79945,1.79945,1.79945,14.2827,24.9924,49.9848,55.7356,101.007,44.8203,91.4531,91.4629,91.6867,91.9924,92.2005,273.836,0.80648
ff_-40c_3.30v,ff,-40,3.30,1.79942,1.79942,1.79942,16.4147,24.9919,49.9838,55.793,101.382,44.9675,91.4731,91.5632,91.8404,92.2188,92.6188,305.642,1.15283
ff_-40c_3.63v,ff,-40,3.63,1.79934,1.79934,1.79934,18.5912,24.9908,49.9815,55.8239,101.71,45.1148,91.5845,91.7024,92.014,92.6714,93.6521,339.957,2.12611
ff_27c_2.97v,ff,27,2.97,1.79935,1.79934,1.79934,15.7565,24.9909,49.9818,54.9841,101.033,45.578,92.8025,92.7594,92.9022,93.1415,93.3124,277.138,0.596155
ff_27c_3.30v,ff,27,3.30,1.79931,1.7993,1.7993,18.0736,24.9903,49.9806,55.0409,101.375,45.7056,92.7592,92.812,93.0195,93.3273,93.6734,309.122,0.928167
ff_27c_3.63v,ff,27,3.63,1.7992,1.79919,1.79919,20.4481,24.9888,49.9776,55.0708,101.673,45.8352,92.8248,92.9113,93.1572,93.7201,94.609,343.431,1.82724
ff_125c_2.97v,ff,125,2.97,1.79909,1.79908,1.79908,17.2915,24.9873,49.9745,54.4994,101.082,46.084,93.8256,93.6965,93.7237,93.8758,93.9991,279.177,0.322904
ff_125c_3.30v,ff,125,3.30,1.79903,1.79902,1.79902,19.6498,24.9863,49.9726,54.5553,101.393,46.1941,93.6817,93.6805,93.7944,94.0127,94.2907,311.159,0.651288
ff_125c_3.63v,ff,125,3.63,1.79886,1.79885,1.79885,22.0221,24.984,49.968,54.5834,101.661,46.3087,93.6825,93.7264,93.8875,94.332,95.1005,345.215,1.46602
ss_-40c_2.97v,ss,-40,2.97,1.79949,1.79948,1.79948,9.1256,24.9928,49.9856,81.7915,100.672,18.7542,62.0097,62.0222,62.2005,62.4375,62.5924,185.899,0.919365
ss_-40c_3.30v,ss,-40,3.30,1.79946,1.79946,1.79946,10.4641,24.9925,49.9849,81.927,101.073,18.9424,62.0305,62.103,62.3198,62.6037,62.8829,207.514,1.25583
ss_-40c_3.63v,ss,-40,3.63,1.7994,1.7994,1.7994,11.8334,24.9916,49.9832,82.0007,101.427,19.153,62.1199,62.2124,62.4525,62.9171,63.5772,230.785,2.19381
ss_27c_2.97v,ss,27,2.97,1.7994,1.79939,1.79939,10.0242,24.9916,49.9831,80.816,100.726,19.7662,62.849,62.8298,62.95,63.1379,63.2669,187.903,0.695593
ss_27c_3.30v,ss,27,3.30,1.79937,1.79936,1.79936,11.4786,24.9912,49.9823,80.9524,101.089,19.9198,62.8306,62.8765,63.0415,63.2748,63.5194,209.614,1.02243
ss_27c_3.63v,ss,27,3.63,1.79929,1.79928,1.79928,12.9662,24.9901,49.9801,81.0256,101.408,20.0996,62.8869,62.9561,63.1472,63.549,64.1539,232.879,1.90258
ss_125c_2.97v,ss,125,2.97,1.79924,1.79923,1.79923,11.1632,24.9894,49.9787,80.2914,100.798,20.3446,63.3753,63.3186,63.3735,63.5065,63.6058,188.909,0.453642
ss_125c_3.30v,ss,125,3.30,1.7992,1.7992,1.7992,12.7491,24.9888,49.9777,80.4304,101.126,20.4649,63.3113,63.3274,63.4345,63.6109,63.8141,210.587,0.768704
ss_125c_3.63v,ss,125,3.63,1.79909,1.79908,1.79908,14.3745,24.9872,49.9745,80.5029,101.411,20.6173,63.3308,63.3739,63.5107,63.839,64.3727,233.673,1.57608
fs_-40c_2.97v,fs,-40,2.97,1.79947,1.79946,1.79946,11.291,24.9925,49.9851,68.799,100.713,31.6883,73.8547,73.855,74.0427,74.3026,74.4749,221.19,0.839374
fs_-40c_3.30v,fs,-40,3.30,1.79944,1.79944,1.79944,12.9289,24.9922,49.9845,68.8911,101.1,31.8581,73.8626,73.9376,74.1733,74.4889,74.8074,246.864,1.17636
fs_-40c_3.63v,fs,-40,3.63,1.7994,1.7994,1.7994,14.6024,24.9916,49.9832,68.9419,101.44,32.0366,73.9557,74.0557,74.3199,74.8477,75.6148,274.482,2.10532
fs_27c_2.97v,fs,27,2.97,1.79938,1.79937,1.79937,12.4217,24.9913,49.9826,67.9345,100.758,32.5767,74.905,74.8649,74.9841,75.1878,75.3302,223.731,0.621479
fs_27c_3.30v,fs,27,3.30,1.79935,1.79935,1.79935,14.2006,24.991,49.9819,68.0263,101.109,32.7201,74.8636,74.9071,75.083,75.3405,75.618,249.539,0.949083
fs_27c_3.63v,fs,27,3.63,1.7993,1.79929,1.79929,16.0188,24.9902,49.9804,68.0766,101.417,32.8744,74.9178,74.9907,75.199,75.653,76.3527,277.16,1.81624
fs_125c_2.97v,fs,125,2.97,1.79922,1.79921,1.79921,13.8458,24.9891,49.9781,67.431,100.821,33.118,75.6743,75.5621,75.5844,75.7165,75.822,225.191,0.343969
fs_125c_3.30v,fs,125,3.30,1.79919,1.79919,1.79918,15.7853,24.9887,49.9773,67.5233,101.138,33.2363,75.5478,75.5459,75.6432,75.829,76.0554,250.983,0.674464
fs_125c_3.63v,fs,125,3.63,1.79911,1.79911,1.79911,17.7736,24.9876,49.9752,67.5728,101.413,33.369,75.5469,75.5837,75.7215,76.0845,76.6958,278.406,1.47143
sf_-40c_2.97v,sf,-40,2.97,1.79948,1.79948,1.79948,11.032,24.9928,49.9856,68.7545,100.968,31.9046,73.9913,74.0236,74.2389,74.5145,74.6984,221.854,0.911614
sf_-40c_3.30v,sf,-40,3.30,1.79944,1.79944,1.79944,12.6929,24.9922,49.9844,68.8436,101.358,32.079,74.0359,74.1247,74.3782,74.7131,75.0551,247.682,1.25517
sf_-40c_3.63v,sf,-40,3.63,1.79933,1.79933,1.79933,14.3888,24.9907,49.9814,68.8911,101.703,32.2625,74.145,74.2536,74.5335,75.0987,75.9183,275.583,2.24184
sf_27c_2.97v,sf,27,2.97,1.79938,1.79938,1.79938,12.1542,24.9914,49.9827,67.8955,101.002,32.7781,75.0029,74.9967,75.1461,75.3655,75.5178,224.288,0.694951
sf_27c_3.30v,sf,27,3.30,1.79933,1.79933,1.79933,13.9591,24.9906,49.9812,67.9838,101.356,32.926,75.0007,75.0595,75.2545,75.5296,75.8277,250.232,1.02355
sf_27c_3.63v,sf,27,3.63,1.79918,1.79918,1.79918,15.8077,24.9886,49.9772,68.0297,101.667,33.0858,75.0728,75.1552,75.3791,75.8666,76.6145,278.111,1.94172
sf_125c_2.97v,sf,125,2.97,1.79917,1.79916,1.79916,13.5544,24.9884,49.9767,67.3954,101.061,33.3118,75.6506,75.5996,75.6744,75.8294,75.9448,225.556,0.456563
