table,device,corners_present,temps_present,missing_corners,missing_temps,status
fets/results/vth.csv,nfet_03v3,ff|fs|sf|ss|typical,-40|27|125,,,PASS
fets/results/vth.csv,nfet_06v0,ff|fs|sf|ss|typical,-40|27|125,,,PASS
fets/results/vth.csv,pfet_03v3,ff|fs|sf|ss|typical,-40|27|125,,,PASS
fets/results/vth.csv,pfet_06v0,ff|fs|sf|ss|typical,-40|27|125,,,PASS
fets/results/rdson_pmos.csv,pfet_03v3,ff|fs|sf|ss|typical,-40|27|125,,,PASS
fets/results/rdson_pmos.csv,pfet_05v0,ff|fs|sf|ss|typical,-40|27|125,,,PASS
fets/results/rdson_pmos.csv,pfet_06v0,ff|fs|sf|ss|typical,-40|27|125,,,PASS
fets/results/rdson_nmos.csv,nfet_03v3,ff|fs|sf|ss|typical,-40|27|125,,,PASS
fets/results/rdson_nmos.csv,nfet_06v0,ff|fs|sf|ss|typical,-40|27|125,,,PASS
fets/results/cgg_pmos.csv,pfet_03v3,ff|fs|sf|ss|typical,-40|27|125,,,PASS
fets/results/cgg_pmos.csv,pfet_05v0,ff|fs|sf|ss|typical,-40|27|125,,,PASS
fets/results/cgg_pmos.csv,pfet_06v0,ff|fs|sf|ss|typical,-40|27|125,,,PASS
fets/results/cgg_nmos.csv,nfet_03v3,ff|fs|sf|ss|typical,-40|27|125,,,PASS
fets/results/cgg_nmos.csv,nfet_06v0,ff|fs|sf|ss|typical,-40|27|125,,,PASS
fets/results/leak_pmos.csv,pfet_03v3,ff|fs|sf|ss|typical,-40|27|125,,,PASS
fets/results/leak_pmos.csv,pfet_05v0,ff|fs|sf|ss|typical,-40|27|125,,,PASS
fets/results/leak_pmos.csv,pfet_06v0,ff|fs|sf|ss|typical,-40|27|125,,,PASS
fets/results/leak_nmos.csv,nfet_03v3,ff|fs|sf|ss|typical,-40|27|125,,,PASS
fets/results/leak_nmos.csv,nfet_06v0,ff|fs|sf|ss|typical,-40|27|125,,,PASS
resistors/results/rsheet.csv,nplus_u,res_ff|res_ss|res_typical,-40|27|125,,,PASS
resistors/results/rsheet.csv,npolyf_u,res_ff|res_ss|res_typical,-40|27|125,,,PASS
resistors/results/rsheet.csv,nwell,res_ff|res_ss|res_typical,-40|27|125,,,PASS
resistors/results/rsheet.csv,pplus_u,res_ff|res_ss|res_typical,-40|27|125,,,PASS
resistors/results/rsheet.csv,ppolyf_s,res_ff|res_ss|res_typical,-40|27|125,,,PASS
resistors/results/rsheet.csv,ppolyf_u,res_ff|res_ss|res_typical,-40|27|125,,,PASS
resistors/results/rsheet.csv,ppolyf_u_1k,res_ff|res_ss|res_typical,-40|27|125,,,PASS
resistors/results/rsheet.csv,ppolyf_u_2k,res_ff|res_ss|res_typical,-40|27|125,,,PASS
resistors/results/rsheet.csv,ppolyf_u_3k,res_ff|res_ss|res_typical,-40|27|125,,,PASS
caps/results/mim.csv,cap_mim_1f0_m2m3_noshield,mimcap_ff|mimcap_ss|mimcap_typical,-40|27|125,,,PASS
caps/results/mim.csv,cap_mim_1f5_m2m3_noshield,mimcap_ff|mimcap_ss|mimcap_typical,-40|27|125,,,PASS
caps/results/mim.csv,cap_mim_1f5_m3m4_noshield,mimcap_ff|mimcap_ss|mimcap_typical,-40|27|125,,,PASS
caps/results/mim.csv,cap_mim_1f5_m4m5_noshield,mimcap_ff|mimcap_ss|mimcap_typical,-40|27|125,,,PASS
caps/results/mim.csv,cap_mim_1f5_m5m6_noshield,mimcap_ff|mimcap_ss|mimcap_typical,-40|27|125,,,PASS
caps/results/mim.csv,cap_mim_2f0_m2m3_noshield,mimcap_ff|mimcap_ss|mimcap_typical,-40|27|125,,,PASS
caps/results/moscap.csv,cap_nmos_03v3,moscap_ff|moscap_ss|moscap_typical,-40|27|125,,,PASS
caps/results/moscap.csv,cap_nmos_03v3_b,moscap_ff|moscap_ss|moscap_typical,-40|27|125,,,PASS
caps/results/moscap.csv,cap_nmos_06v0,moscap_ff|moscap_ss|moscap_typical,-40|27|125,,,PASS
caps/results/moscap.csv,cap_pmos_03v3,moscap_ff|moscap_ss|moscap_typical,-40|27|125,,,PASS
caps/results/moscap.csv,cap_pmos_03v3_b,moscap_ff|moscap_ss|moscap_typical,-40|27|125,,,PASS
caps/results/moscap.csv,cap_pmos_06v0,moscap_ff|moscap_ss|moscap_typical,-40|27|125,,,PASS
