corner_id,corner,temp_c,vin_v,cout,esr_ohm,rload_ohm,t_v04,t_v14,t_startup,vout_max_en,vout_settled,icap_peak_ma,isup_peak_ma,dvout_max,dvout_min,ssr_end,hg_end,vout_pp_late,vout_off_tran,pg_off_tran,ssr_off_tran,hg_off_tran,slope_vpms,t_startup_ms
ff_-40c_2.97v_0.33u_0.001_36,ff,-40,2.97,0.33u,0.001,36,0.000237433,0.000601508,0.000637815,1.79945,1.79945,103.431,107.617,310.394,-31.4742,2.15667,2.97,3.92602e-09,2.70897e-09,2.97004,1.74192e-08,8.86482e-06,2.74669,0.637815
ff_-40c_2.97v_0.33u_0.5_36,ff,-40,2.97,0.33u,0.5,36,0.000237439,0.000601513,0.000637807,1.79947,1.79945,188.33,194.223,602.033,-1423.56,2.15667,2.97,4.02843e-05,4.13604e-08,2.96997,9.22213e-09,6.78855e-06,2.74669,0.637807
ff_-40c_2.97v_1u_0.1_1e9,ff,-40,2.97,1u,0.1,1e9,0.000237374,0.000601468,0.00063775,1.80055,1.79945,270.544,270.593,372.599,-1154.08,2.15667,2.97,7.76693e-06,1.79765,2.97,1.45082e-08,2.53681e-06,2.74654,0.63775
ff_-40c_2.97v_1u_0.1_36,ff,-40,2.97,1u,0.1,36,0.000237429,0.000601507,0.00063781,1.79945,1.79945,271.629,274.011,367.027,-813.716,2.15667,2.97,4.66061e-06,1.10133e-08,2.96996,1.08295e-08,4.23241e-06,2.74666,0.63781
ff_-40c_2.97v_4.7u_0.001_36,ff,-40,2.97,4.7u,0.001,36,0.000237411,0.000601497,0.000637777,1.79945,1.79945,330.689,333.634,70.2195,-1.41226,2.15667,2.97,5.881e-09,0.00882429,2.96996,1.46913e-08,7.9477e-06,2.7466,0.637777
ff_-40c_2.97v_4.7u_0.5_36,ff,-40,2.97,4.7u,0.5,36,0.00023741,0.000601496,0.000637786,1.79959,1.79945,329.607,336.302,637.008,-4630.12,2.15667,2.97,1.49547e-05,0.00935993,2.97002,9.07322e-09,8.34252e-06,2.7466,0.637786
ff_-40c_3.30v_1u_0.1_36,ff,-40,3.30,1u,0.1,36,0.000257872,0.000617438,0.000652738,1.79942,1.79942,131.101,133.308,152.336,-3.64024,2.23599,3.3,9.14683e-08,1.08678e-08,3.29999,1.56344e-08,9.5308e-06,2.78113,0.652738
ff_-40c_3.63v_0.33u_0.001_36,ff,-40,3.63,0.33u,0.001,36,0.000278418,0.000636599,0.000719223,1.79933,1.79933,69.4375,75.256,200.158,-23.1393,2.31109,3.63,5.67536e-09,2.35094e-08,3.62995,-4.23667e-08,9.07217e-06,2.79188,0.719223
ff_-40c_3.63v_0.33u_0.5_36,ff,-40,3.63,0.33u,0.5,36,0.000278416,0.000636597,0.000719222,1.79933,1.79933,149.042,153.23,599.931,-1074.42,2.31109,3.63,3.57887e-06,1.14725e-07,3.62993,-1.38868e-07,7.71476e-06,2.79188,0.719222
ff_-40c_3.63v_1u_0.1_1e9,ff,-40,3.63,1u,0.1,1e9,0.000278368,0.000636562,0.000719054,1.79945,1.79934,166.804,166.851,179.325,-60.7642,2.31109,3.63,1.88237e-06,1.79754,3.63001,-7.69087e-08,3.17285e-06,2.79178,0.719054
ff_-40c_3.63v_1u_0.1_36,ff,-40,3.63,1u,0.1,36,0.000278414,0.000636596,0.00071921,1.79933,1.79933,109.816,111.335,107.206,-3.90189,2.31109,3.63,9.69779e-08,4.73323e-08,3.6299,-1.73901e-07,8.20188e-06,2.79188,0.71921
ff_-40c_3.63v_4.7u_0.001_36,ff,-40,3.63,4.7u,0.001,36,0.000278407,0.000636593,0.000719147,1.79933,1.79933,177.857,178.889,36.1671,-0.523053,2.31109,3.63,6.86208e-08,0.00882138,3.62993,-2.83454e-08,8.75218e-06,2.79185,0.719147
ff_-40c_3.63v_4.7u_0.5_36,ff,-40,3.63,4.7u,0.5,36,0.000278408,0.000636594,0.000719147,1.79933,1.79933,148.856,151.094,350.504,-866.35,2.31109,3.63,1.91057e-06,0.0093568,3.62997,-5.26214e-08,6.99418e-06,2.79185,0.719147
ff_125c_2.97v_0.33u_0.001_36,ff,125,2.97,0.33u,0.001,36,0.000217096,0.000510258,0.000547168,1.79901,1.79901,105.575,113.576,202.68,-31.3063,1.98709,2.97,1.34323e-09,6.05951e-06,2.97003,1.83438e-07,2.30381e-06,3.41108,0.547168
ff_125c_2.97v_0.33u_0.5_36,ff,125,2.97,0.33u,0.5,36,0.000217097,0.000510259,0.000547169,1.79901,1.79901,88.0432,95.9242,190.161,-24.8653,1.98709,2.97,3.60379e-08,6.04841e-06,2.97001,1.37913e-07,2.10127e-06,3.41108,0.547169
ff_125c_2.97v_1u_0.1_1e9,ff,125,2.97,1u,0.1,1e9,0.000217006,0.000510193,0.000546625,1.79932,1.79903,46.0601,46.098,33.0831,-0.000730877,1.98709,2.97,1.33543e-05,1.7973,2.97,4.4589e-08,8.61396e-07,3.41079,0.546625
ff_125c_2.97v_1u_0.1_36,ff,125,2.97,1u,0.1,36,0.00021709,0.000510257,0.000547122,1.79901,1.79901,111.226,114.875,85.1805,-5.47832,1.98709,2.97,9.95847e-10,6.06003e-06,2.97,2.08375e-08,4.0798e-07,3.41103,0.547122
ff_125c_2.97v_4.7u_0.001_36,ff,125,2.97,4.7u,0.001,36,0.000217078,0.000510253,0.000546936,1.79901,1.79901,220.65,222.332,45.8396,-1.3261,1.98709,2.97,1.89683e-09,0.00882401,2.97002,6.31309e-08,2.49965e-06,3.41093,0.546936
ff_125c_2.97v_4.7u_0.5_36,ff,125,2.97,4.7u,0.5,36,0.000217084,0.00051025,0.000546928,1.79903,1.79902,196.949,201.315,396.281,-1400.89,1.98709,2.97,3.42092e-05,0.00935933,2.97001,-3.2975e-08,1.85884e-06,3.41104,0.546928
ff_125c_3.30v_1u_0.1_36,ff,125,3.30,1u,0.1,36,0.000232428,0.00053657,0.00065037,1.79839,1.79839,136.922,138.515,115.241,-4.18753,2.06499,3.3,1.73799e-08,6.80917e-06,3.3,4.12648e-08,2.03048e-06,3.28794,0.65037
ff_125c_3.63v_0.33u_0.001_36,ff,125,3.63,0.33u,0.001,36,0.000261304,0.000629484,0.000773127,1.79357,1.79357,46.0599,49.8504,98.038,-12.835,2.13907,3.63,6.47088e-09,7.71461e-06,3.62999,1.30881e-07,1.12299e-06,2.71606,0.773127
ff_125c_3.63v_0.33u_0.5_36,ff,125,3.63,0.33u,0.5,36,0.000261304,0.000629484,0.000773127,1.79357,1.79357,37.6892,49.8507,82.1068,-11.9644,2.13907,3.63,7.15848e-07,7.73417e-06,3.62998,3.1424e-07,1.46302e-06,2.71606,0.773127
