corner_id,corner,temp_c,vin_v,cout,esr_ohm,rload_ohm,t_v04,t_v14,t_startup,vout_max_en,vout_settled,icap_peak_ma,isup_peak_ma,dvout_max,dvout_min,ssr_end,clg_end,vout_pp_late,vout_off_tran,pg_off_tran,ssr_off_tran,clg_off_tran,slope_vpms,t_startup_ms
ff_-40c_2.97v_0.33u_0.001_36,ff,-40,2.97,0.33u,0.001,36,0.000828947,0.00237304,0.00282523,2.14708,1.9995,117.7,171.706,336.916,-172.06,2.15671,2.31486,0.695839,2.61132e-09,2.97001,2.06303e-09,1.03843e-05,0.647629,2.82523
ff_-40c_2.97v_0.33u_0.5_36,ff,-40,2.97,0.33u,0.5,36,0.000828945,0.00237303,0.00282523,1.80762,1.79953,2.76397,52.3868,8.2846,-5.86766,2.15667,2.96994,3.74289e-10,-6.18643e-08,2.97004,-3.77768e-09,4.41421e-05,0.647633,2.82523
ff_-40c_2.97v_1u_0.1_1e9,ff,-40,2.97,1u,0.1,1e9,0.000911897,0.00237296,0.00273028,1.83595,1.83217,8.58615,8.60197,8.54373,-0.000785452,2.15667,2.96994,0.000309883,1.83026,2.97,6.21135e-09,3.08035e-06,0.684433,2.73028
ff_-40c_2.97v_1u_0.1_36,ff,-40,2.97,1u,0.1,36,0.000828801,0.00237304,0.00282523,1.84895,1.83184,58.1767,108.36,51.7171,-43.1011,2.15668,3.08291,0.0881141,9.69572e-09,2.96998,1.73384e-08,-2.38605e-05,0.647568,2.82523
ff_-40c_2.97v_4.7u_0.001_36,ff,-40,2.97,4.7u,0.001,36,0.000808789,0.00237195,0.00282476,1.83328,1.82466,82.1726,132.181,17.4774,-10.6557,2.15668,2.92128,0.0582997,0.00872592,2.96999,1.02622e-08,-1.1331e-05,0.639729,2.82476
ff_-40c_2.97v_4.7u_0.5_36,ff,-40,2.97,4.7u,0.5,36,0.000829951,0.00237304,0.00282524,1.80824,1.79953,22.2569,53.5039,4.81837,-2.65201,2.15667,2.96994,9.08525e-10,0.00935925,2.96999,8.34608e-09,-5.77279e-06,0.648051,2.82524
ff_-40c_3.30v_1u_0.1_36,ff,-40,3.30,1u,0.1,36,0.000850966,0.00240529,0.00286574,1.81225,1.80017,15.3305,65.376,11.2498,-11.0209,2.23599,3.29959,0.00170598,9.93153e-09,3.3,1.18286e-08,-4.92362e-06,0.643367,2.86574
ff_-40c_3.63v_0.33u_0.001_36,ff,-40,3.63,0.33u,0.001,36,0.000870115,0.002431,0.00289577,1.99819,1.73724,149.155,201.135,434.002,-161.413,2.31108,3.49728,0.321447,2.32171e-08,3.62999,1.70471e-08,-1.38947e-05,0.640662,2.89577
ff_-40c_3.63v_0.33u_0.5_36,ff,-40,3.63,0.33u,0.5,36,0.000870115,0.002431,0.00289577,1.80579,1.79943,2.73893,51.8272,8.1955,-4.28543,2.31109,3.62993,1.14963e-09,5.02687e-08,3.62998,2.076e-08,-1.70915e-05,0.640662,2.89577
ff_-40c_3.63v_1u_0.1_1e9,ff,-40,3.63,1u,0.1,1e9,0.000913899,0.00242855,0.00291167,1.82708,1.82338,8.48349,8.50404,8.43723,-0.00101935,2.31109,3.62993,0.000302406,1.82148,3.63001,7.01955e-10,1.5042e-05,0.660218,2.91167
ff_-40c_3.63v_1u_0.1_36,ff,-40,3.63,1u,0.1,36,0.000870076,0.00243099,0.00289576,1.80897,1.79943,11.8431,61.87,8.47552,-8.50068,2.31109,3.62993,1.0711e-07,2.65639e-08,3.62999,1.51399e-08,-1.05194e-05,0.64065,2.89576
ff_-40c_3.63v_4.7u_0.001_36,ff,-40,3.63,4.7u,0.001,36,0.00088273,0.00242892,0.00289642,1.82589,1.8153,94.4482,144.488,19.1495,-10.6782,2.31109,3.86692,0.0525812,0.00886899,3.62997,1.60764e-08,-2.71013e-05,0.646751,2.89642
ff_-40c_3.63v_4.7u_0.5_36,ff,-40,3.63,4.7u,0.5,36,0.000869312,0.00243092,0.0028957,1.8065,1.79943,22.0151,53.3266,4.77275,-2.21129,2.31109,3.62993,1.06894e-09,0.0093556,3.63001,1.19167e-08,1.03788e-05,0.640366,2.8957
ff_125c_2.97v_0.33u_0.001_36,ff,125,2.97,0.33u,0.001,36,0.00076391,0.00196014,0.00228891,2.01761,1.67598,59.7438,110.359,172.374,-160.442,1.98707,3.66671,0.455825,6.05931e-06,2.96998,4.5225e-08,-2.1842e-05,0.83596,2.28891
ff_125c_2.97v_0.33u_0.5_36,ff,125,2.97,0.33u,0.5,36,0.00076391,0.00196014,0.00228891,1.80196,1.79927,1.59156,50.5752,4.81239,-1.41845,1.98709,2.96669,7.12399e-10,6.06038e-06,2.97,4.39476e-08,-9.41988e-07,0.83596,2.28891
ff_125c_2.97v_1u_0.1_1e9,ff,125,2.97,1u,0.1,1e9,0.000756368,0.00190916,0.00235379,1.82154,1.8199,6.1038,6.12355,6.08895,-0.00030611,1.98709,2.96669,0.000120489,1.81813,2.97,4.53829e-08,1.47156e-06,0.867459,2.35379
ff_125c_2.97v_1u_0.1_36,ff,125,2.97,1u,0.1,36,0.000763305,0.00196014,0.00228891,1.88063,1.79075,70.7904,121.232,64.1305,-49.1776,1.98709,2.47159,0.160176,6.05231e-06,2.97003,3.54148e-08,3.09957e-05,0.835537,2.28891
ff_125c_2.97v_4.7u_0.001_36,ff,125,2.97,4.7u,0.001,36,0.000767218,0.00195856,0.00228875,1.83962,1.78454,70.1598,120.266,14.5328,-10.6022,1.98709,3.36906,0.0691061,0.008985,2.97,4.42755e-08,1.61691e-06,0.83939,2.28875
ff_125c_2.97v_4.7u_0.5_36,ff,125,2.97,4.7u,0.5,36,0.000762178,0.00196015,0.00228893,1.80459,1.79927,18.9961,53.9655,4.07449,-1.11694,1.98709,2.96669,2.92356e-10,0.00935935,2.97,4.33821e-08,2.49341e-07,0.834744,2.28893
ff_125c_3.30v_1u_0.1_36,ff,125,3.30,1u,0.1,36,0.000786408,0.00199074,0.00232492,1.86668,1.84503,66.6654,116.919,65.0163,-46.9215,2.065,3.53474,0.133854,6.81479e-06,3.29997,5.10022e-08,-2.63111e-05,0.830336,2.32492
ff_125c_3.63v_0.33u_0.001_36,ff,125,3.63,0.33u,0.001,36,0.000806553,0.00201689,0.00235452,1.97395,1.94441,78.3383,128.56,224.094,-157.341,2.1391,3.72518,0.35126,7.7142e-06,3.62999,4.79386e-08,-1.0108e-05,0.826216,2.35452
ff_125c_3.63v_0.33u_0.5_36,ff,125,3.63,0.33u,0.5,36,0.000806553,0.00201689,0.00235452,1.80055,1.7991,1.55326,50.2957,4.69126,-0.726588,2.13907,3.62632,1.05341e-09,7.74404e-06,3.62998,4.88581e-08,-2.44957e-05,0.826216,2.35452
ff_125c_3.63v_1u_0.1_1e9,ff,125,3.63,1u,0.1,1e9,0.000819876,0.00204061,0.002307,1.81116,1.80979,5.9349,5.95978,5.92346,-0.000258462,2.13907,3.62632,0.00010212,1.80806,3.63,4.31618e-08,4.10744e-06,0.819179,2.307
ff_125c_3.63v_1u_0.1_36,ff,125,3.63,1u,0.1,36,0.000807022,0.00201689,0.00235452,1.85836,1.8006,62.9443,113.184,58.4415,-45.1664,2.13907,4.03501,0.1188,7.71497e-06,3.63,4.38986e-08,-3.4021e-06,0.826536,2.35452
ff_125c_3.63v_4.7u_0.001_36,ff,125,3.63,4.7u,0.001,36,0.000793978,0.00201896,0.00235503,1.83063,1.77779,75.6482,125.63,14.2978,-10.3117,2.13906,3.92219,0.0638759,0.00869459,3.63001,4.57093e-08,1.36185e-05,0.816339,2.35503
ff_125c_3.63v_4.7u_0.5_36,ff,125,3.63,4.7u,0.5,36,0.00079958,0.0020169,0.00235453,1.80295,1.7991,18.6238,53.7957,3.99558,-0.846822,2.13907,3.62632,1.36394e-10,0.00935925,3.63,4.26512e-08,-7.60053e-07,0.821477,2.35453
ff_27c_2.97v_1u_0.1_36,ff,27,2.97,1u,0.1,36,0.000783332,0.00214682,0.00253462,1.88132,1.87053,86.875,137.177,77.238,-50.2629,2.08825,3.01964,0.162454,3.20281e-09,2.97004,-1.40319e-09,3.96865e-05,0.733413,2.53462
ff_27c_3.30v_1u_0.1_36,ff,27,3.30,1u,0.1,36,0.000805769,0.00217908,0.00257383,1.86234,1.81591,72.4502,122.799,65.4486,-47.9712,2.16691,2.96348,0.10179,1.45904e-08,3.30002,-1.44408e-09,2.27859e-05,0.728167,2.57383
ff_27c_3.63v_1u_0.1_36,ff,27,3.63,1u,0.1,36,0.000826726,0.00220564,0.00260435,1.82245,1.79607,26.578,76.6616,25.8813,-20.7317,2.24155,3.78568,0.0453945,4.20986e-08,3.62998,9.1278e-09,-1.73351e-05,0.725208,2.60435
fs_-40c_2.97v_1u_0.1_36,fs,-40,2.97,1u,0.1,36,0.00110664,0.0033593,0.00403906,1.81571,1.79954,12.0224,62.0244,10.2091,-11.1908,2.19462,2.9699,6.27549e-09,-2.91791e-09,2.97002,5.0097e-09,1.63401e-05,0.44392,4.03906
fs_-40c_3.30v_1u_0.1_36,fs,-40,3.30,1u,0.1,36,0.00114603,0.00343044,0.00414669,1.81152,1.79953,9.29875,59.2619,8.0241,-8.37844,2.19547,3.29989,4.76709e-09,2.00495e-09,3.30001,6.40631e-09,6.87323e-06,0.43775,4.14669
fs_-40c_3.63v_1u_0.1_36,fs,-40,3.63,1u,0.1,36,0.00117955,0.00348036,0.00420985,1.80925,1.79949,8.00941,58.0416,6.61997,-7.14119,2.19605,3.62988,6.1263e-09,1.97037e-08,3.62997,1.20306e-08,-3.01984e-05,0.43463,4.20985
fs_125c_2.97v_1u_0.1_36,fs,125,2.97,1u,0.1,36,0.000989193,0.00273412,0.00325034,1.81459,1.79954,10.9161,60.9453,9.68406,-9.37828,2.155,2.96969,0.00124861,9.64949e-08,2.97002,2.51625e-08,2.11166e-05,0.57309,3.25034
fs_125c_3.30v_1u_0.1_36,fs,125,3.30,1u,0.1,36,0.00102754,0.00279329,0.00332564,1.81095,1.79932,8.45932,58.4765,7.44851,-7.25366,2.24078,3.29737,2.90562e-06,1.21533e-07,3.29995,4.57927e-08,-4.98971e-05,0.566332,3.32564
fs_125c_3.63v_1u_0.1_36,fs,125,3.63,1u,0.1,36,0.00106282,0.00284172,0.00338276,1.80864,1.79926,6.78885,56.834,5.9677,-6.09557,2.32228,3.62721,1.12148e-08,1.27442e-07,3.63001,2.46171e-08,8.55637e-06,0.562145,3.38276
fs_27c_2.97v_1u_0.1_36,fs,27,2.97,1u,0.1,36,0.00103233,0.00302302,0.00361923,1.81565,1.79947,12.2777,62.3554,10.6923,-10.838,2.25563,2.9699,1.14611e-07,-4.67612e-09,2.97003,1.15476e-09,2.78823e-05,0.502338,3.61923
fs_27c_3.30v_1u_0.1_36,fs,27,3.30,1u,0.1,36,0.00107177,0.00308897,0.00371009,1.81237,1.79945,9.82696,59.8334,8.52477,-8.75515,2.34213,3.29989,4.51841e-09,9.43731e-09,3.29998,1.87942e-08,-2.33165e-05,0.495737,3.71009
fs_27c_3.63v_1u_0.1_36,fs,27,3.63,1u,0.1,36,0.00110695,0.00313914,0.00377136,1.80993,1.79941,8.21052,58.1981,7.04017,-7.23631,2.41913,3.62988,6.06213e-09,2.68054e-08,3.62994,2.9746e-08,-6.44445e-05,0.49208,3.77136
res_ff_-40c_2.97v_0.33u_0.001_36,res_ff,-40,2.97,0.33u,0.001,36,0.000876625,0.00257705,0.00307659,2.26751,1.43975,91.68,144.197,270.144,-173.912,2.26018,2.92485,0.849546,1.60448e-09,2.97001,6.62638e-09,7.22255e-06,0.588088,3.07659
res_ff_-40c_2.97v_0.33u_0.5_36,res_ff,-40,2.97,0.33u,0.5,36,0.000876625,0.00257705,0.00307659,1.80951,1.79952,2.74938,52.5745,8.28038,-7.25958,2.26026,2.96994,3.0546e-10,-1.29152e-08,2.97001,6.687e-09,1.06881e-05,0.588088,3.07659
res_ff_-40c_2.97v_1u_0.1_1e9,res_ff,-40,2.97,1u,0.1,1e9,0.000805046,0.00254415,0.00300353,1.81367,1.81006,8.5681,8.58343,8.52971,-0.000759266,2.26026,2.96994,0.00030083,1.80817,2.97,8.76911e-09,-3.76175e-06,0.575009,3.00353
res_ff_-40c_2.97v_1u_0.1_36,res_ff,-40,2.97,1u,0.1,36,0.00087645,0.00257705,0.00307659,1.81706,1.79951,17.1252,67.128,13.8164,-13.5428,2.26026,2.96994,2.30789e-05,2.82189e-10,2.97,8.49621e-09,4.96977e-06,0.588028,3.07659
res_ff_-40c_2.97v_4.7u_0.001_36,res_ff,-40,2.97,4.7u,0.001,36,0.000851262,0.00257595,0.0030766,1.84853,1.81587,94.6766,144.81,18.856,-10.8017,2.26026,3.38256,0.0751033,0.00864806,2.97002,4.09395e-09,2.1136e-05,0.579815,3.0766
res_ff_-40c_2.97v_4.7u_0.5_36,res_ff,-40,2.97,4.7u,0.5,36,0.00087798,0.00257706,0.00307661,1.80998,1.79952,21.9172,53.3932,4.73624,-2.91097,2.26026,2.96994,8.99375e-10,0.00936098,2.97,9.51636e-09,2.94972e-09,0.588554,3.07661
res_ff_-40c_3.30v_1u_0.1_36,res_ff,-40,3.30,1u,0.1,36,0.000904632,0.00262276,0.00313933,1.81229,1.79949,13.0395,63.0939,10.345,-10.3183,2.34497,3.29993,1.08048e-08,7.31428e-09,3.29999,1.39282e-08,-8.11742e-06,0.582029,3.13933
res_ff_-40c_3.63v_0.33u_0.001_36,res_ff,-40,3.63,0.33u,0.001,36,0.00093025,0.00265843,0.00318241,2.04491,1.63345,147.102,197.972,443.088,-163.464,2.42508,3.54142,0.363795,1.3956e-08,3.63,1.1619e-08,-2.24606e-06,0.578643,3.18241
res_ff_-40c_3.63v_0.33u_0.5_36,res_ff,-40,3.63,0.33u,0.5,36,0.00093025,0.00265843,0.00318241,1.80695,1.79943,2.72343,52.015,8.15587,-4.57767,2.42511,3.62992,3.57684e-10,6.45475e-08,3.62997,2.09969e-08,-3.35175e-05,0.578643,3.18241
res_ff_-40c_3.63v_1u_0.1_1e9,res_ff,-40,3.63,1u,0.1,1e9,0.00101241,0.00258725,0.00317704,1.82558,1.82207,8.39376,8.41322,8.3532,-0.00078377,2.42511,3.62992,0.000302728,1.82018,3.62998,1.42087e-08,-2.10435e-05,0.634985,3.17704
res_ff_-40c_3.63v_1u_0.1_36,res_ff,-40,3.63,1u,0.1,36,0.000930208,0.00265843,0.00318241,1.81,1.79943,10.5748,60.6535,8.42628,-8.52315,2.42511,3.62992,5.03854e-10,2.22576e-08,3.62997,1.90513e-08,-2.73236e-05,0.578629,3.18241
res_ff_-40c_3.63v_4.7u_0.001_36,res_ff,-40,3.63,4.7u,0.001,36,0.000932469,0.00265842,0.00318249,1.82523,1.77693,73.1763,123.172,15.4184,-9.95884,2.42511,3.46428,0.0511968,0.00893059,3.62999,1.48332e-08,-8.68269e-06,0.579391,3.18249
res_ff_-40c_3.63v_4.7u_0.5_36,res_ff,-40,3.63,4.7u,0.5,36,0.000929786,0.00265843,0.00318241,1.80772,1.79943,21.5043,53.0948,4.65563,-2.45799,2.42511,3.62992,1.4991e-10,0.00935931,3.62999,1.21369e-08,-6.03599e-06,0.578488,3.18241
res_ff_125c_2.97v_0.33u_0.001_36,res_ff,125,2.97,0.33u,0.001,36,0.000789626,0.00209635,0.00246084,2.08812,1.70684,65.148,116.296,189.363,-161.773,2.09451,2.28257,0.585475,5.08718e-07,2.96999,2.28999e-08,-9.31287e-06,0.765273,2.46084
res_ff_125c_2.97v_0.33u_0.5_36,res_ff,125,2.97,0.33u,0.5,36,0.000789626,0.00209635,0.00246084,1.8056,1.7993,1.71249,51.3755,5.1776,-3.64482,2.09453,2.9696,6.74913e-09,5.64591e-07,2.96994,4.07288e-08,-5.80226e-05,0.765273,2.46084
res_ff_125c_2.97v_1u_0.1_1e9,res_ff,125,2.97,1u,0.1,1e9,0.000837103,0.00218003,0.00237142,1.82753,1.82547,6.43019,6.44887,6.41768,-0.000399794,2.09453,2.9696,0.000157317,1.82361,2.97,2.65035e-08,-1.24523e-08,0.744642,2.37142
res_ff_125c_2.97v_1u_0.1_36,res_ff,125,2.97,1u,0.1,36,0.000789746,0.00209635,0.00246085,1.90861,1.70892,79.2343,129.673,74.3654,-50.6312,2.09451,2.58988,0.21467,5.23828e-07,2.96993,4.19227e-08,-7.70235e-05,0.765343,2.46085
res_ff_125c_2.97v_4.7u_0.001_36,res_ff,125,2.97,4.7u,0.001,36,0.000786987,0.00209814,0.00246036,1.85381,1.76429,73.9642,124.068,15.5672,-10.7381,2.09452,3.1105,0.0779023,0.00868354,2.97,2.11737e-08,-2.4955e-06,0.762687,2.46036
res_ff_125c_2.97v_4.7u_0.5_36,res_ff,125,2.97,4.7u,0.5,36,0.000784516,0.00209636,0.00246087,1.80752,1.7993,19.1661,53.9035,4.10936,-1.66537,2.09453,2.9696,1.43412e-09,0.00935612,2.96995,3.9648e-08,-5.63953e-05,0.762286,2.46087
res_ff_125c_3.30v_1u_0.1_36,res_ff,125,3.30,1u,0.1,36,0.000817734,0.00213681,0.00251047,1.8803,1.87076,71.8252,122.222,68.2654,-48.1107,2.1775,3.0942,0.156858,5.82323e-07,3.29994,3.51549e-08,-6.11966e-05,0.758106,2.51047
res_ff_125c_3.63v_0.33u_0.001_36,res_ff,125,3.63,0.33u,0.001,36,0.00084256,0.00217033,0.00254929,2.02043,1.64522,91.4287,142.199,272.23,-160.725,2.25631,3.43188,0.368111,6.46485e-07,3.62999,2.76065e-08,-1.34554e-05,0.753142,2.54929
res_ff_125c_3.63v_0.33u_0.5_36,res_ff,125,3.63,0.33u,0.5,36,0.00084256,0.00217033,0.00254929,1.8035,1.79915,1.68443,50.9202,5.08615,-2.23924,2.25635,3.62955,3.91391e-10,6.77627e-07,3.62997,3.45852e-08,-2.93075e-05,0.753142,2.54929
