corner_id,corner,temp_c,vin_v,cout,esr_ohm,rload_ohm,t_v04,t_v14,t_startup,vout_max_en,vout_settled,icap_peak_ma,isup_peak_ma,dvout_max,dvout_min,ssr_end,clg_end,vout_pp_late,vout_off_tran,pg_off_tran,ssr_off_tran,clg_off_tran,slope_vpms,t_startup_ms
ff_-40c_2.97v_0.33u_0.001_36,ff,-40,2.97,0.33u,0.001,36,0.000832684,0.00237719,0.00282978,1.97611,1.81289,108.133,154.276,254.15,-161.54,2.15669,2.22215,0.447063,2.63525e-09,2.97,8.83666e-09,-4.68111e-07,0.647456,2.82978
ff_-40c_2.97v_0.33u_0.5_36,ff,-40,2.97,0.33u,0.5,36,0.000832683,0.00237719,0.00282977,2.04957,1.79082,117.968,168.008,1025.05,-797.128,2.15667,3.30951,0.425231,-1.96596e-08,2.97002,2.00386e-09,2.557e-05,0.647456,2.82977
ff_-40c_2.97v_1u_0.1_1e9,ff,-40,2.97,1u,0.1,1e9,0.000854516,0.0023756,0.00282854,1.80754,1.80388,7.62929,7.64563,7.58213,-0.000748758,2.15667,2.96994,0.000297149,1.802,2.97,1.10351e-08,-4.92368e-06,0.657426,2.82854
ff_-40c_2.97v_1u_0.1_36,ff,-40,2.97,1u,0.1,36,0.00083267,0.00237719,0.00282978,1.89028,1.84608,111.278,160.892,246.756,-113.233,2.15669,2.60263,0.17406,5.30173e-09,2.96999,1.27059e-08,-1.48198e-05,0.64745,2.82978
ff_-40c_2.97v_4.7u_0.001_36,ff,-40,2.97,4.7u,0.001,36,0.000836629,0.00237719,0.00282978,1.81997,1.80682,133.082,183,24.5735,-10.7076,2.15668,2.95265,0.0345127,0.00880542,2.96998,1.27466e-08,-2.53339e-05,0.649114,2.82978
ff_-40c_2.97v_4.7u_0.5_36,ff,-40,2.97,4.7u,0.5,36,0.000832727,0.00237719,0.00282978,1.87994,1.80294,158.606,210.791,1040.47,-565.992,2.15667,2.87798,0.110217,0.0093886,2.97004,-4.20707e-09,4.06047e-05,0.647474,2.82978
ff_-40c_3.30v_1u_0.1_36,ff,-40,3.30,1u,0.1,36,0.000854485,0.00240919,0.00286983,1.88433,1.85685,136.089,186.607,279.015,-277.286,2.23601,2.84217,0.180425,1.73074e-09,3.30003,2.39617e-09,3.56533e-05,0.643209,2.86983
ff_-40c_3.63v_0.33u_0.001_36,ff,-40,3.63,0.33u,0.001,36,0.000873779,0.00243479,0.00289966,2.00602,1.82867,129.991,180.181,320.508,-164.794,2.31111,3.86692,0.422703,2.31394e-08,3.63003,1.59714e-09,3.04972e-05,0.64061,2.89966
ff_-40c_3.63v_0.33u_0.5_36,ff,-40,3.63,0.33u,0.5,36,0.000873778,0.00243478,0.00289966,1.96605,1.83225,138.624,189.851,1483.51,-1749.11,2.3111,2.96735,0.396845,4.21354e-08,3.62998,1.70309e-08,-1.94838e-05,0.640614,2.89966
ff_-40c_3.63v_1u_0.1_1e9,ff,-40,3.63,1u,0.1,1e9,0.000864065,0.0024337,0.00289871,1.80589,1.80233,7.56727,7.58809,7.52189,-0.000738334,2.31109,3.62993,0.000292944,1.80046,3.62997,2.71705e-08,-3.60981e-05,0.637091,2.89871
