corner_id,corner,temp_c,vin_v,cout,esr_ohm,rload_ohm,t_v04,t_v14,t_startup,vout_max_en,vout_settled,icap_peak_ma,isup_peak_ma,dvout_max,dvout_min,ssr_end,hg_end,vout_pp_late,vout_off_tran,pg_off_tran,ssr_off_tran,hg_off_tran,slope_vpms,t_startup_ms
ff_-40c_2.97v_0.33u_0.001_36,ff,-40,2.97,0.33u,0.001,36,0.000941547,0.0025337,0.00301297,1.79945,1.79945,0.238041,50.1262,0.668827,-0.000258083,2.15667,2.97,1.15728e-09,2.73713e-09,2.96998,9.21747e-09,0.00142926,0.62808,3.01297
ff_-40c_2.97v_0.33u_0.5_36,ff,-40,2.97,0.33u,0.5,36,0.000941547,0.0025337,0.00301297,1.79945,1.79945,0.220771,50.129,0.668817,-6.67202e-05,2.15667,2.97,8.93466e-10,2.2794e-08,2.96998,9.21747e-09,0.00142935,0.62808,3.01297
ff_-40c_2.97v_1u_0.1_1e9,ff,-40,2.97,1u,0.1,1e9,0.000941492,0.00253367,0.00301294,1.80041,1.79945,0.86903,0.886692,0.743274,-0.000740565,2.15667,2.97,9.03779e-06,1.79765,2.97,9.21742e-09,0.00142461,0.62807,3.01294
ff_-40c_2.97v_1u_0.1_36,ff,-40,2.97,1u,0.1,36,0.000941546,0.0025337,0.00301297,1.79945,1.79945,0.695043,50.5447,0.694689,-4.77563e-06,2.15667,2.97,8.33412e-10,9.87727e-09,2.96997,9.2175e-09,0.00142913,0.62808,3.01297
ff_-40c_2.97v_4.7u_0.001_36,ff,-40,2.97,4.7u,0.001,36,0.000941541,0.0025337,0.00301297,1.79945,1.79945,4.96743,52.8676,1.05069,-0.00396708,2.15667,2.97,1.0849e-09,0.00882419,2.97003,9.21745e-09,0.00142895,0.628078,3.01297
ff_-40c_2.97v_4.7u_0.5_36,ff,-40,2.97,4.7u,0.5,36,0.000941541,0.0025337,0.00301297,1.79953,1.79945,4.35717,52.8675,0.958723,-0.00998121,2.15667,2.97,7.16655e-10,0.0093599,2.96999,9.21749e-09,0.00142835,0.628078,3.01297
ff_-40c_3.30v_1u_0.1_36,ff,-40,3.30,1u,0.1,36,0.000953788,0.00254575,0.00302499,1.79942,1.79942,0.680392,50.5456,0.680238,-2.28003e-05,2.23599,3.3,3.47904e-09,1.859e-08,3.29996,9.69905e-09,0.00158516,0.628156,3.02499
ff_-40c_3.63v_0.33u_0.001_36,ff,-40,3.63,0.33u,0.001,36,0.000964958,0.00255672,0.00303593,1.79933,1.79933,0.327898,50.1303,0.744676,-0.000455916,2.31109,3.63,1.96926e-09,2.33084e-08,3.63002,1.02612e-08,0.00173854,0.628235,3.03593
ff_-40c_3.63v_0.33u_0.5_36,ff,-40,3.63,0.33u,0.5,36,0.000964958,0.00255672,0.00303593,1.79933,1.79933,0.283919,50.1303,0.685192,-0.00011875,2.31109,3.63,8.42491e-10,7.9233e-08,3.62995,1.02612e-08,0.00173756,0.628235,3.03593
ff_-40c_3.63v_1u_0.1_1e9,ff,-40,3.63,1u,0.1,1e9,0.000964908,0.00255669,0.0030359,1.80008,1.79934,1.45754,1.48333,1.09002,-0.000731412,2.31109,3.63,1.96259e-06,1.79754,3.62999,1.0261e-08,0.00173175,0.628227,3.0359
ff_-40c_3.63v_1u_0.1_36,ff,-40,3.63,1u,0.1,36,0.000964957,0.00255672,0.00303593,1.79933,1.79933,0.688349,50.5509,0.669072,-3.41175e-05,2.31109,3.63,2.08186e-09,1.7929e-08,3.63002,1.02612e-08,0.00173855,0.628234,3.03593
ff_-40c_3.63v_4.7u_0.001_36,ff,-40,3.63,4.7u,0.001,36,0.000964954,0.00255672,0.00303593,1.79933,1.79933,4.19443,52.8744,0.888339,-6.69298e-07,2.31109,3.63,1.02165e-09,0.00882083,3.63002,1.02612e-08,0.00173722,0.628233,3.03593
ff_-40c_3.63v_4.7u_0.5_36,ff,-40,3.63,4.7u,0.5,36,0.000964954,0.00255672,0.00303593,1.79937,1.79933,3.91585,52.8744,0.851029,-0.00474336,2.31109,3.63,1.76366e-08,0.00935688,3.63001,1.02612e-08,0.00173837,0.628233,3.03593
ff_125c_2.97v_0.33u_0.001_36,ff,125,2.97,0.33u,0.001,36,0.00082733,0.00207439,0.00242813,1.79908,1.79908,0.264726,50.1604,0.802191,-8.15728e-06,1.98709,2.97,1.18932e-09,6.0594e-06,2.96998,4.53897e-08,0.000158189,0.801886,2.42813
ff_125c_2.97v_0.33u_0.5_36,ff,125,2.97,0.33u,0.5,36,0.00082733,0.00207439,0.00242813,1.79908,1.79908,0.264725,50.1604,0.80219,-7.66211e-06,1.98709,2.97,7.96345e-10,6.05337e-06,2.97001,4.53895e-08,0.000158672,0.801886,2.42813
ff_125c_2.97v_1u_0.1_1e9,ff,125,2.97,1u,0.1,1e9,0.000827229,0.00207432,0.00242806,1.80097,1.79948,2.45425,2.47621,2.27088,-0.000282214,1.98709,2.97,0.000111385,1.79774,2.97,4.53895e-08,0.000156544,0.801866,2.42806
ff_125c_2.97v_1u_0.1_36,ff,125,2.97,1u,0.1,36,0.000827328,0.00207439,0.00242813,1.79908,1.79908,0.802187,50.6972,0.802185,-0.0140101,1.98709,2.97,7.78841e-10,6.05929e-06,2.97,4.53896e-08,0.00015664,0.801885,2.42813
ff_125c_2.97v_4.7u_0.001_36,ff,125,2.97,4.7u,0.001,36,0.000827319,0.00207439,0.00242813,1.79945,1.79908,3.85166,53.6618,0.817594,-0.0804131,1.98709,2.97,7.25753e-10,0.00882463,2.96998,4.53895e-08,0.000158491,0.801879,2.42813
ff_125c_2.97v_4.7u_0.5_36,ff,125,2.97,4.7u,0.5,36,0.000827319,0.00207439,0.00242813,1.79939,1.79908,3.77019,53.6618,0.802168,-0.0365788,1.98709,2.97,8.3841e-10,0.00936006,2.96998,4.53894e-08,0.000158,0.801879,2.42813
ff_125c_3.30v_1u_0.1_36,ff,125,3.30,1u,0.1,36,0.000836873,0.00208381,0.00243755,1.79901,1.79901,0.802261,50.6973,0.80226,-7.14718e-07,2.06499,3.3,1.50984e-09,6.80695e-06,3.30001,4.39303e-08,0.000176007,0.801965,2.43755
ff_125c_3.63v_0.33u_0.001_36,ff,125,3.63,0.33u,0.001,36,0.000845651,0.00209247,0.00244619,1.79884,1.79884,0.264782,50.1559,0.80234,-0.000143294,2.13907,3.63,7.52366e-09,7.71443e-06,3.62998,4.30491e-08,0.000192481,0.802041,2.44619
ff_125c_3.63v_0.33u_0.5_36,ff,125,3.63,0.33u,0.5,36,0.000845651,0.00209247,0.00244619,1.79884,1.79884,0.264781,50.1559,0.80234,-2.55649e-05,2.13907,3.63,1.71279e-09,7.73495e-06,3.62998,4.30491e-08,0.000192609,0.802041,2.44619
ff_125c_3.63v_1u_0.1_1e9,ff,125,3.63,1u,0.1,1e9,0.000845568,0.00209241,0.00244614,1.80038,1.79909,2.78901,2.81993,2.67019,-0.000846235,2.13907,3.63,9.6031e-05,1.79737,3.63,4.30495e-08,0.00019113,0.802026,2.44614
ff_125c_3.63v_1u_0.1_36,ff,125,3.63,1u,0.1,36,0.000845649,0.00209247,0.00244619,1.79884,1.79884,0.802344,50.6929,0.802336,-3.41088e-06,2.13907,3.63,6.27306e-09,7.71151e-06,3.63002,4.3049e-08,0.000191968,0.80204,2.44619
ff_125c_3.63v_4.7u_0.001_36,ff,125,3.63,4.7u,0.001,36,0.000845642,0.00209247,0.00244619,1.79899,1.79884,3.77092,53.6581,0.802323,-0.0405834,2.13907,3.63,6.70397e-09,0.00882338,3.62997,4.30492e-08,0.00019267,0.802035,2.44619
ff_125c_3.63v_4.7u_0.5_36,ff,125,3.63,4.7u,0.5,36,0.000845642,0.00209247,0.00244619,1.79903,1.79884,3.77092,53.6581,0.802323,-0.1465,2.13907,3.63,5.70963e-09,0.00935853,3.62998,4.30491e-08,0.000192932,0.802035,2.44619
ff_27c_2.97v_1u_0.1_36,ff,27,2.97,1u,0.1,36,0.000870882,0.00228411,0.00269821,1.79934,1.79934,0.747337,50.6125,0.747053,-1.54562e-06,2.08824,2.97,2.18131e-09,1.25382e-08,2.97,1.21066e-08,0.000543427,0.7076,2.69821
