corner_id,corner,temp_c,vin_v,vout_0ma,vout_25ma,vout_50ma,ivin_0ma_ua,iload_25ma,iload_50ma,isns_mv_50ma,vth_mv_50ma,sense_margin_pct,ilim_1764_ma,ilim_1500_ma,ilim_0900_ma,ilim_0300_ma,ilim_0000_ma,pshort_mw,flat_0_vs_1500_pct
tt_-40c_2.97v,tt,-40,2.97,1.79947,1.79947,1.79947,10.8469,24.9927,49.9853,68.7502,100.836,31.8198,73.9307,73.9712,74.1908,74.4653,74.6475,221.703,0.914261
tt_-40c_3.30v,tt,-40,3.30,1.79945,1.79944,1.79944,13.2329,24.9923,49.9845,68.8298,101.224,32.0022,73.9846,74.0758,74.3298,74.6624,75.0009,247.503,1.2488
tt_-40c_3.63v,tt,-40,3.63,1.79937,1.79937,1.79937,16.7515,24.9913,49.9826,68.8744,101.566,32.1873,74.0965,74.2055,74.4841,75.044,75.8533,275.348,2.22055
tt_27c_2.97v,tt,27,2.97,1.79938,1.79938,1.79938,12.1976,24.9914,49.9827,67.8985,100.875,32.6903,74.9408,74.9478,75.1044,75.3238,75.4753,224.162,0.703823
tt_27c_3.30v,tt,27,3.30,1.79935,1.79934,1.79934,15.366,24.9909,49.9818,67.9762,101.227,32.8477,74.9534,75.016,75.2128,75.4868,75.7827,250.083,1.02214
tt_27c_3.63v,tt,27,3.63,1.79925,1.79925,1.79925,19.0666,24.9896,49.9792,68.0192,101.535,33.0093,75.0298,75.1132,75.3367,75.8207,76.5607,277.915,1.92707
tt_125c_2.97v,tt,125,2.97,1.7992,1.7992,1.7992,14.654,24.9889,49.9777,67.4072,100.934,33.2165,75.6012,75.567,75.6494,75.8046,75.9201,225.483,0.467334
tt_125c_3.30v,tt,125,3.30,1.79915,1.79915,1.79914,18.2465,24.9881,49.9762,67.4825,101.251,33.3514,75.564,75.5929,75.7233,75.9293,76.1734,251.372,0.768009
tt_125c_3.63v,tt,125,3.63,1.79895,1.79895,1.79895,22.127,24.9854,49.9707,67.5208,101.528,33.495,75.5992,75.6527,75.813,76.2063,76.8558,278.987,1.59029
ff_-40c_2.97v,ff,-40,2.97,1.79945,1.79945,1.79945,14.4835,24.9924,49.9847,55.711,101.007,44.8446,91.4674,91.5087,91.7566,92.0716,92.2862,274.09,0.849558
ff_-40c_3.30v,ff,-40,3.30,1.79942,1.79942,1.79942,18.3743,24.9919,49.9838,55.7621,101.382,44.9979,91.5235,91.626,91.9157,92.3053,92.7188,305.972,1.19266
ff_-40c_3.63v,ff,-40,3.63,1.79934,1.79933,1.79933,22.6057,24.9907,49.9815,55.7902,101.71,45.1479,91.6493,91.7731,92.0942,92.7733,93.7806,340.423,2.18747
ff_27c_2.97v,ff,27,2.97,1.79934,1.79934,1.79934,16.7879,24.9909,49.9817,54.9662,101.033,45.5957,92.7888,92.7869,92.9596,93.2095,93.3865,277.358,0.646255
ff_27c_3.30v,ff,27,3.30,1.7993,1.7993,1.7993,20.9197,24.9903,49.9806,55.0161,101.375,45.7301,92.7924,92.8606,93.0833,93.4022,93.7614,309.413,0.970002
ff_27c_3.63v,ff,27,3.63,1.79918,1.79918,1.79918,25.304,24.9886,49.9771,55.0425,101.673,45.8631,92.8761,92.9701,93.2261,93.8098,94.7254,343.853,1.88806
ff_125c_2.97v,ff,125,2.97,1.79902,1.79901,1.79901,19.3136,24.9863,49.9725,54.4859,101.082,46.0975,93.7746,93.7032,93.7682,93.9324,94.0615,279.363,0.382367
ff_125c_3.30v,ff,125,3.30,1.7984,1.7984,1.79839,23.3521,24.9777,49.9554,54.5174,101.393,46.2317,93.6959,93.7142,93.8465,94.076,94.3657,311.407,0.695231
ff_125c_3.63v,ff,125,3.63,1.79359,1.79357,1.79357,27.4168,24.9108,49.8215,54.4017,101.665,46.4895,93.7194,93.7726,93.9451,94.4088,95.2028,345.586,1.52513
ss_-40c_2.97v,ss,-40,2.97,1.79948,1.79948,1.79948,8.90273,24.9928,49.9856,81.763,100.672,18.7826,62.0253,62.0542,62.2458,62.4879,62.646,186.059,0.953763
