mode,temp_c,run,device,w_um,l_um,area_um2,quantity,val_a,val_b
mismatch,-40,0,ppolyf_u_1k,1,10,10,r_ohm,11341.6,11341.6
mismatch,-40,0,ppolyf_u_1k,2,40,80,r_ohm,21901.7,21901.7
mismatch,-40,0,ppolyf_u_1k,5,100,500,r_ohm,21618.7,21618.7
mismatch,-40,0,ppolyf_u_2k,1,10,10,r_ohm,24077.9,24077.9
mismatch,-40,0,ppolyf_u_2k,2,40,80,r_ohm,46270.2,46270.2
mismatch,-40,0,ppolyf_u_2k,5,100,500,r_ohm,45485.5,45485.5
mismatch,-40,0,ppolyf_u_3k,1,10,10,r_ohm,36072.2,36072.2
mismatch,-40,0,ppolyf_u_3k,2,40,80,r_ohm,69383.5,69383.5
mismatch,-40,0,ppolyf_u_3k,5,100,500,r_ohm,68219.6,68219.6
mismatch,-40,0,ppolyf_u,1,10,10,r_ohm,3859.53,3859.53
mismatch,-40,0,ppolyf_u,2,40,80,r_ohm,7314.1,7314.1
mismatch,-40,0,ppolyf_u,5,100,500,r_ohm,7161.07,7161.07
mismatch,-40,0,nfet_03v3,5,0.5,2.5,vgs_v,0.838303,0.837774
mismatch,-40,0,nfet_03v3,10,1.0,10,vgs_v,0.819292,0.818464
mismatch,-40,0,nfet_03v3,20,2.0,40,vgs_v,0.807682,0.808163
mismatch,-40,0,pfet_03v3,5,0.5,2.5,vgs_v,1.04393,1.05196
mismatch,-40,0,pfet_03v3,10,1.0,10,vgs_v,1.06201,1.05937
mismatch,-40,0,pfet_03v3,20,2.0,40,vgs_v,1.06267,1.06334
mismatch,-40,1,ppolyf_u_1k,1,10,10,r_ohm,11341.6,11341.6
mismatch,-40,1,ppolyf_u_1k,2,40,80,r_ohm,21901.7,21901.7
mismatch,-40,1,ppolyf_u_1k,5,100,500,r_ohm,21618.7,21618.7
mismatch,-40,1,ppolyf_u_2k,1,10,10,r_ohm,24077.9,24077.9
mismatch,-40,1,ppolyf_u_2k,2,40,80,r_ohm,46270.2,46270.2
mismatch,-40,1,ppolyf_u_2k,5,100,500,r_ohm,45485.5,45485.5
mismatch,-40,1,ppolyf_u_3k,1,10,10,r_ohm,36072.2,36072.2
mismatch,-40,1,ppolyf_u_3k,2,40,80,r_ohm,69383.5,69383.5
mismatch,-40,1,ppolyf_u_3k,5,100,500,r_ohm,68219.6,68219.6
mismatch,-40,1,ppolyf_u,1,10,10,r_ohm,3859.53,3859.53
mismatch,-40,1,ppolyf_u,2,40,80,r_ohm,7314.1,7314.1
mismatch,-40,1,ppolyf_u,5,100,500,r_ohm,7161.07,7161.07
mismatch,-40,1,nfet_03v3,5,0.5,2.5,vgs_v,0.83226,0.831548
mismatch,-40,1,nfet_03v3,10,1.0,10,vgs_v,0.817911,0.821599
mismatch,-40,1,nfet_03v3,20,2.0,40,vgs_v,0.807248,0.807042
mismatch,-40,1,pfet_03v3,5,0.5,2.5,vgs_v,1.03843,1.0484
mismatch,-40,1,pfet_03v3,10,1.0,10,vgs_v,1.05956,1.06129
mismatch,-40,1,pfet_03v3,20,2.0,40,vgs_v,1.06319,1.06303
mismatch,-40,2,ppolyf_u_1k,1,10,10,r_ohm,11341.6,11341.6
mismatch,-40,2,ppolyf_u_1k,2,40,80,r_ohm,21901.7,21901.7
mismatch,-40,2,ppolyf_u_1k,5,100,500,r_ohm,21618.7,21618.7
mismatch,-40,2,ppolyf_u_2k,1,10,10,r_ohm,24077.9,24077.9
mismatch,-40,2,ppolyf_u_2k,2,40,80,r_ohm,46270.2,46270.2
mismatch,-40,2,ppolyf_u_2k,5,100,500,r_ohm,45485.5,45485.5
mismatch,-40,2,ppolyf_u_3k,1,10,10,r_ohm,36072.2,36072.2
mismatch,-40,2,ppolyf_u_3k,2,40,80,r_ohm,69383.5,69383.5
mismatch,-40,2,ppolyf_u_3k,5,100,500,r_ohm,68219.6,68219.6
