mode,temp_c,device,w_um,l_um,area_um2,quantity,n_runs,mean,sigma_absolute,sigma_absolute_pct_of_mean,sigma_delta_pair,sigma_delta_pair_pct_of_mean,sigma_single_device,pelgrom_coeff_delta_sqrt_area
global,-40,nfet_03v3,5,0.5,2.5,vgs_v,200,0.830893,0.0310959,3.74247,0,0,0,0
global,-40,nfet_03v3,10,1.0,10,vgs_v,200,0.815534,0.0235697,2.89009,0,0,0,0
global,-40,nfet_03v3,20,2.0,40,vgs_v,200,0.803311,0.0236208,2.94043,0,0,0,0
global,-40,pfet_03v3,5,0.5,2.5,vgs_v,200,1.04214,0.035008,3.35924,0,0,0,0
global,-40,pfet_03v3,10,1.0,10,vgs_v,200,1.05706,0.0272804,2.58078,0,0,0,0
global,-40,pfet_03v3,20,2.0,40,vgs_v,200,1.06046,0.0278168,2.6231,0,0,0,0
global,-40,ppolyf_u,1,10,10,r_ohm,200,3836.8,178.046,4.64049,0,0,0,0
global,-40,ppolyf_u,2,40,80,r_ohm,200,7271.49,347.817,4.78329,0,0,0,0
global,-40,ppolyf_u,5,100,500,r_ohm,200,7119.45,342.855,4.81575,0,0,0,0
global,-40,ppolyf_u_1k,1,10,10,r_ohm,200,11376.5,545.056,4.79107,0,0,0,0
global,-40,ppolyf_u_1k,2,40,80,r_ohm,200,21969.4,1075.6,4.89592,0,0,0,0
global,-40,ppolyf_u_1k,5,100,500,r_ohm,200,21685.6,1066.7,4.91893,0,0,0,0
global,-40,ppolyf_u_2k,1,10,10,r_ohm,200,24012.2,1326.54,5.52443,0,0,0,0
global,-40,ppolyf_u_2k,2,40,80,r_ohm,200,46143.1,2555.21,5.53758,0,0,0,0
global,-40,ppolyf_u_2k,5,100,500,r_ohm,200,45360.5,2513.36,5.54085,0,0,0,0
global,-40,ppolyf_u_3k,1,10,10,r_ohm,200,35994.2,2129.42,5.916,0,0,0,0
global,-40,ppolyf_u_3k,2,40,80,r_ohm,200,69229.9,4105.45,5.93017,0,0,0,0
global,-40,ppolyf_u_3k,5,100,500,r_ohm,200,68067.8,4039.47,5.93449,0,0,0,0
global,27,nfet_03v3,5,0.5,2.5,vgs_v,200,0.778417,0.0305318,3.9223,0,0,0,0
global,27,nfet_03v3,10,1.0,10,vgs_v,200,0.764394,0.0228434,2.98844,0,0,0,0
global,27,nfet_03v3,20,2.0,40,vgs_v,200,0.752651,0.0229127,3.04426,0,0,0,0
global,27,pfet_03v3,5,0.5,2.5,vgs_v,200,0.995962,0.0382524,3.84074,0,0,0,0
global,27,pfet_03v3,10,1.0,10,vgs_v,200,1.01664,0.0290241,2.85491,0,0,0,0
global,27,pfet_03v3,20,2.0,40,vgs_v,200,1.02283,0.0295136,2.8855,0,0,0,0
global,27,ppolyf_u,1,10,10,r_ohm,200,3799.28,183.808,4.83797,0,0,0,0
global,27,ppolyf_u,2,40,80,r_ohm,200,7216.2,357.176,4.94964,0,0,0,0
global,27,ppolyf_u,5,100,500,r_ohm,200,7068.51,351.494,4.97268,0,0,0,0
global,27,ppolyf_u_1k,1,10,10,r_ohm,200,10471.6,515.303,4.92098,0,0,0,0
global,27,ppolyf_u_1k,2,40,80,r_ohm,200,20376.4,1016.15,4.98689,0,0,0,0
global,27,ppolyf_u_1k,5,100,500,r_ohm,200,20144.3,1007.06,4.99922,0,0,0,0
global,27,ppolyf_u_2k,1,10,10,r_ohm,200,21196.3,1021.9,4.82112,0,0,0,0
global,27,ppolyf_u_2k,2,40,80,r_ohm,200,40746.7,1966.99,4.82736,0,0,0,0
global,27,ppolyf_u_2k,5,100,500,r_ohm,200,40059.1,1933.95,4.82773,0,0,0,0
global,27,ppolyf_u_3k,1,10,10,r_ohm,200,32033.9,1879.38,5.86686,0,0,0,0
