device,res_corner,temp_c,w_um,l_um,i_test,r_ohm,rsh_nominal_ohm_sq
ppolyf_u_1k,res_typical,-40,1,10,1u,11341.6,1000
ppolyf_u_1k,res_typical,-40,1,50,1u,55514.7,1000
ppolyf_u_1k,res_typical,-40,2,20,1u,11024.3,1000
ppolyf_u_1k,res_typical,-40,5,50,1u,10838.5,1000
ppolyf_u_1k,res_typical,-40,1,50,50u,55514.7,1000
ppolyf_u_2k,res_typical,-40,1,10,1u,24077.9,2000
ppolyf_u_2k,res_typical,-40,1,50,1u,118276,2000
ppolyf_u_2k,res_typical,-40,2,20,1u,23264.1,2000
ppolyf_u_2k,res_typical,-40,5,50,1u,22793.7,2000
ppolyf_u_2k,res_typical,-40,1,50,50u,118276,2000
ppolyf_u_3k,res_typical,-40,1,10,1u,36072.2,3000
ppolyf_u_3k,res_typical,-40,1,50,1u,177370,3000
ppolyf_u_3k,res_typical,-40,2,20,1u,34874.4,3000
ppolyf_u_3k,res_typical,-40,5,50,1u,34181.9,3000
ppolyf_u_3k,res_typical,-40,1,50,50u,177370,3000
ppolyf_u,res_typical,-40,1,10,1u,3859.53,350
ppolyf_u,res_typical,-40,1,50,1u,18741.8,350
ppolyf_u,res_typical,-40,2,20,1u,3690.88,350
ppolyf_u,res_typical,-40,5,50,1u,3593.86,350
ppolyf_u,res_typical,-40,1,50,50u,18741.8,350
npolyf_u,res_typical,-40,1,10,1u,3689.66,310
npolyf_u,res_typical,-40,1,50,1u,18096.9,310
npolyf_u,res_typical,-40,2,20,1u,3546.49,310
npolyf_u,res_typical,-40,5,50,1u,3464.27,310
npolyf_u,res_typical,-40,1,50,50u,18096.9,310
ppolyf_s,res_typical,-40,1,10,1u,67.9038,7.3
ppolyf_s,res_typical,-40,1,50,1u,302.273,7.3
ppolyf_s,res_typical,-40,2,20,1u,62.7702,7.3
ppolyf_s,res_typical,-40,5,50,1u,59.727,7.3
ppolyf_s,res_typical,-40,1,50,50u,302.273,7.3
nplus_u,res_typical,-40,1,10,1u,530.759,60
nplus_u,res_typical,-40,1,50,1u,2525.7,60
nplus_u,res_typical,-40,2,20,1u,539.258,60
nplus_u,res_typical,-40,5,50,1u,544.758,60
nplus_u,res_typical,-40,1,50,50u,2525.7,60
pplus_u,res_typical,-40,1,10,1u,1907.61,185
pplus_u,res_typical,-40,1,50,1u,9071.54,185
pplus_u,res_typical,-40,2,20,1u,1797,185
pplus_u,res_typical,-40,5,50,1u,1733.59,185
pplus_u,res_typical,-40,1,50,50u,9071.51,185
nwell,res_typical,-40,1,10,1u,16858.9,1000
nwell,res_typical,-40,1,50,1u,81088.8,1000
nwell,res_typical,-40,2,20,1u,11761.9,1000
nwell,res_typical,-40,5,50,1u,9895.83,1000
nwell,res_typical,-40,1,50,50u,81088.8,1000
ppolyf_u_1k,res_typical,27,1,10,1u,10459.1,1000
ppolyf_u_1k,res_typical,27,1,50,1u,51602.2,1000
ppolyf_u_1k,res_typical,27,2,20,1u,10216.6,1000
ppolyf_u_1k,res_typical,27,5,50,1u,10074.6,1000
ppolyf_u_1k,res_typical,27,1,50,50u,51602.2,1000
ppolyf_u_2k,res_typical,27,1,10,1u,21333.5,2000
ppolyf_u_2k,res_typical,27,1,50,1u,104835,2000
ppolyf_u_2k,res_typical,27,2,20,1u,20617.3,2000
ppolyf_u_2k,res_typical,27,5,50,1u,20203.3,2000
ppolyf_u_2k,res_typical,27,1,50,50u,104835,2000
ppolyf_u_3k,res_typical,27,1,10,1u,31965.7,3000
ppolyf_u_3k,res_typical,27,1,50,1u,157218,3000
ppolyf_u_3k,res_typical,27,2,20,1u,30909.2,3000
ppolyf_u_3k,res_typical,27,5,50,1u,30298.3,3000
ppolyf_u_3k,res_typical,27,1,50,50u,157218,3000
ppolyf_u,res_typical,27,1,10,1u,3813.5,350
ppolyf_u,res_typical,27,1,50,1u,18563.3,350
ppolyf_u,res_typical,27,2,20,1u,3652.33,350
ppolyf_u,res_typical,27,5,50,1u,3559.61,350
ppolyf_u,res_typical,27,1,50,50u,18563.3,350
npolyf_u,res_typical,27,1,10,1u,3348.66,310
npolyf_u,res_typical,27,1,50,1u,16406.1,310
npolyf_u,res_typical,27,2,20,1u,3216.5,310
npolyf_u,res_typical,27,5,50,1u,3140.6,310
npolyf_u,res_typical,27,1,50,50u,16406.1,310
ppolyf_s,res_typical,27,1,10,1u,84.7683,7.3
ppolyf_s,res_typical,27,1,50,1u,383.139,7.3
ppolyf_s,res_typical,27,2,20,1u,79.0784,7.3
ppolyf_s,res_typical,27,5,50,1u,75.7056,7.3
ppolyf_s,res_typical,27,1,50,50u,383.139,7.3
nplus_u,res_typical,27,1,10,1u,580.631,60
nplus_u,res_typical,27,1,50,1u,2768.39,60
nplus_u,res_typical,27,2,20,1u,590.632,60
nplus_u,res_typical,27,5,50,1u,597.104,60
nplus_u,res_typical,27,1,50,50u,2768.39,60
pplus_u,res_typical,27,1,10,1u,2068.55,185
pplus_u,res_typical,27,1,50,1u,9920.83,185
pplus_u,res_typical,27,2,20,1u,1958.81,185
pplus_u,res_typical,27,5,50,1u,1895.89,185
pplus_u,res_typical,27,1,50,50u,9920.79,185
nwell,res_typical,27,1,10,1u,18934.1,1000
nwell,res_typical,27,1,50,1u,91208.1,1000
nwell,res_typical,27,2,20,1u,13222,1000
nwell,res_typical,27,5,50,1u,11130.8,1000
nwell,res_typical,27,1,50,50u,91208.1,1000
ppolyf_u_1k,res_typical,125,1,10,1u,9707.45,1000
ppolyf_u_1k,res_typical,125,1,50,1u,48091.6,1000
ppolyf_u_1k,res_typical,125,2,20,1u,9506.75,1000
ppolyf_u_1k,res_typical,125,5,50,1u,9389.21,1000
ppolyf_u_1k,res_typical,125,1,50,50u,48091.6,1000
ppolyf_u_2k,res_typical,125,1,10,1u,18621.6,2000
ppolyf_u_2k,res_typical,125,1,50,1u,91548.1,2000
ppolyf_u_2k,res_typical,125,2,20,1u,18001.3,2000
ppolyf_u_2k,res_typical,125,5,50,1u,17642.7,2000
ppolyf_u_2k,res_typical,125,1,50,50u,91548.1,2000
ppolyf_u_3k,res_typical,125,1,10,1u,27907.3,3000
ppolyf_u_3k,res_typical,125,1,50,1u,137297,3000
ppolyf_u_3k,res_typical,125,2,20,1u,26989.7,3000
ppolyf_u_3k,res_typical,125,5,50,1u,26459.2,3000
ppolyf_u_3k,res_typical,125,1,50,50u,137297,3000
ppolyf_u,res_typical,125,1,10,1u,3789.6,350
ppolyf_u,res_typical,125,1,50,1u,18512.5,350
ppolyf_u,res_typical,125,2,20,1u,3637.42,350
ppolyf_u,res_typical,125,5,50,1u,3549.87,350
ppolyf_u,res_typical,125,1,50,50u,18512.5,350
npolyf_u,res_typical,125,1,10,1u,2964.01,310
npolyf_u,res_typical,125,1,50,1u,14512.9,310
npolyf_u,res_typical,125,2,20,1u,2845.98,310
npolyf_u,res_typical,125,5,50,1u,2778.19,310
npolyf_u,res_typical,125,1,50,50u,14512.9,310
ppolyf_s,res_typical,125,1,10,1u,109.823,7.3
ppolyf_s,res_typical,125,1,50,1u,503.534,7.3
