device,res_corner,temp_c,rsh_extracted_ohm_sq,rsh_model_card_ohm_sq,rsh_ratio_extracted_over_card,r_w1_l10_ohm,r_w1_l50_ohm,r_w2_l20_ohm,r_w5_l50_ohm,area_per_kohm_um2,r_w1_l50_at_50ua_ohm,dr_over_r_1ua_to_50ua_ppm
nplus_u,res_ff,-40,37.4051,60,0.623418,406.076,1902.28,408.638,410.295,26.2842,1902.28,0
nplus_u,res_ff,27,41.0206,60,0.683676,443.897,2084.72,447.387,449.645,23.984,2084.72,0
nplus_u,res_ff,125,46.7385,60,0.778975,504.469,2374.01,509.067,512.042,21.0614,2374.01,0
nplus_u,res_ss,-40,62.3417,60,1.03903,655.442,3149.11,669.879,679.221,15.8775,3149.11,0
nplus_u,res_ss,27,68.3674,60,1.13946,717.366,3452.06,733.878,744.563,14.4841,3452.06,0
nplus_u,res_ss,125,77.8978,60,1.2983,816.058,3931.97,835.495,848.071,12.7163,3931.97,0
nplus_u,res_typical,-40,49.8735,60,0.831225,530.759,2525.7,539.258,544.758,19.7965,2525.7,0
nplus_u,res_typical,27,54.694,60,0.911566,580.631,2768.39,590.632,597.104,18.061,2768.39,0
nplus_u,res_typical,125,62.3182,60,1.03864,660.263,3152.99,672.281,680.057,15.858,3152.99,0
npolyf_u,res_ff,-40,290.469,310,0.936997,2992.54,14611.3,2868.35,2797.03,3.42201,14611.3,0
npolyf_u,res_ff,27,263.254,310,0.849206,2716.85,13247,2601.89,2535.87,3.77444,13247,0
npolyf_u,res_ff,125,232.84,310,0.751097,2405.2,11718.8,2302.37,2243.32,4.26665,11718.8,0
npolyf_u,res_ss,-40,429.893,310,1.38675,4386.77,21582.5,4224.63,4131.52,2.31669,21582.5,0
npolyf_u,res_ss,27,389.616,310,1.25683,3980.46,19565.1,3831.11,3745.34,2.55557,19565.1,0
npolyf_u,res_ss,125,344.605,310,1.11163,3522.81,17307,3389.58,3313.06,2.889,17307,0
npolyf_u,res_typical,-40,360.181,310,1.16187,3689.66,18096.9,3546.49,3464.27,2.7629,18096.9,0
npolyf_u,res_typical,27,326.436,310,1.05302,3348.66,16406.1,3216.5,3140.6,3.04765,16406.1,0
npolyf_u,res_typical,125,288.722,310,0.931362,2964.01,14512.9,2845.98,2778.19,3.44521,14512.9,0
nwell,res_ff,-40,1284.6,1000,1.2846,13654,65037.9,9469.14,7937.02,0.768783,65037.9,0
nwell,res_ff,27,1445.48,1000,1.44548,15327.7,73147,10642.1,8926.63,0.683555,73147,0
nwell,res_ff,125,1908.35,1000,1.90834,20182.5,96516.3,14030.8,11778.5,0.518047,96516.3,0
