device,temp_c,rsh_res_typical,rsh_res_ff,rsh_res_ss,corner_spread_pct_of_typical,worst_high_corner,worst_low_corner
nplus_u,-40,49.8735,37.4051,62.3417,49.9997,res_ss,res_ff
nplus_u,27,54.694,41.0206,68.3674,49.9996,res_ss,res_ff
nplus_u,125,62.3182,46.7385,77.8978,50.0003,res_ss,res_ff
npolyf_u,-40,360.181,290.469,429.893,38.7095,res_ss,res_ff
npolyf_u,27,326.436,263.254,389.616,38.7097,res_ss,res_ff
npolyf_u,125,288.722,232.84,344.605,38.7101,res_ss,res_ff
nwell,-40,1605.75,1284.6,1926.89,39.9999,res_ss,res_ff
nwell,27,1806.85,1445.48,2168.22,39.9996,res_ss,res_ff
nwell,125,2385.43,1908.35,2862.51,39.9995,res_ss,res_ff
pplus_u,-40,179.098,140.374,217.822,43.2429,res_ss,res_ff
pplus_u,27,196.307,153.862,238.753,43.2437,res_ss,res_ff
pplus_u,125,224.642,176.072,273.214,43.2432,res_ss,res_ff
ppolyf_s,-40,5.85923,0.802635,12.0395,191.781,res_ss,res_ff
ppolyf_s,27,7.45927,1.02182,15.3273,191.781,res_ss,res_ff
ppolyf_s,125,9.84277,1.34832,20.225,191.782,res_ss,res_ff
ppolyf_u,-40,372.057,297.647,446.469,39.9998,res_ss,res_ff
ppolyf_u,27,368.745,294.994,442.493,40.0001,res_ss,res_ff
ppolyf_u,125,368.072,294.459,441.686,39.9997,res_ss,res_ff
ppolyf_u_1k,-40,1104.33,883.461,1325.2,40.0002,res_ss,res_ff
ppolyf_u_1k,27,1028.58,822.862,1234.29,39.9999,res_ss,res_ff
ppolyf_u_1k,125,959.604,767.684,1151.53,40,res_ss,res_ff
ppolyf_u_2k,-40,2354.95,1883.97,2825.96,40.0004,res_ss,res_ff
ppolyf_u_2k,27,2087.54,1670.03,2505.04,39.9998,res_ss,res_ff
ppolyf_u_2k,125,1823.16,1458.53,2187.8,40.0004,res_ss,res_ff
ppolyf_u_3k,-40,3532.44,2649.34,4415.55,49.9998,res_ss,res_ff
ppolyf_u_3k,27,3131.31,2348.49,3914.13,49.9996,res_ss,res_ff
ppolyf_u_3k,125,2734.74,2051.05,3418.43,50.0005,res_ss,res_ff
