device,res_corner,r_m40c_ohm,r_27c_ohm,r_125c_ohm,tc_27_to_125_ppm_per_c,tc_m40_to_27_ppm_per_c,total_spread_m40_to_125_pct
nplus_u,res_ff,1902.28,2084.72,2374.01,1415.99,1306.16,22.628
nplus_u,res_ss,3149.11,3452.06,3931.97,1418.59,1309.84,22.6781
nplus_u,res_typical,2525.7,2768.39,3152.99,1417.61,1308.43,22.659
npolyf_u,res_ff,14611.3,13247,11718.8,-1177.16,-1537.15,21.8351
npolyf_u,res_ss,21582.5,19565.1,17307,-1177.7,-1538.99,21.8527
npolyf_u,res_typical,18096.9,16406.1,14512.9,-1177.51,-1538.2,21.8455
nwell,res_ff,65037.9,73147,96516.3,3260.04,1654.63,43.0344
nwell,res_ss,97139.7,109269,144205,3262.5,1656.78,43.0729
nwell,res_typical,81088.8,91208.1,120361,3261.54,1655.93,43.0578
pplus_u,res_ff,7135.34,7798.59,8893.97,1433.25,1269.36,22.5506
pplus_u,res_ss,11007.7,12043.1,13751.1,1447.18,1283.2,22.7798
pplus_u,res_typical,9071.54,9920.83,11322.5,1441.69,1277.71,22.6892
ppolyf_s,res_ff,49.4447,61.2684,78.8138,2922.14,2880.33,47.9352
ppolyf_s,res_ss,611.286,776.537,1022.64,3233.92,3176.19,52.9729
ppolyf_s,res_typical,302.273,383.139,503.534,3206.46,3150.18,52.5295
ppolyf_u,res_ff,15021.3,14875.8,14831.8,-30.1819,-145.985,1.27388
ppolyf_u,res_ss,22462.4,22250.7,22193.2,-26.3693,-142.005,1.20985
ppolyf_u,res_typical,18741.8,18563.3,18512.5,-27.9243,-143.519,1.23523
ppolyf_u_1k,res_ff,44471.4,41316.4,38495.6,-696.665,-1139.73,14.4635
ppolyf_u_1k,res_ss,66558,61887.9,57687.6,-692.546,-1126.28,14.333
ppolyf_u_1k,res_typical,55514.7,51602.2,48091.6,-694.204,-1131.65,14.3852
ppolyf_u_2k,res_ff,94639,83881.8,73248.5,-1293.52,-1914.07,25.5008
ppolyf_u_2k,res_ss,141914,125788,109848,-1293.07,-1913.43,25.4921
ppolyf_u_2k,res_typical,118276,104835,91548.1,-1293.28,-1913.6,25.4952
ppolyf_u_3k,res_ff,133050,117931,102985,-1293.22,-1913.46,25.4937
ppolyf_u_3k,res_ss,221690,196505,171609,-1292.8,-1912.91,25.4859
ppolyf_u_3k,res_typical,177370,157218,137297,-1292.95,-1913.12,25.4888
