corner_id,corner,temp_c,vin_v,vout_0ma,vout_25ma,vout_50ma,ivin_0ma_ua,iload_25ma,iload_50ma,isns_mv_50ma,vth_mv_50ma,sense_margin_pct,ilim_1764_ma,ilim_1500_ma,ilim_0900_ma,ilim_0300_ma,ilim_0000_ma,pshort_mw,flat_0_vs_1500_pct
tt_-40c_2.97v,tt,-40,2.97,1.79947,1.79947,1.79947,10.5622,24.9927,49.9853,68.7786,100.836,31.7916,73.9134,73.9325,74.1351,74.4029,74.5806,221.505,0.876637
tt_-40c_3.30v,tt,-40,3.30,1.79944,1.79944,1.79944,12.1209,24.9923,49.9845,68.8687,101.224,31.9638,73.9427,74.0252,74.2701,74.5949,74.9244,247.25,1.21467
tt_-40c_3.63v,tt,-40,3.63,1.79937,1.79937,1.79937,13.7128,24.9913,49.9826,68.918,101.566,32.1444,74.0445,74.149,74.421,74.9663,75.7578,275.001,2.16974
tt_27c_2.97v,tt,27,2.97,1.79938,1.79938,1.79938,11.6263,24.9914,49.9828,67.9175,100.875,32.6715,74.9422,74.9223,75.0583,75.2701,75.4174,223.99,0.660764
tt_27c_3.30v,tt,27,3.30,1.79935,1.79935,1.79935,13.3211,24.9909,49.9818,68.007,101.227,32.8173,74.924,74.976,75.1621,75.4283,75.7155,249.861,0.986329
tt_27c_3.63v,tt,27,3.63,1.79926,1.79925,1.79925,15.0546,24.9896,49.9793,68.055,101.535,32.974,74.9881,75.0661,75.2824,75.7522,76.4745,277.602,1.87617
tt_125c_2.97v,tt,125,2.97,1.79921,1.79921,1.7992,12.9762,24.989,49.9779,67.417,100.934,33.2067,75.626,75.5558,75.6132,75.7598,75.8713,225.338,0.417466
tt_125c_3.30v,tt,125,3.30,1.79916,1.79916,1.79916,14.8278,24.9884,49.9767,67.506,101.251,33.3282,75.548,75.564,75.6817,75.88,76.1161,251.183,0.730573
tt_125c_3.63v,tt,125,3.63,1.79903,1.79903,1.79903,16.7316,24.9865,49.9729,67.5524,101.527,33.4639,75.5682,75.6153,75.7675,76.1478,76.7803,278.712,1.54063
ff_-40c_2.97v,ff,-40,2.97,1.79945,1.79945,1.79945,13.499,24.9923,49.9847,55.7355,101.007,44.8204,91.4531,91.4629,91.6867,91.9924,92.2005,273.836,0.806491
ff_-40c_3.30v,ff,-40,3.30,1.79942,1.79942,1.79941,15.5167,24.9919,49.9838,55.7929,101.382,44.9676,91.4731,91.5632,91.8404,92.2188,92.6188,305.642,1.15283
ff_-40c_3.63v,ff,-40,3.63,1.79933,1.79933,1.79933,17.5776,24.9907,49.9815,55.8238,101.71,45.1149,91.5845,91.7024,92.014,92.6715,93.6521,339.957,2.1261
ff_27c_2.97v,ff,27,2.97,1.79935,1.79934,1.79934,14.8957,24.9909,49.9818,54.9841,101.033,45.578,92.8025,92.7594,92.9022,93.1415,93.3124,277.138,0.596144
