corner_id,corner,temp_c,vin_v,vout_0ma,vout_25ma,vout_50ma,ivin_0ma_ua,iload_25ma,iload_50ma,isns_mv_50ma,vth_mv_50ma,sense_margin_pct,ilim_1764_ma,ilim_1500_ma,ilim_0900_ma,ilim_0300_ma,ilim_0000_ma,pshort_mw,flat_0_vs_1500_pct
tt_-40c_2.97v,tt,-40,2.97,1.79956,1.79955,1.79955,10.6729,24.9938,49.9876,68.7817,100.836,31.7884,73.909,73.928,74.1305,74.398,74.5756,221.489,0.875892
tt_-40c_3.30v,tt,-40,3.30,1.79953,1.79953,1.79953,12.1953,24.9935,49.9869,68.872,101.224,31.9605,73.9382,74.0207,74.2654,74.59,74.9192,247.233,1.21393
tt_-40c_3.63v,tt,-40,3.63,1.79947,1.79947,1.79947,13.7814,24.9927,49.9853,68.9217,101.566,32.1407,74.0398,74.1443,74.4161,74.9612,75.7525,274.982,2.16908
tt_27c_2.97v,tt,27,2.97,1.79948,1.79948,1.79948,11.6174,24.9928,49.9855,67.9212,100.875,32.6678,74.9342,74.9142,75.05,75.2613,75.4082,223.962,0.659381
tt_27c_3.30v,tt,27,3.30,1.79945,1.79945,1.79945,13.2654,24.9924,49.9847,68.0108,101.227,32.8134,74.9158,74.9678,75.1536,75.4193,75.7062,249.831,0.98501
tt_27c_3.63v,tt,27,3.63,1.79938,1.79938,1.79937,14.9928,24.9913,49.9826,68.0596,101.535,32.9694,74.9797,75.0577,75.2737,75.7431,76.465,277.568,1.87496
tt_125c_2.97v,tt,125,2.97,1.79934,1.79934,1.79934,12.8165,24.9908,49.9817,67.422,100.934,33.2017,75.6086,75.5385,75.5953,75.7409,75.8515,225.279,0.414425
tt_125c_3.30v,tt,125,3.30,1.79931,1.7993,1.7993,14.6168,24.9903,49.9807,67.5113,101.251,33.3228,75.5307,75.5465,75.6637,75.8609,76.0962,251.118,0.727618
tt_125c_3.63v,tt,125,3.63,1.79921,1.7992,1.7992,16.5243,24.9889,49.9778,67.5589,101.527,33.4573,75.5506,75.5976,75.7492,76.1285,76.7602,278.64,1.53789
ff_-40c_2.97v,ff,-40,2.97,1.79953,1.79953,1.79953,13.5611,24.9935,49.987,55.7381,101.007,44.8178,91.4465,91.4563,91.6799,91.9851,92.1929,273.813,0.805445
ff_-40c_3.30v,ff,-40,3.30,1.79951,1.7995,1.7995,15.5291,24.9931,49.9862,55.7956,101.382,44.9648,91.4663,91.5564,91.8333,92.2113,92.611,305.616,1.15183
ff_-40c_3.63v,ff,-40,3.63,1.79944,1.79944,1.79943,17.5902,24.9922,49.9843,55.8269,101.71,45.1117,91.5775,91.6953,92.0067,92.6637,93.644,339.928,2.12518
ff_27c_2.97v,ff,27,2.97,1.79945,1.79945,1.79945,14.8034,24.9923,49.9847,54.9872,101.033,45.5749,92.7904,92.7473,92.8897,93.1282,93.2984,277.096,0.594206
ff_27c_3.30v,ff,27,3.30,1.79942,1.79941,1.79941,16.9393,24.9919,49.9837,55.0443,101.375,45.7023,92.7469,92.7996,93.0067,93.3137,93.6592,309.075,0.926286
ff_27c_3.63v,ff,27,3.63,1.79933,1.79933,1.79933,19.1933,24.9906,49.9813,55.0748,101.673,45.8312,92.8123,92.8986,93.144,93.7061,94.5945,343.378,1.82548
ff_125c_2.97v,ff,125,2.97,1.7993,1.79927,1.79927,16.383,24.9898,49.9796,54.5049,101.082,46.0785,93.7987,93.6695,93.6958,93.846,93.9678,279.084,0.318396
ff_125c_3.30v,ff,125,3.30,1.79927,1.79922,1.79922,18.7286,24.9892,49.9783,54.5615,101.393,46.1879,93.6547,93.6533,93.7661,93.9826,94.2591,311.055,0.646822
ff_125c_3.63v,ff,125,3.63,1.79919,1.7991,1.7991,21.2376,24.9874,49.9749,54.5909,101.661,46.3012,93.6552,93.6987,93.8586,94.3014,95.0684,345.098,1.46181
ss_-40c_2.97v,ss,-40,2.97,1.79957,1.79957,1.79956,8.78613,24.994,49.9879,81.7952,100.672,18.7505,62.0065,62.0189,62.1972,62.434,62.5887,185.889,0.918752
ss_-40c_3.30v,ss,-40,3.30,1.79954,1.79954,1.79954,10.0212,24.9937,49.9873,81.9308,101.073,18.9385,62.0272,62.0997,62.3164,62.6001,62.8792,207.501,1.25526
ss_-40c_3.63v,ss,-40,3.63,1.7995,1.79949,1.79949,11.3042,24.993,49.9859,82.005,101.427,19.1487,62.1165,62.209,62.449,62.9135,63.5734,230.772,2.1933
ss_27c_2.97v,ss,27,2.97,1.79949,1.79949,1.79949,9.5378,24.9929,49.9858,80.8204,100.725,19.7618,62.8432,62.824,62.944,63.1316,63.2603,187.883,0.694496
ss_27c_3.30v,ss,27,3.30,1.79947,1.79947,1.79947,10.8729,24.9926,49.9852,80.957,101.089,19.9152,62.8247,62.8706,63.0354,63.2684,63.5127,209.592,1.0214
ss_27c_3.63v,ss,27,3.63,1.79941,1.7994,1.7994,12.2662,24.9917,49.9834,81.0309,101.408,20.0943,62.8809,62.95,63.141,63.5424,64.1471,232.854,1.90164
ss_125c_2.97v,ss,125,2.97,1.79937,1.79937,1.79936,10.4929,24.9912,49.9823,80.2971,100.798,20.3388,63.3631,63.3063,63.3609,63.4932,63.592,188.868,0.451282
ss_125c_3.30v,ss,125,3.30,1.79934,1.79933,1.79933,11.9472,24.9908,49.9815,80.4365,101.126,20.4588,63.2991,63.315,63.4218,63.5976,63.8003,210.541,0.766437
ss_125c_3.63v,ss,125,3.63,1.79926,1.79925,1.79925,13.4782,24.9895,49.979,80.5102,101.411,20.61,63.3185,63.3614,63.4979,63.8255,64.3587,233.622,1.57399
fs_-40c_2.97v,fs,-40,2.97,1.79955,1.79954,1.79954,10.8361,24.9937,49.9873,68.802,100.713,31.6852,73.8505,73.8508,74.0384,74.2981,74.4702,221.177,0.838745
fs_-40c_3.30v,fs,-40,3.30,1.79953,1.79953,1.79953,12.3445,24.9934,49.9868,68.8942,101.099,31.855,73.8583,73.9333,74.1689,74.4842,74.8026,246.849,1.17573
fs_-40c_3.63v,fs,-40,3.63,1.79949,1.79949,1.79949,13.913,24.9929,49.9858,68.9454,101.44,32.0331,73.9513,74.0512,74.3153,74.8429,75.6098,274.464,2.10477
fs_27c_2.97v,fs,27,2.97,1.79947,1.79947,1.79947,11.7829,24.9927,49.9853,67.9382,100.758,32.573,74.8975,74.8573,74.9763,75.1796,75.3217,223.706,0.620367
fs_27c_3.30v,fs,27,3.30,1.79945,1.79945,1.79945,13.4144,24.9924,49.9847,68.0302,101.109,32.7163,74.856,74.8993,75.0751,75.3321,75.6094,249.511,0.947992
fs_27c_3.63v,fs,27,3.63,1.79941,1.79941,1.7994,15.1199,24.9917,49.9835,68.0808,101.417,32.8701,74.9099,74.9828,75.1908,75.6445,76.3439,277.128,1.81523
fs_125c_2.97v,fs,125,2.97,1.79935,1.79934,1.79934,12.9796,24.9909,49.9818,67.4359,100.821,33.1131,75.6583,75.546,75.5679,75.6992,75.804,225.138,0.3415
fs_125c_3.30v,fs,125,3.30,1.79933,1.79932,1.79932,14.7593,24.9906,49.9811,67.5284,101.138,33.2312,75.5317,75.5297,75.6265,75.8114,76.0372,250.923,0.672027
fs_125c_3.63v,fs,125,3.63,1.79927,1.79926,1.79926,16.6377,24.9898,49.9795,67.5786,101.413,33.3632,75.5305,75.5671,75.7045,76.0666,76.6773,278.339,1.46914
sf_-40c_2.97v,sf,-40,2.97,1.79956,1.79956,1.79956,10.5155,24.9939,49.9878,68.7575,100.968,31.9016,73.9865,74.0188,74.2339,74.5093,74.6928,221.838,0.910606
sf_-40c_3.30v,sf,-40,3.30,1.79953,1.79953,1.79953,12.0517,24.9934,49.9868,68.8468,101.358,32.0757,74.0311,74.1198,74.3731,74.7077,75.0494,247.663,1.25421
sf_-40c_3.63v,sf,-40,3.63,1.79944,1.79944,1.79943,13.6571,24.9922,49.9843,68.8951,101.703,32.2585,74.1401,74.2486,74.5283,75.0932,75.9125,275.562,2.24098
sf_27c_2.97v,sf,27,2.97,1.79948,1.79948,1.79948,11.4584,24.9928,49.9855,67.8993,101.002,32.7743,74.9941,74.9878,75.137,75.3558,75.5075,224.257,0.693072
sf_27c_3.30v,sf,27,3.30,1.79944,1.79944,1.79943,13.1231,24.9922,49.9843,67.9879,101.356,32.9219,74.9919,75.0505,75.2452,75.5198,75.8174,250.197,1.02178
sf_27c_3.63v,sf,27,3.63,1.79933,1.79932,1.79932,14.8746,24.9905,49.981,68.0349,101.667,33.0806,75.0638,75.1461,75.3697,75.8567,76.604,278.073,1.94011
sf_125c_2.97v,sf,125,2.97,1.79933,1.79932,1.79932,12.6612,24.9905,49.9811,67.4012,101.06,33.306,75.6313,75.5803,75.6545,75.8081,75.9222,225.489,0.45238
