corner_id,corner,temp_c,vin_v,cout,esr_ohm,rload_ohm,t_v04,t_v14,t_startup,vout_max_en,vout_settled,icap_peak_ma,isup_peak_ma,dvout_max,dvout_min,ssr_end,clg_end,vout_pp_late,vout_off_tran,pg_off_tran,ssr_off_tran,clg_off_tran,slope_vpms,t_startup_ms
ff_-40c_2.97v_0.33u_0.001_36,ff,-40,2.97,0.33u,0.001,36,0.000832687,0.0023772,0.00282977,1.80808,1.79945,2.4681,50.4179,7.40347,-1.61482,2.15667,2.96994,1.08209e-09,2.60868e-09,2.97001,1.74955e-09,1.58082e-05,0.647453,2.82977
ff_-40c_2.97v_0.33u_0.5_36,ff,-40,2.97,0.33u,0.5,36,0.000832685,0.0023772,0.00282977,1.808,1.79945,2.40986,50.4183,7.24471,-1.48433,2.15667,2.96994,5.04684e-10,1.64442e-09,2.97,8.3588e-09,8.77143e-07,0.647452,2.82977
ff_-40c_2.97v_1u_0.1_1e9,ff,-40,2.97,1u,0.1,1e9,0.000855695,0.00237557,0.00282851,1.80969,1.80602,7.63131,7.64789,7.58066,-0.000758803,2.15667,2.96994,0.000298118,1.80414,2.97001,8.51257e-09,5.64794e-06,0.657949,2.82851
ff_-40c_2.97v_1u_0.1_36,ff,-40,2.97,1u,0.1,36,0.000832673,0.0023772,0.00282977,1.80859,1.79945,6.77936,50.879,6.73793,-1.81446,2.15667,2.96994,1.27781e-09,-3.45981e-10,2.97001,3.29172e-09,1.29739e-05,0.647447,2.82977
ff_-40c_2.97v_4.7u_0.001_36,ff,-40,2.97,4.7u,0.001,36,0.000836724,0.0023772,0.00282978,1.8095,1.79945,24.0968,53.3954,5.117,-1.97563,2.15667,2.96994,6.15609e-10,0.00882427,2.97,1.08111e-08,-2.97125e-06,0.64915,2.82978
ff_-40c_2.97v_4.7u_0.5_36,ff,-40,2.97,4.7u,0.5,36,0.000832732,0.00237719,0.00282978,1.80881,1.79945,20.7479,53.3868,4.49095,-1.2426,2.15667,2.96994,3.74227e-10,0.0093601,2.97001,3.34843e-09,8.22517e-06,0.647476,2.82978
ff_-40c_3.30v_1u_0.1_36,ff,-40,3.30,1u,0.1,36,0.000854487,0.00240919,0.00286983,1.80762,1.79942,6.77274,50.8411,6.72734,-1.66596,2.23599,3.29994,1.65124e-09,1.8224e-08,3.29996,8.80289e-09,-3.77451e-05,0.64321,2.86983
ff_-40c_3.63v_0.33u_0.001_36,ff,-40,3.63,0.33u,0.001,36,0.000873781,0.00243479,0.00289966,1.80616,1.79934,2.46464,50.3659,7.40633,-1.51523,2.31109,3.62993,6.15481e-10,2.31584e-08,3.63001,6.0061e-09,1.25278e-05,0.640611,2.89966
ff_-40c_3.63v_0.33u_0.5_36,ff,-40,3.63,0.33u,0.5,36,0.000873781,0.00243479,0.00289966,1.8061,1.79934,2.40356,50.3664,7.22578,-1.33719,2.31109,3.62993,4.55466e-10,-1.66274e-09,3.63002,4.9551e-09,1.87779e-05,0.640611,2.89966
ff_-40c_3.63v_1u_0.1_1e9,ff,-40,3.63,1u,0.1,1e9,0.000864925,0.00243369,0.0028987,1.80761,1.80405,7.57864,7.59976,7.51947,-0.000740097,2.31109,3.62993,0.000293718,1.80217,3.63,6.89355e-09,4.60991e-06,0.637444,2.8987
ff_-40c_3.63v_1u_0.1_36,ff,-40,3.63,1u,0.1,36,0.000873764,0.00243478,0.00289965,1.80665,1.79934,6.76465,50.8085,6.72045,-1.53743,2.31109,3.62993,1.53348e-09,3.32145e-08,3.62997,1.89695e-08,-3.69382e-05,0.640608,2.89965
ff_-40c_3.63v_4.7u_0.001_36,ff,-40,3.63,4.7u,0.001,36,0.000870557,0.00243471,0.00289959,1.80744,1.79934,24.0462,53.2419,5.10453,-1.6612,2.31109,3.62993,1.15654e-09,0.00882068,3.63,9.09507e-09,1.31935e-06,0.639324,2.89959
ff_-40c_3.63v_4.7u_0.5_36,ff,-40,3.63,4.7u,0.5,36,0.000873585,0.00243471,0.00289959,1.8068,1.79934,20.5736,53.2337,4.46339,-1.00812,2.31109,3.62993,1.17388e-09,0.00935656,3.63002,1.24801e-08,1.71268e-05,0.640564,2.89959
