corner_id,T1,T1_measured,T2,T2_measured,T3,T3_measured,T4,T4_measured,T5,T5_measured,iinj_at_vref_na,vout_top_err_mv
ff_-40c_2.97v,FAIL,164.12 nA,FAIL,5.4611 uA,FAIL,-4.452 uA/V,FAIL,1.250 V,PASS,in regulation everywhere,164.117,-0.5500
ff_-40c_3.30v,FAIL,266.68 nA,FAIL,5.6319 uA,FAIL,-4.506 uA/V,FAIL,1.275 V,PASS,in regulation everywhere,266.683,-0.5800
ff_-40c_3.63v,FAIL,516.57 nA,FAIL,5.8065 uA,FAIL,-4.530 uA/V,FAIL,1.450 V,PASS,in regulation everywhere,516.567,-0.6700
ff_125c_2.97v,FAIL,282.78 nA,FAIL,5.3401 uA,FAIL,-4.326 uA/V,FAIL,1.400 V,PASS,in regulation everywhere,282.783,-0.9200
ff_125c_3.30v,FAIL,722.07 nA,FAIL,5.4919 uA,FAIL,-4.197 uA/V,FAIL,1.700 V,PASS,in regulation everywhere,722.067,-1.0200
ff_125c_3.63v,FAIL,1432.98 nA,FAIL,5.7094 uA,FAIL,-3.522 uA/V,FAIL,2.025 V,PASS,in regulation everywhere,1432.983,-1.7800
ff_27c_2.97v,FAIL,183.93 nA,FAIL,5.4083 uA,FAIL,-4.398 uA/V,FAIL,1.250 V,PASS,in regulation everywhere,183.933,-0.6600
ff_27c_3.30v,FAIL,324.25 nA,FAIL,5.5683 uA,FAIL,-4.447 uA/V,FAIL,1.375 V,PASS,in regulation everywhere,324.250,-0.7000
ff_27c_3.63v,FAIL,839.37 nA,FAIL,5.7315 uA,FAIL,-4.232 uA/V,FAIL,1.650 V,PASS,in regulation everywhere,839.367,-0.8100
fs_-40c_2.97v,FAIL,73.23 nA,FAIL,5.2233 uA,FAIL,-4.332 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,73.233,-0.5400
fs_-40c_3.30v,FAIL,146.25 nA,FAIL,5.4013 uA,FAIL,-4.412 uA/V,FAIL,1.250 V,PASS,in regulation everywhere,146.250,-0.5600
fs_-40c_3.63v,FAIL,240.83 nA,FAIL,5.5712 uA,FAIL,-4.469 uA/V,FAIL,1.250 V,PASS,in regulation everywhere,240.833,-0.6100
fs_125c_2.97v,FAIL,128.28 nA,FAIL,5.1451 uA,FAIL,-4.224 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,128.283,-0.7900
fs_125c_3.30v,FAIL,199.80 nA,FAIL,5.3093 uA,FAIL,-4.295 uA/V,FAIL,1.250 V,PASS,in regulation everywhere,199.800,-0.8200
fs_125c_3.63v,FAIL,324.10 nA,FAIL,5.4621 uA,FAIL,-4.345 uA/V,FAIL,1.400 V,PASS,in regulation everywhere,324.100,-0.9000
fs_27c_2.97v,FAIL,96.50 nA,FAIL,5.1886 uA,FAIL,-4.285 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,96.500,-0.6300
fs_27c_3.30v,FAIL,167.22 nA,FAIL,5.3589 uA,FAIL,-4.359 uA/V,FAIL,1.250 V,PASS,in regulation everywhere,167.217,-0.6500
fs_27c_3.63v,FAIL,256.38 nA,FAIL,5.5190 uA,FAIL,-4.414 uA/V,FAIL,1.275 V,PASS,in regulation everywhere,256.383,-0.7100
res_ff_-40c_2.97v,FAIL,90.07 nA,FAIL,5.2826 uA,FAIL,-4.370 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,90.067,-0.5700
res_ff_-40c_3.30v,FAIL,168.13 nA,FAIL,5.4480 uA,FAIL,-4.436 uA/V,FAIL,1.250 V,PASS,in regulation everywhere,168.133,-0.6000
res_ff_-40c_3.63v,FAIL,268.55 nA,FAIL,5.6109 uA,FAIL,-4.485 uA/V,FAIL,1.275 V,PASS,in regulation everywhere,268.550,-0.6700
res_ff_125c_2.97v,FAIL,145.18 nA,FAIL,5.1780 uA,FAIL,-4.251 uA/V,FAIL,1.250 V,PASS,in regulation everywhere,145.183,-0.8500
res_ff_125c_3.30v,FAIL,251.63 nA,FAIL,5.3269 uA,FAIL,-4.308 uA/V,FAIL,1.350 V,PASS,in regulation everywhere,251.633,-0.9100
res_ff_125c_3.63v,FAIL,614.40 nA,FAIL,5.4694 uA,FAIL,-4.284 uA/V,FAIL,1.625 V,PASS,in regulation everywhere,614.400,-1.0700
res_ff_27c_2.97v,FAIL,112.77 nA,FAIL,5.2391 uA,FAIL,-4.319 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,112.767,-0.6600
res_ff_27c_3.30v,FAIL,188.05 nA,FAIL,5.3958 uA,FAIL,-4.382 uA/V,FAIL,1.250 V,PASS,in regulation everywhere,188.050,-0.7000
res_ff_27c_3.63v,FAIL,300.78 nA,FAIL,5.5476 uA,FAIL,-4.427 uA/V,FAIL,1.325 V,PASS,in regulation everywhere,300.783,-0.8000
res_ss_-40c_2.97v,FAIL,90.12 nA,FAIL,5.2826 uA,FAIL,-4.370 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,90.117,-0.5000
res_ss_-40c_3.30v,FAIL,168.15 nA,FAIL,5.4480 uA,FAIL,-4.436 uA/V,FAIL,1.250 V,PASS,in regulation everywhere,168.150,-0.5300
res_ss_-40c_3.63v,FAIL,268.58 nA,FAIL,5.6109 uA,FAIL,-4.485 uA/V,FAIL,1.275 V,PASS,in regulation everywhere,268.583,-0.5900
res_ss_125c_2.97v,FAIL,145.18 nA,FAIL,5.1780 uA,FAIL,-4.251 uA/V,FAIL,1.250 V,PASS,in regulation everywhere,145.183,-0.7700
res_ss_125c_3.30v,FAIL,251.60 nA,FAIL,5.3269 uA,FAIL,-4.308 uA/V,FAIL,1.350 V,PASS,in regulation everywhere,251.600,-0.8100
res_ss_125c_3.63v,FAIL,614.40 nA,FAIL,5.4694 uA,FAIL,-4.284 uA/V,FAIL,1.625 V,PASS,in regulation everywhere,614.400,-0.9500
res_ss_27c_2.97v,FAIL,112.78 nA,FAIL,5.2391 uA,FAIL,-4.319 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,112.783,-0.5900
res_ss_27c_3.30v,FAIL,188.12 nA,FAIL,5.3959 uA,FAIL,-4.382 uA/V,FAIL,1.250 V,PASS,in regulation everywhere,188.117,-0.6200
res_ss_27c_3.63v,FAIL,300.78 nA,FAIL,5.5476 uA,FAIL,-4.427 uA/V,FAIL,1.325 V,PASS,in regulation everywhere,300.783,-0.7100
sf_-40c_2.97v,FAIL,108.42 nA,FAIL,5.1455 uA,FAIL,-4.315 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,108.417,-0.5200
sf_-40c_3.30v,FAIL,192.45 nA,FAIL,5.2984 uA,FAIL,-4.370 uA/V,FAIL,1.250 V,PASS,in regulation everywhere,192.450,-0.5600
sf_-40c_3.63v,FAIL,342.35 nA,FAIL,5.4535 uA,FAIL,-4.409 uA/V,FAIL,1.350 V,PASS,in regulation everywhere,342.350,-0.6700
sf_125c_2.97v,FAIL,190.23 nA,FAIL,4.9850 uA,FAIL,-4.144 uA/V,FAIL,1.325 V,PASS,in regulation everywhere,190.233,-0.8400
sf_125c_3.30v,FAIL,518.72 nA,FAIL,5.1195 uA,FAIL,-4.160 uA/V,FAIL,1.575 V,PASS,in regulation everywhere,518.717,-0.9400
sf_125c_3.63v,FAIL,1131.00 nA,FAIL,5.2683 uA,FAIL,-3.599 uA/V,FAIL,1.900 V,PASS,in regulation everywhere,1131.000,-1.3700
sf_27c_2.97v,FAIL,130.95 nA,FAIL,5.0810 uA,FAIL,-4.246 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,130.950,-0.6200
sf_27c_3.30v,FAIL,223.92 nA,FAIL,5.2236 uA,FAIL,-4.297 uA/V,FAIL,1.300 V,PASS,in regulation everywhere,223.917,-0.6800
sf_27c_3.63v,FAIL,593.52 nA,FAIL,5.3670 uA,FAIL,-4.272 uA/V,FAIL,1.550 V,PASS,in regulation everywhere,593.517,-0.8300
ss_-40c_2.97v,PASS,35.30 nA,FAIL,5.1042 uA,FAIL,-4.276 uA/V,PASS,1.200 V,PASS,in regulation everywhere,35.300,-0.5200
ss_-40c_3.30v,FAIL,90.97 nA,FAIL,5.2727 uA,FAIL,-4.360 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,90.967,-0.5400
ss_-40c_3.63v,FAIL,168.73 nA,FAIL,5.4290 uA,FAIL,-4.419 uA/V,FAIL,1.250 V,PASS,in regulation everywhere,168.733,-0.6100
ss_125c_2.97v,FAIL,89.88 nA,FAIL,5.0156 uA,FAIL,-4.164 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,89.883,-0.7700
ss_125c_3.30v,FAIL,148.27 nA,FAIL,5.1693 uA,FAIL,-4.237 uA/V,FAIL,1.250 V,PASS,in regulation everywhere,148.267,-0.8100
ss_125c_3.63v,FAIL,235.02 nA,FAIL,5.3084 uA,FAIL,-4.289 uA/V,FAIL,1.325 V,PASS,in regulation everywhere,235.017,-0.9200
ss_27c_2.97v,FAIL,58.82 nA,FAIL,5.0690 uA,FAIL,-4.229 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,58.817,-0.6100
ss_27c_3.30v,FAIL,115.10 nA,FAIL,5.2302 uA,FAIL,-4.307 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,115.100,-0.6400
ss_27c_3.63v,FAIL,189.33 nA,FAIL,5.3775 uA,FAIL,-4.364 uA/V,FAIL,1.250 V,PASS,in regulation everywhere,189.333,-0.7200
tt_-40c_2.97v,FAIL,90.08 nA,FAIL,5.2826 uA,FAIL,-4.370 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,90.083,-0.5300
tt_-40c_3.30v,FAIL,168.15 nA,FAIL,5.4480 uA,FAIL,-4.436 uA/V,FAIL,1.250 V,PASS,in regulation everywhere,168.150,-0.5600
tt_-40c_3.63v,FAIL,268.53 nA,FAIL,5.6109 uA,FAIL,-4.485 uA/V,FAIL,1.275 V,PASS,in regulation everywhere,268.533,-0.6300
tt_125c_2.97v,FAIL,145.18 nA,FAIL,5.1780 uA,FAIL,-4.251 uA/V,FAIL,1.250 V,PASS,in regulation everywhere,145.183,-0.8000
tt_125c_3.30v,FAIL,251.63 nA,FAIL,5.3269 uA,FAIL,-4.308 uA/V,FAIL,1.350 V,PASS,in regulation everywhere,251.633,-0.8500
tt_125c_3.63v,FAIL,614.42 nA,FAIL,5.4694 uA,FAIL,-4.284 uA/V,FAIL,1.625 V,PASS,in regulation everywhere,614.417,-1.0000
tt_27c_2.97v,FAIL,112.78 nA,FAIL,5.2391 uA,FAIL,-4.319 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,112.783,-0.6200
tt_27c_3.30v,FAIL,188.07 nA,FAIL,5.3958 uA,FAIL,-4.382 uA/V,FAIL,1.250 V,PASS,in regulation everywhere,188.067,-0.6600
tt_27c_3.63v,FAIL,300.77 nA,FAIL,5.5476 uA,FAIL,-4.427 uA/V,FAIL,1.325 V,PASS,in regulation everywhere,300.767,-0.7500
