corner_id,corner,temp_c,vin_v,ssr_v,fb_v,vout_v,pg_v,erramp_v,isup_a,iinj_a,in_regulation
ff_-40c_2.97v,ff,-40.0,2.97,0,1.19964,0.161118,2.203,2.203,0.00451148,5.46114e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.025,1.19964,0.19254,2.18879,2.18879,0.00538403,5.3564e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.05,1.19964,0.224808,2.17545,2.17545,0.00628008,5.24884e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.075,1.19964,0.257576,2.16286,2.16286,0.00719003,5.1396133e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.1,1.19964,0.290637,2.15094,2.15094,0.00810808,5.02941e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.125,1.19963,0.32387,2.13958,2.13958,0.00903095,4.9185833e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.15,1.19963,0.357211,2.12871,2.12871,0.00995679,4.8074467e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.175,1.19963,0.39062,2.11825,2.11825,0.0108845,4.6960833e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.2,1.19963,0.424073,2.10816,2.10816,0.0118135,4.5845733e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.225,1.19963,0.457557,2.09838,2.09838,0.0127433,4.47296e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.25,1.19963,0.49106,2.08888,2.08888,0.0136737,4.3612833e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.275,1.19963,0.524577,2.07963,2.07963,0.0146044,4.24956e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.3,1.19963,0.558101,2.0706,2.0706,0.0155353,4.1378133e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.325,1.19963,0.59163,2.06177,2.06177,0.0164664,4.02605e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.35,1.19963,0.625159,2.05312,2.05312,0.0173975,3.9142867e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.375,1.19963,0.658688,2.04464,2.04464,0.0183285,3.8025233e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.4,1.19963,0.692212,2.03631,2.03631,0.0192595,3.6907767e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.425,1.19963,0.725732,2.02812,2.02812,0.0201903,3.5790433e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.45,1.19963,0.759244,2.02006,2.02006,0.0211209,3.4673367e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.475,1.19963,0.792748,2.01212,2.01212,0.0220513,3.3556567e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.5,1.19963,0.826242,2.00429,2.00429,0.0229814,3.24401e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.525,1.19963,0.859725,1.99656,1.99656,0.0239112,3.1324e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.55,1.19963,0.893195,1.98893,1.98893,0.0248406,3.0208333e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.575,1.19963,0.926652,1.98139,1.98139,0.0257697,2.90931e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.6,1.19963,0.960093,1.97393,1.97393,0.0266983,2.79784e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.625,1.19963,0.993518,1.96654,1.96654,0.0276265,2.6864233e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.65,1.19963,1.02693,1.95923,1.95923,0.0285542,2.57505e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.675,1.19963,1.06031,1.95199,1.95199,0.0294813,2.4637833e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.7,1.19963,1.09368,1.94482,1.94482,0.0304079,2.35255e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.725,1.19963,1.12703,1.9377,1.9377,0.0313339,2.2413833e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.75,1.19963,1.16035,1.93064,1.93064,0.0322593,2.1303167e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.775,1.19963,1.19365,1.92364,1.92364,0.0331839,2.0193167e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.8,1.19963,1.22692,1.91668,1.91668,0.0341077,1.9084167e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.825,1.19963,1.26015,1.90977,1.90977,0.0350308,1.79765e-06,yes
