device,corner,temp_c,w_um,l_um,vsb_v,i_criterion_a,vth_v
nfet_03v3,typical,-40,10,0.28u,0,3.57143e-06,0.681569
nfet_03v3,typical,-40,10,0.28u,1,3.57143e-06,0.848804
nfet_03v3,typical,-40,10,0.50u,0,2e-06,0.73413
nfet_03v3,typical,-40,10,0.50u,1,2e-06,1.01576
nfet_03v3,typical,-40,10,1.00u,0,1e-06,0.714205
nfet_03v3,typical,-40,10,1.00u,1,1e-06,1.02516
pfet_03v3,typical,-40,10,0.28u,0,3.57143e-06,0.858259
pfet_03v3,typical,-40,10,0.28u,1,3.57143e-06,1.11408
pfet_03v3,typical,-40,10,0.50u,0,2e-06,0.905096
pfet_03v3,typical,-40,10,0.50u,1,2e-06,1.25958
pfet_03v3,typical,-40,10,1.00u,0,1e-06,0.905582
pfet_03v3,typical,-40,10,1.00u,1,1e-06,1.28841
nfet_06v0,typical,-40,10,0.60u,0,1.66667e-06,0.773805
nfet_06v0,typical,-40,10,0.60u,1,1.66667e-06,1.08041
nfet_06v0,typical,-40,10,1.20u,0,8.33333e-07,0.795719
nfet_06v0,typical,-40,10,1.20u,1,8.33333e-07,1.17324
pfet_06v0,typical,-40,10,0.55u,0,1.81818e-06,1.00359
pfet_06v0,typical,-40,10,0.55u,1,1.81818e-06,1.34567
pfet_06v0,typical,-40,10,1.20u,0,8.33333e-07,1.03445
pfet_06v0,typical,-40,10,1.20u,1,8.33333e-07,1.42217
nfet_03v3,typical,27,10,0.28u,0,3.57143e-06,0.609429
nfet_03v3,typical,27,10,0.28u,1,3.57143e-06,0.780115
nfet_03v3,typical,27,10,0.50u,0,2e-06,0.663388
nfet_03v3,typical,27,10,0.50u,1,2e-06,0.948563
nfet_03v3,typical,27,10,1.00u,0,1e-06,0.644405
nfet_03v3,typical,27,10,1.00u,1,1e-06,0.958973
pfet_03v3,typical,27,10,0.28u,0,3.57143e-06,0.786588
pfet_03v3,typical,27,10,0.28u,1,3.57143e-06,1.04687
pfet_03v3,typical,27,10,0.50u,0,2e-06,0.83855
pfet_03v3,typical,27,10,0.50u,1,2e-06,1.19809
pfet_03v3,typical,27,10,1.00u,0,1e-06,0.84289
pfet_03v3,typical,27,10,1.00u,1,1e-06,1.22993
nfet_06v0,typical,27,10,0.60u,0,1.66667e-06,0.7003
nfet_06v0,typical,27,10,0.60u,1,1.66667e-06,1.01656
