device,corner,temp_c,vin_v,l_um,w_mm,metric,vdrop_v,vgs_v,id_a,rds_ohm,rdsw_ohm_mm
nfet_03v3,typical,-40,2.10,0.28u,1,id_at_drop100mV,0.1,0.1,-2.01E-11,-4.97512E+09,-4.97512E+09
nfet_03v3,typical,-40,2.10,0.28u,1,id_at_drop200mV,0.2,0.2,-1.90997E-11,-1.04714E+10,-1.04714E+10
nfet_03v3,typical,-40,2.10,0.28u,1,id_at_drop300mV,0.3,0.3,-1.807E-11,-1.66021E+10,-1.66021E+10
nfet_03v3,typical,-40,2.10,0.28u,2,id_at_drop100mV,0.1,0.1,-4.02E-11,-2.48756E+09,-4.97512E+09
nfet_03v3,typical,-40,2.10,0.28u,2,id_at_drop200mV,0.2,0.2,-3.81994E-11,-5.23568E+09,-1.04714E+10
nfet_03v3,typical,-40,2.10,0.28u,2,id_at_drop300mV,0.3,0.3,-3.614E-11,-8.30104E+09,-1.66021E+10
nfet_03v3,typical,-40,2.10,0.28u,4,id_at_drop100mV,0.1,0.1,-8.04E-11,-1.24378E+09,-4.97512E+09
nfet_03v3,typical,-40,2.10,0.28u,4,id_at_drop200mV,0.2,0.2,-7.63989E-11,-2.61784E+09,-1.04714E+10
nfet_03v3,typical,-40,2.10,0.28u,4,id_at_drop300mV,0.3,0.3,-7.22801E-11,-4.15052E+09,-1.66021E+10
nfet_03v3,typical,-40,2.10,0.50u,1,id_at_drop100mV,0.1,0.1,-2.01E-11,-4.97512E+09,-4.97512E+09
nfet_03v3,typical,-40,2.10,0.50u,1,id_at_drop200mV,0.2,0.2,-1.91E-11,-1.04712E+10,-1.04712E+10
nfet_03v3,typical,-40,2.10,0.50u,1,id_at_drop300mV,0.3,0.3,-1.81E-11,-1.65746E+10,-1.65746E+10
nfet_03v3,typical,-40,2.10,0.50u,2,id_at_drop100mV,0.1,0.1,-4.02E-11,-2.48756E+09,-4.97512E+09
nfet_03v3,typical,-40,2.10,0.50u,2,id_at_drop200mV,0.2,0.2,-3.82E-11,-5.2356E+09,-1.04712E+10
nfet_03v3,typical,-40,2.10,0.50u,2,id_at_drop300mV,0.3,0.3,-3.62E-11,-8.28729E+09,-1.65746E+10
