device,corner,temp_c,vin_v,l_um,w_mm,metric,vsd_v,id_a,rds_ohm,rdsw_ohm_mm,vd_v
pfet_03v3,typical,-40,2.10,0.28u,1,drop_at_50mA,0.32846,0.05,6.5692,6.5692,1.77154
pfet_03v3,typical,-40,2.10,0.28u,1,drop_at_100mA,1.19617,0.1,11.9617,11.9617,0.903827
pfet_03v3,typical,-40,2.10,0.28u,1,rlin_at_50mV,0.05,0.00893941,5.59321,5.59321,2.05
pfet_03v3,typical,-40,2.10,0.28u,2,drop_at_50mA,0.147727,0.05,2.95453,5.90907,1.95227
pfet_03v3,typical,-40,2.10,0.28u,2,drop_at_100mA,0.32846,0.1,3.2846,6.5692,1.77154
pfet_03v3,typical,-40,2.10,0.28u,2,rlin_at_50mV,0.05,0.0178788,2.79661,5.59321,2.05
pfet_03v3,typical,-40,2.10,0.28u,4,drop_at_50mA,0.0707256,0.05,1.41451,5.65805,2.02927
pfet_03v3,typical,-40,2.10,0.28u,4,drop_at_100mA,0.147727,0.1,1.47727,5.90907,1.95227
pfet_03v3,typical,-40,2.10,0.28u,4,rlin_at_50mV,0.05,0.0357576,1.3983,5.59321,2.05
pfet_03v3,typical,-40,2.10,0.28u,8,drop_at_50mA,0.0346622,0.05,0.693243,5.54594,2.06534
pfet_03v3,typical,-40,2.10,0.28u,8,drop_at_100mA,0.0707256,0.1,0.707256,5.65805,2.02927
pfet_03v3,typical,-40,2.10,0.28u,8,rlin_at_50mV,0.05,0.0715153,0.699152,5.59321,2.05
pfet_03v3,typical,-40,2.10,0.28u,16,drop_at_50mA,0.0171648,0.05,0.343297,5.49274,2.08284
pfet_03v3,typical,-40,2.10,0.28u,16,drop_at_100mA,0.0346622,0.1,0.346622,5.54594,2.06534
pfet_03v3,typical,-40,2.10,0.28u,16,rlin_at_50mV,0.05,0.143031,0.349576,5.59321,2.05
pfet_03v3,typical,-40,2.10,0.50u,1,drop_at_50mA,0.777093,0.05,15.5419,15.5419,1.32291
pfet_03v3,typical,-40,2.10,0.50u,1,drop_at_100mA,6.82863,0.1,68.2863,68.2863,-4.72863
pfet_03v3,typical,-40,2.10,0.50u,1,rlin_at_50mV,0.05,0.0051929,9.62853,9.62853,2.05
pfet_03v3,typical,-40,2.10,0.50u,2,drop_at_50mA,0.274295,0.05,5.48589,10.9718,1.82571
pfet_03v3,typical,-40,2.10,0.50u,2,drop_at_100mA,0.777093,0.1,7.77093,15.5419,1.32291
pfet_03v3,typical,-40,2.10,0.50u,2,rlin_at_50mV,0.05,0.0103858,4.81427,9.62853,2.05
pfet_03v3,typical,-40,2.10,0.50u,4,drop_at_50mA,0.125605,0.05,2.51209,10.0484,1.9744
pfet_03v3,typical,-40,2.10,0.50u,4,drop_at_100mA,0.274295,0.1,2.74295,10.9718,1.82571
pfet_03v3,typical,-40,2.10,0.50u,4,rlin_at_50mV,0.05,0.0207716,2.40713,9.62853,2.05
