device,l_um,vsb_v,vth_typical_27c_v,vth_max_v,vth_max_corner,vth_max_temp_c,vth_min_v,vth_min_corner,vth_min_temp_c,pvt_spread_v,survey_assumed_v,delta_vs_survey_assumption_v
nfet_03v3,0.28u,0,0.609429,0.785007,ss,-40,0.403202,ff,125,0.381805,0.7,-0.090571
nfet_03v3,0.28u,1,0.780115,0.960886,ss,-40,0.571538,ff,125,0.389348,0.7,0.080115
nfet_03v3,0.50u,0,0.663388,0.84506,ss,-40,0.45296,ff,125,0.3921,0.7,-0.036612
nfet_03v3,0.50u,1,0.948563,1.14104,ss,-40,0.73032,ff,125,0.41072,0.7,0.248563
nfet_03v3,1.00u,0,0.644405,0.823979,ss,-40,0.436909,ff,125,0.38707,0.7,-0.055595
nfet_03v3,1.00u,1,0.958973,1.15074,ss,-40,0.742216,ff,125,0.408524,0.7,0.258973
nfet_06v0,0.60u,0,0.7003,0.908171,ss,-40,0.455624,ff,125,0.452547,0.7,0.0003
nfet_06v0,0.60u,1,1.01656,1.22993,ss,-40,0.778466,ff,125,0.451464,0.7,0.31656
nfet_06v0,1.20u,0,0.717496,0.9176,ss,-40,0.473442,ff,125,0.444158,0.7,0.017496
nfet_06v0,1.20u,1,1.10447,1.29559,ss,-40,0.876051,ff,125,0.419539,0.7,0.40447
pfet_03v3,0.28u,0,0.786588,0.986024,ss,-40,0.546944,ff,125,0.43908,0.7,0.086588
pfet_03v3,0.28u,1,1.04687,1.26112,ss,-40,0.79563,ff,125,0.46549,0.7,0.34687
pfet_03v3,0.50u,0,0.83855,1.03039,ss,-40,0.611569,ff,125,0.418821,0.7,0.13855
pfet_03v3,0.50u,1,1.19809,1.40447,ss,-40,0.960319,ff,125,0.444151,0.7,0.49809
pfet_03v3,1.00u,0,0.84289,1.03106,ss,-40,0.622429,ff,125,0.408631,0.7,0.14289
pfet_03v3,1.00u,1,1.22993,1.43419,ss,-40,0.99668,ff,125,0.43751,0.7,0.52993
pfet_06v0,0.55u,0,0.928208,1.1467,ss,-40,0.673886,ff,125,0.472814,0.7,0.228208
pfet_06v0,0.55u,1,1.289,1.49793,ss,-40,1.05517,ff,125,0.44276,0.7,0.589
pfet_06v0,1.20u,0,0.964243,1.16892,ss,-40,0.728451,ff,125,0.440469,0.7,0.264243
pfet_06v0,1.20u,1,1.37136,1.55833,ss,-40,1.16251,ff,125,0.39582,0.7,0.67136
