device,corner,temp_c,vin_v,l_um,w_mm,metric,ioff_a,ioff_per_mm_a
nfet_03v3,typical,-40,2.10,0.28u,1,ioff_vgs0,3.73111E-13,3.73111E-13
nfet_03v3,typical,-40,2.10,0.28u,2,ioff_vgs0,7.46222E-13,3.73111E-13
nfet_03v3,typical,-40,2.10,0.28u,4,ioff_vgs0,1.49244E-12,3.73111E-13
nfet_03v3,typical,-40,2.10,0.28u,8,ioff_vgs0,2.98489E-12,3.73111E-13
nfet_03v3,typical,-40,2.10,0.28u,16,ioff_vgs0,5.96977E-12,3.73111E-13
nfet_03v3,typical,-40,2.10,0.50u,1,ioff_vgs0,4.29087E-15,4.29087E-15
nfet_03v3,typical,-40,2.10,0.50u,2,ioff_vgs0,8.58174E-15,4.29087E-15
nfet_03v3,typical,-40,2.10,0.50u,4,ioff_vgs0,1.71635E-14,4.29087E-15
nfet_03v3,typical,-40,2.10,0.50u,8,ioff_vgs0,3.4327E-14,4.29087E-15
nfet_03v3,typical,-40,2.10,0.50u,16,ioff_vgs0,6.8654E-14,4.29087E-15
nfet_03v3,typical,-40,2.10,1.00u,1,ioff_vgs0,2.89311E-15,2.89311E-15
nfet_03v3,typical,-40,2.10,1.00u,2,ioff_vgs0,5.78622E-15,2.89311E-15
nfet_03v3,typical,-40,2.10,1.00u,4,ioff_vgs0,1.15724E-14,2.89311E-15
nfet_03v3,typical,-40,2.10,1.00u,8,ioff_vgs0,2.31449E-14,2.89311E-15
nfet_03v3,typical,-40,2.10,1.00u,16,ioff_vgs0,4.62898E-14,2.89311E-15
nfet_03v3,typical,-40,2.97,0.28u,1,ioff_vgs0,8.97152E-13,8.97152E-13
nfet_03v3,typical,-40,2.97,0.28u,2,ioff_vgs0,1.7943E-12,8.97152E-13
nfet_03v3,typical,-40,2.97,0.28u,4,ioff_vgs0,3.58861E-12,8.97152E-13
nfet_03v3,typical,-40,2.97,0.28u,8,ioff_vgs0,7.17722E-12,8.97152E-13
nfet_03v3,typical,-40,2.97,0.28u,16,ioff_vgs0,1.43544E-11,8.97152E-13
nfet_03v3,typical,-40,2.97,0.50u,1,ioff_vgs0,4.97886E-15,4.97886E-15
nfet_03v3,typical,-40,2.97,0.50u,2,ioff_vgs0,9.95772E-15,4.97886E-15
nfet_03v3,typical,-40,2.97,0.50u,4,ioff_vgs0,1.99154E-14,4.97886E-15
nfet_03v3,typical,-40,2.97,0.50u,8,ioff_vgs0,3.98309E-14,4.97886E-15
nfet_03v3,typical,-40,2.97,0.50u,16,ioff_vgs0,7.96617E-14,4.97886E-15
nfet_03v3,typical,-40,2.97,1.00u,1,ioff_vgs0,3.13148E-15,3.13148E-15
nfet_03v3,typical,-40,2.97,1.00u,2,ioff_vgs0,6.26295E-15,3.13148E-15
nfet_03v3,typical,-40,2.97,1.00u,4,ioff_vgs0,1.25259E-14,3.13148E-15
nfet_03v3,typical,-40,2.97,1.00u,8,ioff_vgs0,2.50518E-14,3.13148E-15
nfet_03v3,typical,-40,2.97,1.00u,16,ioff_vgs0,5.01036E-14,3.13148E-15
nfet_03v3,typical,-40,3.30,0.28u,1,ioff_vgs0,1.24602E-12,1.24602E-12
nfet_03v3,typical,-40,3.30,0.28u,2,ioff_vgs0,2.49204E-12,1.24602E-12
nfet_03v3,typical,-40,3.30,0.28u,4,ioff_vgs0,4.98408E-12,1.24602E-12
nfet_03v3,typical,-40,3.30,0.28u,8,ioff_vgs0,9.96815E-12,1.24602E-12
