device,l_um,w_mm,temp_c,supply_class,ioff_max_a,worst_corner,worst_vin_v,ioff_max_ua,frac_of_30ua_iq_budget,frac_of_10ua_iq_stretch
nfet_03v3,0.28u,1,-40,dropout_testpoint,1.41061e-11,ff,2.10,1.41061e-05,4.70203e-07,1.41061e-06
nfet_03v3,0.28u,1,-40,lv,7.84034e-11,ff,3.63,7.84034e-05,2.61345e-06,7.84034e-06
nfet_03v3,0.28u,1,27,dropout_testpoint,5.77102e-09,ff,2.10,0.00577102,0.000192367,0.000577102
nfet_03v3,0.28u,1,27,lv,2.30162e-08,ff,3.63,0.0230162,0.000767207,0.00230162
nfet_03v3,0.28u,1,125,dropout_testpoint,9.83753e-07,ff,2.10,0.983753,0.0327918,0.0983753
nfet_03v3,0.28u,1,125,lv,2.89803e-06,ff,3.63,2.89803,0.096601,0.289803
nfet_03v3,0.28u,2,-40,dropout_testpoint,2.82122e-11,ff,2.10,2.82122e-05,9.40407e-07,2.82122e-06
nfet_03v3,0.28u,2,-40,lv,1.56807e-10,ff,3.63,0.000156807,5.2269e-06,1.56807e-05
nfet_03v3,0.28u,2,27,dropout_testpoint,1.1542e-08,ff,2.10,0.011542,0.000384733,0.0011542
nfet_03v3,0.28u,2,27,lv,4.60324e-08,ff,3.63,0.0460324,0.00153441,0.00460324
nfet_03v3,0.28u,2,125,dropout_testpoint,1.96751e-06,ff,2.10,1.96751,0.0655837,0.196751
nfet_03v3,0.28u,2,125,lv,5.79605e-06,ff,3.63,5.79605,0.193202,0.579605
nfet_03v3,0.28u,4,-40,dropout_testpoint,5.64244e-11,ff,2.10,5.64244e-05,1.88081e-06,5.64244e-06
nfet_03v3,0.28u,4,-40,lv,3.13614e-10,ff,3.63,0.000313614,1.04538e-05,3.13614e-05
nfet_03v3,0.28u,4,27,dropout_testpoint,2.30841e-08,ff,2.10,0.0230841,0.00076947,0.00230841
nfet_03v3,0.28u,4,27,lv,9.20649e-08,ff,3.63,0.0920649,0.00306883,0.00920649
nfet_03v3,0.28u,4,125,dropout_testpoint,3.93501e-06,ff,2.10,3.93501,0.131167,0.393501
nfet_03v3,0.28u,4,125,lv,1.15921e-05,ff,3.63,11.5921,0.386403,1.15921
nfet_03v3,0.28u,8,-40,dropout_testpoint,1.12849e-10,ff,2.10,0.000112849,3.76163e-06,1.12849e-05
nfet_03v3,0.28u,8,-40,lv,6.27227e-10,ff,3.63,0.000627227,2.09076e-05,6.27227e-05
