device,l_um,w_mm,metric,supply_class,n_cases,n_infeasible,worst_rds_ohm,worst_vsd_v,worst_corner,worst_temp_c,worst_vin_v,best_rds_ohm,best_corner,best_temp_c,best_vin_v
pfet_03v3,0.28u,1,drop_at_100mA,dropout_testpoint,15,8,15.4372,1.54372,sf,125,2.10,6.73418,ff,-40,2.10
pfet_03v3,0.28u,1,drop_at_100mA,lv,45,0,8.80425,0.880425,ss,125,2.97,3.50734,ff,-40,3.63
pfet_03v3,0.28u,1,drop_at_50mA,dropout_testpoint,15,0,12.8812,0.644058,ss,125,2.10,5.31533,ff,-40,2.10
pfet_03v3,0.28u,1,drop_at_50mA,lv,45,0,7.31385,0.365693,ss,125,2.97,3.32961,ff,-40,3.63
pfet_03v3,0.28u,1,rlin_at_50mV,dropout_testpoint,15,0,9.31764,0.05,ss,125,2.10,4.73978,ff,-40,2.10
pfet_03v3,0.28u,1,rlin_at_50mV,lv,45,0,6.57899,0.05,ss,125,2.97,3.2233,ff,-40,3.63
pfet_03v3,0.28u,2,drop_at_100mA,dropout_testpoint,15,0,6.44058,0.644058,ss,125,2.10,2.65767,ff,-40,2.10
pfet_03v3,0.28u,2,drop_at_100mA,lv,45,0,3.65693,0.365693,ss,125,2.97,1.6648,ff,-40,3.63
pfet_03v3,0.28u,2,drop_at_50mA,dropout_testpoint,15,0,5.18452,0.259226,ss,125,2.10,2.46202,ff,-40,2.10
pfet_03v3,0.28u,2,drop_at_50mA,lv,45,0,3.42388,0.171194,ss,125,2.97,1.62571,ff,-40,3.63
pfet_03v3,0.28u,2,rlin_at_50mV,dropout_testpoint,15,0,4.65882,0.05,ss,125,2.10,2.36989,ff,-40,2.10
pfet_03v3,0.28u,2,rlin_at_50mV,lv,45,0,3.28949,0.05,ss,125,2.97,1.61165,ff,-40,3.63
pfet_03v3,0.28u,4,drop_at_100mA,dropout_testpoint,15,0,2.59226,0.259226,ss,125,2.10,1.23101,ff,-40,2.10
pfet_03v3,0.28u,4,drop_at_100mA,lv,45,0,1.71194,0.171194,ss,125,2.97,0.812855,ff,-40,3.63
pfet_03v3,0.28u,4,drop_at_50mA,dropout_testpoint,15,0,2.41328,0.120664,ss,125,2.10,1.19081,ff,-40,2.10
pfet_03v3,0.28u,4,drop_at_50mA,lv,45,0,1.66273,0.0831367,ss,125,2.97,0.803637,ff,-40,3.63
pfet_03v3,0.28u,4,rlin_at_50mV,dropout_testpoint,15,0,2.32941,0.05,ss,125,2.10,1.18495,ff,-40,2.10
pfet_03v3,0.28u,4,rlin_at_50mV,lv,45,0,1.64475,0.05,ss,125,2.97,0.805826,ff,-40,3.63
pfet_03v3,0.28u,8,drop_at_100mA,dropout_testpoint,15,0,1.20664,0.120664,ss,125,2.10,0.595407,ff,-40,2.10
pfet_03v3,0.28u,8,drop_at_100mA,lv,45,0,0.831367,0.0831367,ss,125,2.97,0.401818,ff,-40,3.63
pfet_03v3,0.28u,8,drop_at_50mA,dropout_testpoint,15,0,1.16962,0.0584808,ss,125,2.10,0.586181,ff,-40,2.10
pfet_03v3,0.28u,8,drop_at_50mA,lv,45,0,0.819955,0.0409977,ss,125,2.97,0.399578,ff,-40,3.63
pfet_03v3,0.28u,8,rlin_at_50mV,dropout_testpoint,15,0,1.1647,0.05,ss,125,2.10,0.592473,ff,-40,2.10
pfet_03v3,0.28u,8,rlin_at_50mV,lv,45,0,0.822374,0.05,ss,125,2.97,0.402913,ff,-40,3.63
pfet_03v3,0.28u,16,drop_at_100mA,dropout_testpoint,15,0,0.584808,0.0584808,ss,125,2.10,0.293091,ff,-40,2.10
pfet_03v3,0.28u,16,drop_at_100mA,lv,45,0,0.409977,0.0409977,ss,125,2.97,0.199789,ff,-40,3.63
pfet_03v3,0.28u,16,drop_at_50mA,dropout_testpoint,15,0,0.576289,0.0288144,ss,125,2.10,0.290875,ff,-40,2.10
pfet_03v3,0.28u,16,drop_at_50mA,lv,45,0,0.407224,0.0203612,ss,125,2.97,0.199236,ff,-40,3.63
pfet_03v3,0.28u,16,rlin_at_50mV,dropout_testpoint,15,0,0.582352,0.05,ss,125,2.10,0.296236,ff,-40,2.10
pfet_03v3,0.28u,16,rlin_at_50mV,lv,45,0,0.411187,0.05,ss,125,2.97,0.201457,ff,-40,3.63
pfet_03v3,0.50u,1,drop_at_100mA,dropout_testpoint,15,15,,,,,,,,,
pfet_03v3,0.50u,1,drop_at_100mA,lv,45,4,20.6514,2.06514,fs,27,2.97,6.05428,ff,-40,3.63
pfet_03v3,0.50u,1,drop_at_50mA,dropout_testpoint,15,7,37.5538,1.87769,typical,27,2.10,10.8361,ff,-40,2.10
pfet_03v3,0.50u,1,drop_at_50mA,lv,45,0,14.1501,0.707505,ss,125,2.97,5.54365,ff,-40,3.63
pfet_03v3,0.50u,1,rlin_at_50mV,dropout_testpoint,15,0,16.8151,0.05,ss,125,2.10,8.22873,ff,-40,2.10
pfet_03v3,0.50u,1,rlin_at_50mV,lv,45,0,11.3229,0.05,ss,125,2.97,5.228,ff,-40,3.63
pfet_03v3,0.50u,2,drop_at_100mA,dropout_testpoint,15,7,18.7769,1.87769,typical,27,2.10,5.41804,ff,-40,2.10
pfet_03v3,0.50u,2,drop_at_100mA,lv,45,0,7.07505,0.707505,ss,125,2.97,2.77183,ff,-40,3.63
pfet_03v3,0.50u,2,drop_at_50mA,dropout_testpoint,15,0,11.216,0.5608,ss,125,2.10,4.51225,ff,-40,2.10
pfet_03v3,0.50u,2,drop_at_50mA,lv,45,0,6.15365,0.307682,ss,125,2.97,2.67039,ff,-40,3.63
pfet_03v3,0.50u,2,rlin_at_50mV,dropout_testpoint,15,0,8.40756,0.05,ss,125,2.10,4.11436,ff,-40,2.10
pfet_03v3,0.50u,2,rlin_at_50mV,lv,45,0,5.66145,0.05,ss,125,2.97,2.614,ff,-40,3.63
pfet_03v3,0.50u,4,drop_at_100mA,dropout_testpoint,15,0,5.608,0.5608,ss,125,2.10,2.25613,ff,-40,2.10
pfet_03v3,0.50u,4,drop_at_100mA,lv,45,0,3.07682,0.307682,ss,125,2.97,1.3352,ff,-40,3.63
pfet_03v3,0.50u,4,drop_at_50mA,dropout_testpoint,15,0,4.62262,0.231131,ss,125,2.10,2.11716,ff,-40,2.10
pfet_03v3,0.50u,4,drop_at_50mA,lv,45,0,2.91837,0.145919,ss,125,2.97,1.3122,ff,-40,3.63
