device,l_um,metric,supply_class,rds_target_ohm,target_meaning,w_required_mm_worst_case,worst_corner,worst_temp_c,worst_vin_v,w_required_mm_best_case,best_corner,best_temp_c,best_vin_v,n_cases_solved,n_cases_below_swept_widths,n_cases_above_swept_widths,worst_case_bounded
pfet_03v3,0.28u,drop_at_100mA,dropout_testpoint,3.0,300 mV @ 100 mA,3.57882,ss,125,2.10,1.82726,ff,-40,2.10,15,0,0,yes
pfet_03v3,0.28u,drop_at_100mA,dropout_testpoint,4.0,200 mV @ 50 mA,2.87464,ss,125,2.10,1.47454,ff,-40,2.10,13,2,0,yes
pfet_03v3,0.28u,drop_at_100mA,dropout_testpoint,6.0,300 mV @ 50 mA,2.1109,ss,125,2.10,1.08987,ff,-40,2.10,8,7,0,yes
pfet_03v3,0.28u,drop_at_100mA,lv,3.0,300 mV @ 100 mA,2.39643,ss,125,2.97,1.15643,ff,-40,3.63,45,0,0,yes
pfet_03v3,0.28u,drop_at_100mA,lv,4.0,200 mV @ 50 mA,1.8634,ss,125,2.97,1.0203,ff,-40,2.97,40,5,0,yes
pfet_03v3,0.28u,drop_at_100mA,lv,6.0,300 mV @ 50 mA,1.35328,ss,125,2.97,1.00374,ss,27,3.30,13,32,0,yes
pfet_03v3,0.28u,drop_at_50mA,dropout_testpoint,3.0,300 mV @ 100 mA,3.28389,ss,125,2.10,1.67389,ff,-40,2.10,15,0,0,yes
pfet_03v3,0.28u,drop_at_50mA,dropout_testpoint,4.0,200 mV @ 50 mA,2.53011,ss,125,2.10,1.29182,ff,-40,2.10,15,0,0,yes
pfet_03v3,0.28u,drop_at_50mA,dropout_testpoint,6.0,300 mV @ 50 mA,1.78941,ss,125,2.10,1.05789,ff,27,2.10,13,2,0,yes
pfet_03v3,0.28u,drop_at_50mA,lv,3.0,300 mV @ 100 mA,2.27044,ss,125,2.97,1.10604,ff,-40,3.63,45,0,0,yes
pfet_03v3,0.28u,drop_at_50mA,lv,4.0,200 mV @ 50 mA,1.73519,ss,125,2.97,1.00259,fs,-40,3.63,36,9,0,yes
pfet_03v3,0.28u,drop_at_50mA,lv,6.0,300 mV @ 50 mA,1.19821,ss,125,2.97,1.00172,ss,125,3.63,6,39,0,yes
pfet_03v3,0.28u,rlin_at_50mV,dropout_testpoint,3.0,300 mV @ 100 mA,3.10588,ss,125,2.10,1.57993,ff,-40,2.10,15,0,0,yes
pfet_03v3,0.28u,rlin_at_50mV,dropout_testpoint,4.0,200 mV @ 50 mA,2.32941,ss,125,2.10,1.18495,ff,-40,2.10,15,0,0,yes
pfet_03v3,0.28u,rlin_at_50mV,dropout_testpoint,6.0,300 mV @ 50 mA,1.55294,ss,125,2.10,1.05206,fs,-40,2.10,10,5,0,yes
pfet_03v3,0.28u,rlin_at_50mV,lv,3.0,300 mV @ 100 mA,2.19299,ss,125,2.97,1.07443,ff,-40,3.63,45,0,0,yes
pfet_03v3,0.28u,rlin_at_50mV,lv,4.0,200 mV @ 50 mA,1.64475,ss,125,2.97,1.01553,typical,-40,2.97,32,13,0,yes
pfet_03v3,0.28u,rlin_at_50mV,lv,6.0,300 mV @ 50 mA,1.0965,ss,125,2.97,1.00624,ss,125,3.30,3,42,0,yes
pfet_03v3,0.50u,drop_at_100mA,dropout_testpoint,3.0,300 mV @ 100 mA,6.52407,ss,125,2.10,3.1926,ff,-40,2.10,15,0,0,yes
pfet_03v3,0.50u,drop_at_100mA,dropout_testpoint,4.0,200 mV @ 50 mA,5.20975,ss,125,2.10,2.5427,ff,-40,2.10,13,2,0,yes
pfet_03v3,0.50u,drop_at_100mA,dropout_testpoint,6.0,300 mV @ 50 mA,3.18024,typical,27,2.10,2.26446,ff,27,2.10,6,9,0,yes
pfet_03v3,0.50u,drop_at_100mA,lv,3.0,300 mV @ 100 mA,4.09508,ss,125,2.97,1.86445,ff,-40,3.63,45,0,0,yes
pfet_03v3,0.50u,drop_at_100mA,lv,4.0,200 mV @ 50 mA,3.21513,ss,125,2.97,1.44445,ff,-40,3.63,45,0,0,yes
pfet_03v3,0.50u,drop_at_100mA,lv,6.0,300 mV @ 50 mA,2.29411,ss,125,2.97,1.00802,ff,-40,3.63,43,2,0,yes
pfet_03v3,0.50u,drop_at_50mA,dropout_testpoint,3.0,300 mV @ 100 mA,5.9387,ss,125,2.10,2.90676,ff,-40,2.10,15,0,0,yes
pfet_03v3,0.50u,drop_at_50mA,dropout_testpoint,4.0,200 mV @ 50 mA,4.56551,ss,125,2.10,2.2334,ff,-40,2.10,15,0,0,yes
pfet_03v3,0.50u,drop_at_50mA,dropout_testpoint,6.0,300 mV @ 50 mA,3.26203,ss,125,2.10,1.5963,ff,-40,2.10,15,0,0,yes
pfet_03v3,0.50u,drop_at_50mA,lv,3.0,300 mV @ 100 mA,3.89878,ss,125,2.97,1.79087,ff,-40,3.63,45,0,0,yes
pfet_03v3,0.50u,drop_at_50mA,lv,4.0,200 mV @ 50 mA,2.98431,ss,125,2.97,1.36302,ff,-40,3.63,45,0,0,yes
pfet_03v3,0.50u,drop_at_50mA,lv,6.0,300 mV @ 50 mA,2.04754,ss,125,2.97,1.02174,typical,-40,3.63,42,3,0,yes
pfet_03v3,0.50u,rlin_at_50mV,dropout_testpoint,3.0,300 mV @ 100 mA,5.60504,ss,125,2.10,2.74291,ff,-40,2.10,15,0,0,yes
pfet_03v3,0.50u,rlin_at_50mV,dropout_testpoint,4.0,200 mV @ 50 mA,4.20378,ss,125,2.10,2.05718,ff,-40,2.10,15,0,0,yes
pfet_03v3,0.50u,rlin_at_50mV,dropout_testpoint,6.0,300 mV @ 50 mA,2.80252,ss,125,2.10,1.37145,ff,-40,2.10,15,0,0,yes
pfet_03v3,0.50u,rlin_at_50mV,lv,3.0,300 mV @ 100 mA,3.77429,ss,125,2.97,1.74267,ff,-40,3.63,45,0,0,yes
pfet_03v3,0.50u,rlin_at_50mV,lv,4.0,200 mV @ 50 mA,2.83072,ss,125,2.97,1.307,ff,-40,3.63,45,0,0,yes
pfet_03v3,0.50u,rlin_at_50mV,lv,6.0,300 mV @ 50 mA,1.88715,ss,125,2.97,1.0179,fs,-40,3.63,39,6,0,yes
pfet_03v3,1.00u,drop_at_100mA,dropout_testpoint,3.0,300 mV @ 100 mA,13.2929,ss,125,2.10,6.31841,ff,-40,2.10,15,0,0,yes
pfet_03v3,1.00u,drop_at_100mA,dropout_testpoint,4.0,200 mV @ 50 mA,10.6901,ss,125,2.10,5.03544,ff,-40,2.10,11,4,0,yes
pfet_03v3,1.00u,drop_at_100mA,dropout_testpoint,6.0,300 mV @ 50 mA,6.05441,ff,125,2.10,4.61741,ff,27,2.10,4,11,0,yes
pfet_03v3,1.00u,drop_at_100mA,lv,3.0,300 mV @ 100 mA,8.03704,ss,125,2.97,3.51629,ff,-40,3.63,45,0,0,yes
pfet_03v3,1.00u,drop_at_100mA,lv,4.0,200 mV @ 50 mA,6.31748,ss,125,2.97,2.71283,ff,-40,3.63,45,0,0,yes
pfet_03v3,1.00u,drop_at_100mA,lv,6.0,300 mV @ 50 mA,4.50275,ss,125,2.97,1.9033,ff,-40,3.63,43,2,0,yes
pfet_03v3,1.00u,drop_at_50mA,dropout_testpoint,3.0,300 mV @ 100 mA,12.0251,ss,125,2.10,5.74051,ff,-40,2.10,15,0,0,yes
pfet_03v3,1.00u,drop_at_50mA,dropout_testpoint,4.0,200 mV @ 50 mA,9.2585,ss,125,2.10,4.40971,ff,-40,2.10,15,0,0,yes
pfet_03v3,1.00u,drop_at_50mA,dropout_testpoint,6.0,300 mV @ 50 mA,6.64646,ss,125,2.10,3.1592,ff,-40,2.10,15,0,0,yes
pfet_03v3,1.00u,drop_at_50mA,lv,3.0,300 mV @ 100 mA,7.66188,ss,125,2.97,3.38318,ff,-40,3.63,45,0,0,yes
pfet_03v3,1.00u,drop_at_50mA,lv,4.0,200 mV @ 50 mA,5.86156,ss,125,2.97,2.57016,ff,-40,3.63,45,0,0,yes
pfet_03v3,1.00u,drop_at_50mA,lv,6.0,300 mV @ 50 mA,4.01852,ss,125,2.97,1.75815,ff,-40,3.63,45,0,0,yes
pfet_03v3,1.00u,rlin_at_50mV,dropout_testpoint,3.0,300 mV @ 100 mA,11.322,ss,125,2.10,5.41664,ff,-40,2.10,15,0,0,yes
pfet_03v3,1.00u,rlin_at_50mV,dropout_testpoint,4.0,200 mV @ 50 mA,8.4915,ss,125,2.10,4.06248,ff,-40,2.10,15,0,0,yes
pfet_03v3,1.00u,rlin_at_50mV,dropout_testpoint,6.0,300 mV @ 50 mA,5.661,ss,125,2.10,2.70832,ff,-40,2.10,15,0,0,yes
pfet_03v3,1.00u,rlin_at_50mV,lv,3.0,300 mV @ 100 mA,7.41733,ss,125,2.97,3.29704,ff,-40,3.63,45,0,0,yes
pfet_03v3,1.00u,rlin_at_50mV,lv,4.0,200 mV @ 50 mA,5.563,ss,125,2.97,2.47278,ff,-40,3.63,45,0,0,yes
pfet_03v3,1.00u,rlin_at_50mV,lv,6.0,300 mV @ 50 mA,3.70867,ss,125,2.97,1.64852,ff,-40,3.63,45,0,0,yes
pfet_05v0,0.50u,drop_at_100mA,dropout_testpoint,3.0,300 mV @ 100 mA,10.1675,ss,125,2.10,3.61833,ff,-40,2.10,15,0,0,yes
pfet_05v0,0.50u,drop_at_100mA,dropout_testpoint,4.0,200 mV @ 50 mA,7.49959,fs,125,2.10,2.99137,ff,-40,2.10,11,4,0,yes
pfet_05v0,0.50u,drop_at_100mA,dropout_testpoint,6.0,300 mV @ 50 mA,6.28637,fs,125,2.10,2.28769,ff,-40,2.10,7,8,0,yes
pfet_05v0,0.50u,drop_at_100mA,lv,3.0,300 mV @ 100 mA,6.19798,ss,125,2.97,1.93425,ff,-40,3.63,45,0,0,yes
pfet_05v0,0.50u,drop_at_100mA,lv,4.0,200 mV @ 50 mA,4.81353,ss,125,2.97,1.51997,ff,-40,3.63,45,0,0,yes
pfet_05v0,0.50u,drop_at_100mA,lv,6.0,300 mV @ 50 mA,3.57013,ss,125,2.97,1.08218,ff,-40,3.63,43,2,0,yes
pfet_05v0,0.50u,drop_at_100mA,mv,3.0,300 mV @ 100 mA,3.95267,ss,125,4.50,1.45069,ff,-40,5.50,45,0,0,yes
pfet_05v0,0.50u,drop_at_100mA,mv,4.0,200 mV @ 50 mA,3.04866,ss,125,4.50,1.11176,ff,-40,5.50,45,0,0,yes
pfet_05v0,0.50u,drop_at_100mA,mv,6.0,300 mV @ 50 mA,2.11422,ss,125,4.50,1.00842,fs,-40,5.50,36,9,0,yes
pfet_05v0,0.50u,drop_at_50mA,dropout_testpoint,3.0,300 mV @ 100 mA,9.24479,ss,125,2.10,3.22384,ff,-40,2.10,15,0,0,yes
pfet_05v0,0.50u,drop_at_50mA,dropout_testpoint,4.0,200 mV @ 50 mA,7.15363,ss,125,2.10,2.50165,ff,-40,2.10,15,0,0,yes
pfet_05v0,0.50u,drop_at_50mA,dropout_testpoint,6.0,300 mV @ 50 mA,5.08377,ss,125,2.10,1.80917,ff,-40,2.10,15,0,0,yes
pfet_05v0,0.50u,drop_at_50mA,lv,3.0,300 mV @ 100 mA,5.85536,ss,125,2.97,1.83392,ff,-40,3.63,45,0,0,yes
pfet_05v0,0.50u,drop_at_50mA,lv,4.0,200 mV @ 50 mA,4.45994,ss,125,2.97,1.40408,ff,-40,3.63,45,0,0,yes
pfet_05v0,0.50u,drop_at_50mA,lv,6.0,300 mV @ 50 mA,3.09899,ss,125,2.97,1.02407,sf,-40,3.63,44,1,0,yes
pfet_05v0,0.50u,drop_at_50mA,mv,3.0,300 mV @ 100 mA,3.82995,ss,125,4.50,1.39599,ff,-40,5.50,45,0,0,yes
pfet_05v0,0.50u,drop_at_50mA,mv,4.0,200 mV @ 50 mA,2.90947,ss,125,4.50,1.05783,ff,-40,5.50,45,0,0,yes
pfet_05v0,0.50u,drop_at_50mA,mv,6.0,300 mV @ 50 mA,1.97633,ss,125,4.50,1.00369,ss,-40,5.50,32,13,0,yes
pfet_05v0,0.50u,rlin_at_50mV,dropout_testpoint,3.0,300 mV @ 100 mA,8.73565,ss,125,2.10,2.99901,ff,-40,2.10,15,0,0,yes
pfet_05v0,0.50u,rlin_at_50mV,dropout_testpoint,4.0,200 mV @ 50 mA,6.55174,ss,125,2.10,2.24926,ff,-40,2.10,15,0,0,yes
pfet_05v0,0.50u,rlin_at_50mV,dropout_testpoint,6.0,300 mV @ 50 mA,4.36782,ss,125,2.10,1.49951,ff,-40,2.10,15,0,0,yes
pfet_05v0,0.50u,rlin_at_50mV,lv,3.0,300 mV @ 100 mA,5.64341,ss,125,2.97,1.76739,ff,-40,3.63,45,0,0,yes
pfet_05v0,0.50u,rlin_at_50mV,lv,4.0,200 mV @ 50 mA,4.23256,ss,125,2.97,1.32554,ff,-40,3.63,45,0,0,yes
pfet_05v0,0.50u,rlin_at_50mV,lv,6.0,300 mV @ 50 mA,2.82171,ss,125,2.97,1.01186,sf,-40,3.30,42,3,0,yes
pfet_05v0,0.50u,rlin_at_50mV,mv,3.0,300 mV @ 100 mA,3.74871,ss,125,4.50,1.36023,ff,-40,5.50,45,0,0,yes
pfet_05v0,0.50u,rlin_at_50mV,mv,4.0,200 mV @ 50 mA,2.81153,ss,125,4.50,1.02017,ff,-40,5.50,45,0,0,yes
pfet_05v0,0.50u,rlin_at_50mV,mv,6.0,300 mV @ 50 mA,1.87436,ss,125,4.50,1.00997,ss,-40,5.00,28,17,0,yes
pfet_05v0,0.60u,drop_at_100mA,dropout_testpoint,3.0,300 mV @ 100 mA,12.3889,ss,125,2.10,4.48546,ff,-40,2.10,14,1,0,yes
pfet_05v0,0.60u,drop_at_100mA,dropout_testpoint,4.0,200 mV @ 50 mA,9.88597,ss,125,2.10,4.50771,ff,27,2.10,10,5,0,yes
pfet_05v0,0.60u,drop_at_100mA,dropout_testpoint,6.0,300 mV @ 50 mA,6.24951,typical,125,2.10,4.19178,ff,125,2.10,5,10,0,yes
pfet_05v0,0.60u,drop_at_100mA,lv,3.0,300 mV @ 100 mA,7.38463,ss,125,2.97,2.36996,ff,-40,3.63,45,0,0,yes
pfet_05v0,0.60u,drop_at_100mA,lv,4.0,200 mV @ 50 mA,5.79112,ss,125,2.97,1.84403,ff,-40,3.63,45,0,0,yes
pfet_05v0,0.60u,drop_at_100mA,lv,6.0,300 mV @ 50 mA,4.11126,ss,125,2.97,1.33557,ff,-40,3.63,40,5,0,yes
pfet_05v0,0.60u,drop_at_100mA,mv,3.0,300 mV @ 100 mA,4.6969,ss,125,4.50,1.74709,ff,-40,5.50,45,0,0,yes
