device,corner,temp_c,vin_v,l_um,w_mm,metric,cgg_f,cgd_f,cgg_per_mm_f
pfet_03v3,typical,-40,2.10,0.28u,1,cgg_at_vsd300mV,1.51794E-12,7.49044E-13,1.51794E-12
pfet_03v3,typical,-40,2.10,0.28u,2,cgg_at_vsd300mV,3.03587E-12,1.49809E-12,1.51794E-12
pfet_03v3,typical,-40,2.10,0.28u,4,cgg_at_vsd300mV,6.07174E-12,2.99618E-12,1.51794E-12
pfet_03v3,typical,-40,2.10,0.28u,8,cgg_at_vsd300mV,1.21435E-11,5.99235E-12,1.51794E-12
pfet_03v3,typical,-40,2.10,0.28u,16,cgg_at_vsd300mV,2.4287E-11,1.19847E-11,1.51794E-12
pfet_03v3,typical,-40,2.10,0.50u,1,cgg_at_vsd300mV,2.39872E-12,1.18085E-12,2.39872E-12
pfet_03v3,typical,-40,2.10,0.50u,2,cgg_at_vsd300mV,4.79743E-12,2.3617E-12,2.39872E-12
pfet_03v3,typical,-40,2.10,0.50u,4,cgg_at_vsd300mV,9.59487E-12,4.7234E-12,2.39872E-12
pfet_03v3,typical,-40,2.10,0.50u,8,cgg_at_vsd300mV,1.91897E-11,9.4468E-12,2.39872E-12
pfet_03v3,typical,-40,2.10,0.50u,16,cgg_at_vsd300mV,3.83795E-11,1.88936E-11,2.39872E-12
pfet_03v3,typical,-40,2.10,1.00u,1,cgg_at_vsd300mV,4.40456E-12,2.1626E-12,4.40456E-12
pfet_03v3,typical,-40,2.10,1.00u,2,cgg_at_vsd300mV,8.80911E-12,4.3252E-12,4.40456E-12
pfet_03v3,typical,-40,2.10,1.00u,4,cgg_at_vsd300mV,1.76182E-11,8.6504E-12,4.40456E-12
pfet_03v3,typical,-40,2.10,1.00u,8,cgg_at_vsd300mV,3.52365E-11,1.73008E-11,4.40456E-12
pfet_03v3,typical,-40,2.10,1.00u,16,cgg_at_vsd300mV,7.04729E-11,3.46016E-11,4.40456E-12
pfet_03v3,typical,-40,2.97,0.28u,1,cgg_at_vsd300mV,1.52586E-12,7.59327E-13,1.52586E-12
pfet_03v3,typical,-40,2.97,0.28u,2,cgg_at_vsd300mV,3.05172E-12,1.51865E-12,1.52586E-12
pfet_03v3,typical,-40,2.97,0.28u,4,cgg_at_vsd300mV,6.10344E-12,3.03731E-12,1.52586E-12
pfet_03v3,typical,-40,2.97,0.28u,8,cgg_at_vsd300mV,1.22069E-11,6.07462E-12,1.52586E-12
pfet_03v3,typical,-40,2.97,0.28u,16,cgg_at_vsd300mV,2.44138E-11,1.21492E-11,1.52586E-12
pfet_03v3,typical,-40,2.97,0.50u,1,cgg_at_vsd300mV,2.41507E-12,1.20104E-12,2.41507E-12
pfet_03v3,typical,-40,2.97,0.50u,2,cgg_at_vsd300mV,4.83014E-12,2.40209E-12,2.41507E-12
pfet_03v3,typical,-40,2.97,0.50u,4,cgg_at_vsd300mV,9.66029E-12,4.80418E-12,2.41507E-12
pfet_03v3,typical,-40,2.97,0.50u,8,cgg_at_vsd300mV,1.93206E-11,9.60835E-12,2.41507E-12
pfet_03v3,typical,-40,2.97,0.50u,16,cgg_at_vsd300mV,3.86412E-11,1.92167E-11,2.41507E-12
pfet_03v3,typical,-40,2.97,1.00u,1,cgg_at_vsd300mV,4.43747E-12,2.2049E-12,4.43747E-12
pfet_03v3,typical,-40,2.97,1.00u,2,cgg_at_vsd300mV,8.87494E-12,4.4098E-12,4.43747E-12
pfet_03v3,typical,-40,2.97,1.00u,4,cgg_at_vsd300mV,1.77499E-11,8.81961E-12,4.43747E-12
pfet_03v3,typical,-40,2.97,1.00u,8,cgg_at_vsd300mV,3.54998E-11,1.76392E-11,4.43747E-12
pfet_03v3,typical,-40,2.97,1.00u,16,cgg_at_vsd300mV,7.09995E-11,3.52784E-11,4.43747E-12
pfet_03v3,typical,-40,3.30,0.28u,1,cgg_at_vsd300mV,1.52427E-12,7.59363E-13,1.52427E-12
pfet_03v3,typical,-40,3.30,0.28u,2,cgg_at_vsd300mV,3.04854E-12,1.51873E-12,1.52427E-12
pfet_03v3,typical,-40,3.30,0.28u,4,cgg_at_vsd300mV,6.09708E-12,3.03745E-12,1.52427E-12
pfet_03v3,typical,-40,3.30,0.28u,8,cgg_at_vsd300mV,1.21942E-11,6.07491E-12,1.52427E-12
pfet_03v3,typical,-40,3.30,0.28u,16,cgg_at_vsd300mV,2.43883E-11,1.21498E-11,1.52427E-12
pfet_03v3,typical,-40,3.30,0.50u,1,cgg_at_vsd300mV,2.41258E-12,1.20133E-12,2.41258E-12
pfet_03v3,typical,-40,3.30,0.50u,2,cgg_at_vsd300mV,4.82516E-12,2.40265E-12,2.41258E-12
pfet_03v3,typical,-40,3.30,0.50u,4,cgg_at_vsd300mV,9.65032E-12,4.80531E-12,2.41258E-12
pfet_03v3,typical,-40,3.30,0.50u,8,cgg_at_vsd300mV,1.93006E-11,9.61061E-12,2.41258E-12
