device,l_um,w_mm,supply_class,cgg_max_f,cgg_max_corner,cgg_max_temp_c,cgg_max_vin_v,cgg_min_f,cgd_max_f,cgd_max_corner,cgg_per_mm_max_f
nfet_03v3,0.28u,1,dropout_testpoint,8.92577e-13,ss,125,2.10,7.27805e-13,3.59073e-13,ss,8.92577e-13
nfet_03v3,0.28u,1,lv,8.64684e-13,ss,125,2.97,6.97551e-13,3.54851e-13,ss,8.64684e-13
nfet_03v3,0.28u,2,dropout_testpoint,1.78515e-12,ss,125,2.10,1.45561e-12,7.18145e-13,ss,8.92577e-13
nfet_03v3,0.28u,2,lv,1.72937e-12,ss,125,2.97,1.3951e-12,7.09703e-13,ss,8.64684e-13
nfet_03v3,0.28u,4,dropout_testpoint,3.57031e-12,ss,125,2.10,2.91122e-12,1.43629e-12,ss,8.92577e-13
nfet_03v3,0.28u,4,lv,3.45873e-12,ss,125,2.97,2.7902e-12,1.41941e-12,ss,8.64684e-13
nfet_03v3,0.28u,8,dropout_testpoint,7.14061e-12,ss,125,2.10,5.82244e-12,2.87258e-12,ss,8.92577e-13
nfet_03v3,0.28u,8,lv,6.91747e-12,ss,125,2.97,5.58041e-12,2.83881e-12,ss,8.64684e-13
nfet_03v3,0.28u,16,dropout_testpoint,1.42812e-11,ss,125,2.10,1.16449e-11,5.74516e-12,ss,8.92577e-13
nfet_03v3,0.28u,16,lv,1.38349e-11,ss,125,2.97,1.11608e-11,5.67762e-12,ss,8.64684e-13
nfet_03v3,0.50u,1,dropout_testpoint,8.90562e-13,ss,-40,2.10,7.1534e-13,2.18971e-13,ss,8.90562e-13
nfet_03v3,0.50u,1,lv,8.37776e-13,ss,-40,2.97,6.45944e-13,2.1896e-13,ss,8.37776e-13
nfet_03v3,0.50u,2,dropout_testpoint,1.78112e-12,ss,-40,2.10,1.43068e-12,4.37942e-13,ss,8.90562e-13
nfet_03v3,0.50u,2,lv,1.67555e-12,ss,-40,2.97,1.29189e-12,4.3792e-13,ss,8.37776e-13
nfet_03v3,0.50u,4,dropout_testpoint,3.56225e-12,ss,-40,2.10,2.86136e-12,8.75884e-13,ss,8.90562e-13
nfet_03v3,0.50u,4,lv,3.35111e-12,ss,-40,2.97,2.58378e-12,8.7584e-13,ss,8.37776e-13
nfet_03v3,0.50u,8,dropout_testpoint,7.1245e-12,ss,-40,2.10,5.72272e-12,1.75177e-12,ss,8.90562e-13
nfet_03v3,0.50u,8,lv,6.70221e-12,ss,-40,2.97,5.16755e-12,1.75168e-12,ss,8.37776e-13
nfet_03v3,0.50u,16,dropout_testpoint,1.4249e-11,ss,-40,2.10,1.14454e-11,3.50353e-12,ss,8.90562e-13
nfet_03v3,0.50u,16,lv,1.34044e-11,ss,-40,2.97,1.03351e-11,3.50336e-12,ss,8.37776e-13
nfet_03v3,1.00u,1,dropout_testpoint,1.31516e-12,ss,-40,2.10,1.11825e-12,2.18975e-13,ss,1.31516e-12
nfet_03v3,1.00u,1,lv,1.21221e-12,ss,-40,2.97,9.78889e-13,2.1896e-13,ss,1.21221e-12
nfet_03v3,1.00u,2,dropout_testpoint,2.63032e-12,ss,-40,2.10,2.23651e-12,4.3795e-13,ss,1.31516e-12
nfet_03v3,1.00u,2,lv,2.42442e-12,ss,-40,2.97,1.95778e-12,4.3792e-13,ss,1.21221e-12
nfet_03v3,1.00u,4,dropout_testpoint,5.26063e-12,ss,-40,2.10,4.47301e-12,8.75901e-13,ss,1.31516e-12
nfet_03v3,1.00u,4,lv,4.84885e-12,ss,-40,2.97,3.91556e-12,8.7584e-13,ss,1.21221e-12
nfet_03v3,1.00u,8,dropout_testpoint,1.05213e-11,ss,-40,2.10,8.94603e-12,1.7518e-12,ss,1.31516e-12
nfet_03v3,1.00u,8,lv,9.6977e-12,ss,-40,2.97,7.83112e-12,1.75168e-12,ss,1.21221e-12
nfet_03v3,1.00u,16,dropout_testpoint,2.10425e-11,ss,-40,2.10,1.78921e-11,3.5036e-12,ss,1.31516e-12
nfet_03v3,1.00u,16,lv,1.93954e-11,ss,-40,2.97,1.56622e-11,3.50336e-12,ss,1.21221e-12
nfet_06v0,0.60u,1,dropout_testpoint,9.42672e-13,ss,-40,2.10,8.16887e-13,3.24e-13,ss,9.42672e-13
nfet_06v0,0.60u,1,lv,9.09478e-13,ss,-40,2.97,7.7724e-13,3.24e-13,ss,9.09478e-13
nfet_06v0,0.60u,1,mv,8.72035e-13,ss,-40,4.50,7.48358e-13,3.24e-13,ss,8.72035e-13
nfet_06v0,0.60u,2,dropout_testpoint,1.88534e-12,ss,-40,2.10,1.63377e-12,6.48e-13,ss,9.42672e-13
