device,corner,temp_c,vin_v,l_um,w_mm,metric,cgg_f,cgd_f,cgg_per_mm_f
nfet_03v3,typical,-40,2.10,0.28u,1,cgg_at_vds300mV,8.00449E-13,3.18346E-13,8.00449E-13
nfet_03v3,typical,-40,2.10,0.28u,2,cgg_at_vds300mV,1.6009E-12,6.36691E-13,8.00449E-13
nfet_03v3,typical,-40,2.10,0.28u,4,cgg_at_vds300mV,3.20179E-12,1.27338E-12,8.00449E-13
nfet_03v3,typical,-40,2.10,0.28u,8,cgg_at_vds300mV,6.40359E-12,2.54677E-12,8.00449E-13
nfet_03v3,typical,-40,2.10,0.28u,16,cgg_at_vds300mV,1.28072E-11,5.09353E-12,8.00449E-13
nfet_03v3,typical,-40,2.10,0.50u,1,cgg_at_vds300mV,8.07787E-13,1.87434E-13,8.07787E-13
nfet_03v3,typical,-40,2.10,0.50u,2,cgg_at_vds300mV,1.61557E-12,3.74869E-13,8.07787E-13
nfet_03v3,typical,-40,2.10,0.50u,4,cgg_at_vds300mV,3.23115E-12,7.49738E-13,8.07787E-13
nfet_03v3,typical,-40,2.10,0.50u,8,cgg_at_vds300mV,6.46229E-12,1.49948E-12,8.07787E-13
nfet_03v3,typical,-40,2.10,0.50u,16,cgg_at_vds300mV,1.29246E-11,2.99895E-12,8.07787E-13
nfet_03v3,typical,-40,2.10,1.00u,1,cgg_at_vds300mV,1.22677E-12,1.87434E-13,1.22677E-12
nfet_03v3,typical,-40,2.10,1.00u,2,cgg_at_vds300mV,2.45353E-12,3.74869E-13,1.22677E-12
nfet_03v3,typical,-40,2.10,1.00u,4,cgg_at_vds300mV,4.90706E-12,7.49738E-13,1.22677E-12
nfet_03v3,typical,-40,2.10,1.00u,8,cgg_at_vds300mV,9.81412E-12,1.49948E-12,1.22677E-12
nfet_03v3,typical,-40,2.10,1.00u,16,cgg_at_vds300mV,1.96282E-11,2.99895E-12,1.22677E-12
nfet_03v3,typical,-40,2.97,0.28u,1,cgg_at_vds300mV,7.80572E-13,3.17861E-13,7.80572E-13
nfet_03v3,typical,-40,2.97,0.28u,2,cgg_at_vds300mV,1.56114E-12,6.35722E-13,7.80572E-13
nfet_03v3,typical,-40,2.97,0.28u,4,cgg_at_vds300mV,3.12229E-12,1.27144E-12,7.80572E-13
nfet_03v3,typical,-40,2.97,0.28u,8,cgg_at_vds300mV,6.24458E-12,2.54289E-12,7.80572E-13
nfet_03v3,typical,-40,2.97,0.28u,16,cgg_at_vds300mV,1.24892E-11,5.08577E-12,7.80572E-13
nfet_03v3,typical,-40,2.97,0.50u,1,cgg_at_vds300mV,7.57923E-13,1.87434E-13,7.57923E-13
nfet_03v3,typical,-40,2.97,0.50u,2,cgg_at_vds300mV,1.51585E-12,3.74869E-13,7.57923E-13
