device,l_um,w_mm,temp_c,supply_class,ioff_max_a,worst_corner,worst_vin_v,ioff_max_ua,frac_of_30ua_iq_budget,frac_of_10ua_iq_stretch
pfet_03v3,0.28u,1,-40,dropout_testpoint,2.12795e-11,ff,2.10,2.12795e-05,7.09317e-07,2.12795e-06
pfet_03v3,0.28u,1,-40,lv,3.42013e-10,ff,3.63,0.000342013,1.14004e-05,3.42013e-05
pfet_03v3,0.28u,1,27,dropout_testpoint,1.16187e-10,ff,2.10,0.000116187,3.8729e-06,1.16187e-05
pfet_03v3,0.28u,1,27,lv,5.3177e-10,ff,3.63,0.00053177,1.77257e-05,5.3177e-05
pfet_03v3,0.28u,1,125,dropout_testpoint,6.06505e-08,ff,2.10,0.0606505,0.00202168,0.00606505
pfet_03v3,0.28u,1,125,lv,1.04362e-07,ff,3.63,0.104362,0.00347873,0.0104362
pfet_03v3,0.28u,2,-40,dropout_testpoint,4.2559e-11,ff,2.10,4.2559e-05,1.41863e-06,4.2559e-06
pfet_03v3,0.28u,2,-40,lv,6.84025e-10,ff,3.63,0.000684025,2.28008e-05,6.84025e-05
pfet_03v3,0.28u,2,27,dropout_testpoint,2.32375e-10,ff,2.10,0.000232375,7.74583e-06,2.32375e-05
pfet_03v3,0.28u,2,27,lv,1.06354e-09,ff,3.63,0.00106354,3.54513e-05,0.000106354
pfet_03v3,0.28u,2,125,dropout_testpoint,1.21301e-07,ff,2.10,0.121301,0.00404337,0.0121301
pfet_03v3,0.28u,2,125,lv,2.08724e-07,ff,3.63,0.208724,0.00695747,0.0208724
pfet_03v3,0.28u,4,-40,dropout_testpoint,8.5118e-11,ff,2.10,8.5118e-05,2.83727e-06,8.5118e-06
pfet_03v3,0.28u,4,-40,lv,1.36805e-09,ff,3.63,0.00136805,4.56017e-05,0.000136805
pfet_03v3,0.28u,4,27,dropout_testpoint,4.64749e-10,ff,2.10,0.000464749,1.54916e-05,4.64749e-05
pfet_03v3,0.28u,4,27,lv,2.12708e-09,ff,3.63,0.00212708,7.09027e-05,0.000212708
pfet_03v3,0.28u,4,125,dropout_testpoint,2.42602e-07,ff,2.10,0.242602,0.00808673,0.0242602
pfet_03v3,0.28u,4,125,lv,4.17448e-07,ff,3.63,0.417448,0.0139149,0.0417448
pfet_03v3,0.28u,8,-40,dropout_testpoint,1.70236e-10,ff,2.10,0.000170236,5.67453e-06,1.70236e-05
pfet_03v3,0.28u,8,-40,lv,2.7361e-09,ff,3.63,0.0027361,9.12033e-05,0.00027361
pfet_03v3,0.28u,8,27,dropout_testpoint,9.29498e-10,ff,2.10,0.000929498,3.09833e-05,9.29498e-05
pfet_03v3,0.28u,8,27,lv,4.25416e-09,ff,3.63,0.00425416,0.000141805,0.000425416
pfet_03v3,0.28u,8,125,dropout_testpoint,4.85204e-07,ff,2.10,0.485204,0.0161735,0.0485204
pfet_03v3,0.28u,8,125,lv,8.34896e-07,ff,3.63,0.834896,0.0278299,0.0834896
pfet_03v3,0.28u,16,-40,dropout_testpoint,3.40472e-10,ff,2.10,0.000340472,1.13491e-05,3.40472e-05
pfet_03v3,0.28u,16,-40,lv,5.4722e-09,ff,3.63,0.0054722,0.000182407,0.00054722
pfet_03v3,0.28u,16,27,dropout_testpoint,1.859e-09,ff,2.10,0.001859,6.19667e-05,0.0001859
pfet_03v3,0.28u,16,27,lv,8.50832e-09,ff,3.63,0.00850832,0.000283611,0.000850832
pfet_03v3,0.28u,16,125,dropout_testpoint,9.70408e-07,ff,2.10,0.970408,0.0323469,0.0970408
pfet_03v3,0.28u,16,125,lv,1.66979e-06,ff,3.63,1.66979,0.0556597,0.166979
pfet_03v3,0.50u,1,-40,dropout_testpoint,2.1227e-11,ff,2.10,2.1227e-05,7.07567e-07,2.1227e-06
pfet_03v3,0.50u,1,-40,lv,3.41885e-10,ff,3.63,0.000341885,1.13962e-05,3.41885e-05
pfet_03v3,0.50u,1,27,dropout_testpoint,2.61776e-11,ff,2.10,2.61776e-05,8.72587e-07,2.61776e-06
pfet_03v3,0.50u,1,27,lv,3.47427e-10,ff,3.63,0.000347427,1.15809e-05,3.47427e-05
pfet_03v3,0.50u,1,125,dropout_testpoint,4.86848e-09,ff,2.10,0.00486848,0.000162283,0.000486848
pfet_03v3,0.50u,1,125,lv,5.66186e-09,ff,3.63,0.00566186,0.000188729,0.000566186
pfet_03v3,0.50u,2,-40,dropout_testpoint,4.24539e-11,ff,2.10,4.24539e-05,1.41513e-06,4.24539e-06
pfet_03v3,0.50u,2,-40,lv,6.83771e-10,ff,3.63,0.000683771,2.27924e-05,6.83771e-05
pfet_03v3,0.50u,2,27,dropout_testpoint,5.23553e-11,ff,2.10,5.23553e-05,1.74518e-06,5.23553e-06
pfet_03v3,0.50u,2,27,lv,6.94855e-10,ff,3.63,0.000694855,2.31618e-05,6.94855e-05
pfet_03v3,0.50u,2,125,dropout_testpoint,9.73696e-09,ff,2.10,0.00973696,0.000324565,0.000973696
pfet_03v3,0.50u,2,125,lv,1.13237e-08,ff,3.63,0.0113237,0.000377457,0.00113237
pfet_03v3,0.50u,4,-40,dropout_testpoint,8.49078e-11,ff,2.10,8.49078e-05,2.83026e-06,8.49078e-06
pfet_03v3,0.50u,4,-40,lv,1.36754e-09,ff,3.63,0.00136754,4.55847e-05,0.000136754
pfet_03v3,0.50u,4,27,dropout_testpoint,1.04711e-10,ff,2.10,0.000104711,3.49037e-06,1.04711e-05
pfet_03v3,0.50u,4,27,lv,1.38971e-09,ff,3.63,0.00138971,4.63237e-05,0.000138971
pfet_03v3,0.50u,4,125,dropout_testpoint,1.94739e-08,ff,2.10,0.0194739,0.00064913,0.00194739
pfet_03v3,0.50u,4,125,lv,2.26474e-08,ff,3.63,0.0226474,0.000754913,0.00226474
pfet_03v3,0.50u,8,-40,dropout_testpoint,1.69816e-10,ff,2.10,0.000169816,5.66053e-06,1.69816e-05
