device,corner,temp_c,vin_v,l_um,w_mm,metric,ioff_a,ioff_per_mm_a
pfet_03v3,typical,-40,2.10,0.28u,1,ioff_vgs0,2.11525E-11,2.11525E-11
pfet_03v3,typical,-40,2.10,0.28u,2,ioff_vgs0,4.23051E-11,2.11525E-11
pfet_03v3,typical,-40,2.10,0.28u,4,ioff_vgs0,8.46101E-11,2.11525E-11
pfet_03v3,typical,-40,2.10,0.28u,8,ioff_vgs0,1.6922E-10,2.11525E-11
pfet_03v3,typical,-40,2.10,0.28u,16,ioff_vgs0,3.38441E-10,2.11525E-11
pfet_03v3,typical,-40,2.10,0.50u,1,ioff_vgs0,2.11516E-11,2.11516E-11
pfet_03v3,typical,-40,2.10,0.50u,2,ioff_vgs0,4.23032E-11,2.11516E-11
pfet_03v3,typical,-40,2.10,0.50u,4,ioff_vgs0,8.46064E-11,2.11516E-11
pfet_03v3,typical,-40,2.10,0.50u,8,ioff_vgs0,1.69213E-10,2.11516E-11
pfet_03v3,typical,-40,2.10,0.50u,16,ioff_vgs0,3.38426E-10,2.11516E-11
pfet_03v3,typical,-40,2.10,1.00u,1,ioff_vgs0,2.11516E-11,2.11516E-11
pfet_03v3,typical,-40,2.10,1.00u,2,ioff_vgs0,4.23032E-11,2.11516E-11
pfet_03v3,typical,-40,2.10,1.00u,4,ioff_vgs0,8.46063E-11,2.11516E-11
pfet_03v3,typical,-40,2.10,1.00u,8,ioff_vgs0,1.69213E-10,2.11516E-11
pfet_03v3,typical,-40,2.10,1.00u,16,ioff_vgs0,3.38425E-10,2.11516E-11
pfet_03v3,typical,-40,2.97,0.28u,1,ioff_vgs0,4.52182E-11,4.52182E-11
pfet_03v3,typical,-40,2.97,0.28u,2,ioff_vgs0,9.04365E-11,4.52182E-11
pfet_03v3,typical,-40,2.97,0.28u,4,ioff_vgs0,1.80873E-10,4.52182E-11
pfet_03v3,typical,-40,2.97,0.28u,8,ioff_vgs0,3.61746E-10,4.52182E-11
pfet_03v3,typical,-40,2.97,0.28u,16,ioff_vgs0,7.23492E-10,4.52182E-11
pfet_03v3,typical,-40,2.97,0.50u,1,ioff_vgs0,4.52167E-11,4.52167E-11
pfet_03v3,typical,-40,2.97,0.50u,2,ioff_vgs0,9.04335E-11,4.52167E-11
pfet_03v3,typical,-40,2.97,0.50u,4,ioff_vgs0,1.80867E-10,4.52167E-11
pfet_03v3,typical,-40,2.97,0.50u,8,ioff_vgs0,3.61734E-10,4.52167E-11
pfet_03v3,typical,-40,2.97,0.50u,16,ioff_vgs0,7.23468E-10,4.52167E-11
pfet_03v3,typical,-40,2.97,1.00u,1,ioff_vgs0,4.52167E-11,4.52167E-11
pfet_03v3,typical,-40,2.97,1.00u,2,ioff_vgs0,9.04334E-11,4.52167E-11
pfet_03v3,typical,-40,2.97,1.00u,4,ioff_vgs0,1.80867E-10,4.52167E-11
pfet_03v3,typical,-40,2.97,1.00u,8,ioff_vgs0,3.61734E-10,4.52167E-11
pfet_03v3,typical,-40,2.97,1.00u,16,ioff_vgs0,7.23467E-10,4.52167E-11
pfet_03v3,typical,-40,3.30,0.28u,1,ioff_vgs0,9.29085E-11,9.29085E-11
pfet_03v3,typical,-40,3.30,0.28u,2,ioff_vgs0,1.85817E-10,9.29085E-11
pfet_03v3,typical,-40,3.30,0.28u,4,ioff_vgs0,3.71634E-10,9.29085E-11
pfet_03v3,typical,-40,3.30,0.28u,8,ioff_vgs0,7.43268E-10,9.29085E-11
pfet_03v3,typical,-40,3.30,0.28u,16,ioff_vgs0,1.48654E-09,9.29085E-11
pfet_03v3,typical,-40,3.30,0.50u,1,ioff_vgs0,9.29067E-11,9.29067E-11
pfet_03v3,typical,-40,3.30,0.50u,2,ioff_vgs0,1.85813E-10,9.29067E-11
pfet_03v3,typical,-40,3.30,0.50u,4,ioff_vgs0,3.71627E-10,9.29067E-11
pfet_03v3,typical,-40,3.30,0.50u,8,ioff_vgs0,7.43254E-10,9.29067E-11
pfet_03v3,typical,-40,3.30,0.50u,16,ioff_vgs0,1.48651E-09,9.29067E-11
pfet_03v3,typical,-40,3.30,1.00u,1,ioff_vgs0,9.29067E-11,9.29067E-11
pfet_03v3,typical,-40,3.30,1.00u,2,ioff_vgs0,1.85813E-10,9.29067E-11
pfet_03v3,typical,-40,3.30,1.00u,4,ioff_vgs0,3.71627E-10,9.29067E-11
pfet_03v3,typical,-40,3.30,1.00u,8,ioff_vgs0,7.43254E-10,9.29067E-11
pfet_03v3,typical,-40,3.30,1.00u,16,ioff_vgs0,1.48651E-09,9.29067E-11
pfet_03v3,typical,-40,3.63,0.28u,1,ioff_vgs0,2.16992E-10,2.16992E-10
pfet_03v3,typical,-40,3.63,0.28u,2,ioff_vgs0,4.33983E-10,2.16992E-10
pfet_03v3,typical,-40,3.63,0.28u,4,ioff_vgs0,8.67967E-10,2.16992E-10
pfet_03v3,typical,-40,3.63,0.28u,8,ioff_vgs0,1.73593E-09,2.16992E-10
pfet_03v3,typical,-40,3.63,0.28u,16,ioff_vgs0,3.47187E-09,2.16992E-10
pfet_03v3,typical,-40,3.63,0.50u,1,ioff_vgs0,2.1699E-10,2.1699E-10
pfet_03v3,typical,-40,3.63,0.50u,2,ioff_vgs0,4.33979E-10,2.1699E-10
pfet_03v3,typical,-40,3.63,0.50u,4,ioff_vgs0,8.67958E-10,2.1699E-10
pfet_03v3,typical,-40,3.63,0.50u,8,ioff_vgs0,1.73592E-09,2.1699E-10
pfet_03v3,typical,-40,3.63,0.50u,16,ioff_vgs0,3.47183E-09,2.1699E-10
pfet_03v3,typical,-40,3.63,1.00u,1,ioff_vgs0,2.1699E-10,2.1699E-10
pfet_03v3,typical,-40,3.63,1.00u,2,ioff_vgs0,4.33979E-10,2.1699E-10
pfet_03v3,typical,-40,3.63,1.00u,4,ioff_vgs0,8.67958E-10,2.1699E-10
pfet_03v3,typical,-40,3.63,1.00u,8,ioff_vgs0,1.73592E-09,2.1699E-10
pfet_03v3,typical,-40,3.63,1.00u,16,ioff_vgs0,3.47183E-09,2.1699E-10
pfet_03v3,typical,27,2.10,0.28u,1,ioff_vgs0,2.50769E-11,2.50769E-11
pfet_03v3,typical,27,2.10,0.28u,2,ioff_vgs0,5.01538E-11,2.50769E-11
pfet_03v3,typical,27,2.10,0.28u,4,ioff_vgs0,1.00308E-10,2.50769E-11
pfet_03v3,typical,27,2.10,0.28u,8,ioff_vgs0,2.00615E-10,2.50769E-11
pfet_03v3,typical,27,2.10,0.28u,16,ioff_vgs0,4.01231E-10,2.50769E-11
pfet_03v3,typical,27,2.10,0.50u,1,ioff_vgs0,2.13867E-11,2.13867E-11
pfet_03v3,typical,27,2.10,0.50u,2,ioff_vgs0,4.27734E-11,2.13867E-11
pfet_03v3,typical,27,2.10,0.50u,4,ioff_vgs0,8.55469E-11,2.13867E-11
pfet_03v3,typical,27,2.10,0.50u,8,ioff_vgs0,1.71094E-10,2.13867E-11
pfet_03v3,typical,27,2.10,0.50u,16,ioff_vgs0,3.42187E-10,2.13867E-11
pfet_03v3,typical,27,2.10,1.00u,1,ioff_vgs0,2.12492E-11,2.12492E-11
pfet_03v3,typical,27,2.10,1.00u,2,ioff_vgs0,4.24984E-11,2.12492E-11
pfet_03v3,typical,27,2.10,1.00u,4,ioff_vgs0,8.49969E-11,2.12492E-11
pfet_03v3,typical,27,2.10,1.00u,8,ioff_vgs0,1.69994E-10,2.12492E-11
pfet_03v3,typical,27,2.10,1.00u,16,ioff_vgs0,3.39988E-10,2.12492E-11
pfet_03v3,typical,27,2.97,0.28u,1,ioff_vgs0,5.08483E-11,5.08483E-11
pfet_03v3,typical,27,2.97,0.28u,2,ioff_vgs0,1.01697E-10,5.08483E-11
pfet_03v3,typical,27,2.97,0.28u,4,ioff_vgs0,2.03393E-10,5.08483E-11
pfet_03v3,typical,27,2.97,0.28u,8,ioff_vgs0,4.06786E-10,5.08483E-11
pfet_03v3,typical,27,2.97,0.28u,16,ioff_vgs0,8.13573E-10,5.08483E-11
pfet_03v3,typical,27,2.97,0.50u,1,ioff_vgs0,4.54661E-11,4.54661E-11
pfet_03v3,typical,27,2.97,0.50u,2,ioff_vgs0,9.09322E-11,4.54661E-11
pfet_03v3,typical,27,2.97,0.50u,4,ioff_vgs0,1.81864E-10,4.54661E-11
pfet_03v3,typical,27,2.97,0.50u,8,ioff_vgs0,3.63729E-10,4.54661E-11
pfet_03v3,typical,27,2.97,0.50u,16,ioff_vgs0,7.27458E-10,4.54661E-11
pfet_03v3,typical,27,2.97,1.00u,1,ioff_vgs0,4.53166E-11,4.53166E-11
pfet_03v3,typical,27,2.97,1.00u,2,ioff_vgs0,9.06332E-11,4.53166E-11
pfet_03v3,typical,27,2.97,1.00u,4,ioff_vgs0,1.81266E-10,4.53166E-11
pfet_03v3,typical,27,2.97,1.00u,8,ioff_vgs0,3.62533E-10,4.53166E-11
pfet_03v3,typical,27,2.97,1.00u,16,ioff_vgs0,7.25066E-10,4.53166E-11
pfet_03v3,typical,27,3.30,0.28u,1,ioff_vgs0,9.93753E-11,9.93753E-11
pfet_03v3,typical,27,3.30,0.28u,2,ioff_vgs0,1.98751E-10,9.93753E-11
pfet_03v3,typical,27,3.30,0.28u,4,ioff_vgs0,3.97501E-10,9.93753E-11
pfet_03v3,typical,27,3.30,0.28u,8,ioff_vgs0,7.95002E-10,9.93753E-11
pfet_03v3,typical,27,3.30,0.28u,16,ioff_vgs0,1.59E-09,9.93753E-11
pfet_03v3,typical,27,3.30,0.50u,1,ioff_vgs0,9.31621E-11,9.31621E-11
pfet_03v3,typical,27,3.30,0.50u,2,ioff_vgs0,1.86324E-10,9.31621E-11
pfet_03v3,typical,27,3.30,0.50u,4,ioff_vgs0,3.72648E-10,9.31621E-11
pfet_03v3,typical,27,3.30,0.50u,8,ioff_vgs0,7.45297E-10,9.31621E-11
pfet_03v3,typical,27,3.30,0.50u,16,ioff_vgs0,1.49059E-09,9.31621E-11
pfet_03v3,typical,27,3.30,1.00u,1,ioff_vgs0,9.30076E-11,9.30076E-11
pfet_03v3,typical,27,3.30,1.00u,2,ioff_vgs0,1.86015E-10,9.30076E-11
pfet_03v3,typical,27,3.30,1.00u,4,ioff_vgs0,3.7203E-10,9.30076E-11
pfet_03v3,typical,27,3.30,1.00u,8,ioff_vgs0,7.44061E-10,9.30076E-11
pfet_03v3,typical,27,3.30,1.00u,16,ioff_vgs0,1.48812E-09,9.30076E-11
pfet_03v3,typical,27,3.63,0.28u,1,ioff_vgs0,2.24463E-10,2.24463E-10
pfet_03v3,typical,27,3.63,0.28u,2,ioff_vgs0,4.48926E-10,2.24463E-10
pfet_03v3,typical,27,3.63,0.28u,4,ioff_vgs0,8.97853E-10,2.24463E-10
pfet_03v3,typical,27,3.63,0.28u,8,ioff_vgs0,1.79571E-09,2.24463E-10
pfet_03v3,typical,27,3.63,0.28u,16,ioff_vgs0,3.59141E-09,2.24463E-10
pfet_03v3,typical,27,3.63,0.50u,1,ioff_vgs0,2.17252E-10,2.17252E-10
pfet_03v3,typical,27,3.63,0.50u,2,ioff_vgs0,4.34504E-10,2.17252E-10
pfet_03v3,typical,27,3.63,0.50u,4,ioff_vgs0,8.69008E-10,2.17252E-10
pfet_03v3,typical,27,3.63,0.50u,8,ioff_vgs0,1.73802E-09,2.17252E-10
pfet_03v3,typical,27,3.63,0.50u,16,ioff_vgs0,3.47603E-09,2.17252E-10
pfet_03v3,typical,27,3.63,1.00u,1,ioff_vgs0,2.17092E-10,2.17092E-10
pfet_03v3,typical,27,3.63,1.00u,2,ioff_vgs0,4.34184E-10,2.17092E-10
pfet_03v3,typical,27,3.63,1.00u,4,ioff_vgs0,8.68367E-10,2.17092E-10
pfet_03v3,typical,27,3.63,1.00u,8,ioff_vgs0,1.73673E-09,2.17092E-10
pfet_03v3,typical,27,3.63,1.00u,16,ioff_vgs0,3.47347E-09,2.17092E-10
pfet_03v3,typical,125,2.10,0.28u,1,ioff_vgs0,5.17828E-09,5.17828E-09
pfet_03v3,typical,125,2.10,0.28u,2,ioff_vgs0,1.03566E-08,5.17828E-09
pfet_03v3,typical,125,2.10,0.28u,4,ioff_vgs0,2.07131E-08,5.17828E-09
pfet_03v3,typical,125,2.10,0.28u,8,ioff_vgs0,4.14262E-08,5.17828E-09
pfet_03v3,typical,125,2.10,0.28u,16,ioff_vgs0,8.28525E-08,5.17828E-09
pfet_03v3,typical,125,2.10,0.50u,1,ioff_vgs0,4.81115E-10,4.81115E-10
pfet_03v3,typical,125,2.10,0.50u,2,ioff_vgs0,9.62231E-10,4.81115E-10
pfet_03v3,typical,125,2.10,0.50u,4,ioff_vgs0,1.92446E-09,4.81115E-10
pfet_03v3,typical,125,2.10,0.50u,8,ioff_vgs0,3.84892E-09,4.81115E-10
pfet_03v3,typical,125,2.10,0.50u,16,ioff_vgs0,7.69785E-09,4.81115E-10
pfet_03v3,typical,125,2.10,1.00u,1,ioff_vgs0,1.98438E-10,1.98438E-10
pfet_03v3,typical,125,2.10,1.00u,2,ioff_vgs0,3.96877E-10,1.98438E-10
pfet_03v3,typical,125,2.10,1.00u,4,ioff_vgs0,7.93753E-10,1.98438E-10
pfet_03v3,typical,125,2.10,1.00u,8,ioff_vgs0,1.58751E-09,1.98438E-10
pfet_03v3,typical,125,2.10,1.00u,16,ioff_vgs0,3.17501E-09,1.98438E-10
pfet_03v3,typical,125,2.97,0.28u,1,ioff_vgs0,6.87338E-09,6.87338E-09
pfet_03v3,typical,125,2.97,0.28u,2,ioff_vgs0,1.37468E-08,6.87338E-09
pfet_03v3,typical,125,2.97,0.28u,4,ioff_vgs0,2.74935E-08,6.87338E-09
pfet_03v3,typical,125,2.97,0.28u,8,ioff_vgs0,5.49871E-08,6.87338E-09
pfet_03v3,typical,125,2.97,0.28u,16,ioff_vgs0,1.09974E-07,6.87338E-09
pfet_03v3,typical,125,2.97,0.50u,1,ioff_vgs0,5.27675E-10,5.27675E-10
pfet_03v3,typical,125,2.97,0.50u,2,ioff_vgs0,1.05535E-09,5.27675E-10
pfet_03v3,typical,125,2.97,0.50u,4,ioff_vgs0,2.1107E-09,5.27675E-10
pfet_03v3,typical,125,2.97,0.50u,8,ioff_vgs0,4.2214E-09,5.27675E-10
pfet_03v3,typical,125,2.97,0.50u,16,ioff_vgs0,8.4428E-09,5.27675E-10
pfet_03v3,typical,125,2.97,1.00u,1,ioff_vgs0,2.25857E-10,2.25857E-10
pfet_03v3,typical,125,2.97,1.00u,2,ioff_vgs0,4.51714E-10,2.25857E-10
pfet_03v3,typical,125,2.97,1.00u,4,ioff_vgs0,9.03428E-10,2.25857E-10
pfet_03v3,typical,125,2.97,1.00u,8,ioff_vgs0,1.80686E-09,2.25857E-10
pfet_03v3,typical,125,2.97,1.00u,16,ioff_vgs0,3.61371E-09,2.25857E-10
pfet_03v3,typical,125,3.30,0.28u,1,ioff_vgs0,7.70189E-09,7.70189E-09
pfet_03v3,typical,125,3.30,0.28u,2,ioff_vgs0,1.54038E-08,7.70189E-09
pfet_03v3,typical,125,3.30,0.28u,4,ioff_vgs0,3.08076E-08,7.70189E-09
pfet_03v3,typical,125,3.30,0.28u,8,ioff_vgs0,6.16151E-08,7.70189E-09
pfet_03v3,typical,125,3.30,0.28u,16,ioff_vgs0,1.2323E-07,7.70189E-09
pfet_03v3,typical,125,3.30,0.50u,1,ioff_vgs0,5.84883E-10,5.84883E-10
pfet_03v3,typical,125,3.30,0.50u,2,ioff_vgs0,1.16977E-09,5.84883E-10
pfet_03v3,typical,125,3.30,0.50u,4,ioff_vgs0,2.33953E-09,5.84883E-10
pfet_03v3,typical,125,3.30,0.50u,8,ioff_vgs0,4.67906E-09,5.84883E-10
pfet_03v3,typical,125,3.30,0.50u,16,ioff_vgs0,9.35813E-09,5.84883E-10
pfet_03v3,typical,125,3.30,1.00u,1,ioff_vgs0,2.75086E-10,2.75086E-10
pfet_03v3,typical,125,3.30,1.00u,2,ioff_vgs0,5.50171E-10,2.75086E-10
pfet_03v3,typical,125,3.30,1.00u,4,ioff_vgs0,1.10034E-09,2.75086E-10
pfet_03v3,typical,125,3.30,1.00u,8,ioff_vgs0,2.20068E-09,2.75086E-10
pfet_03v3,typical,125,3.30,1.00u,16,ioff_vgs0,4.40137E-09,2.75086E-10
pfet_03v3,typical,125,3.63,0.28u,1,ioff_vgs0,8.74558E-09,8.74558E-09
pfet_03v3,typical,125,3.63,0.28u,2,ioff_vgs0,1.74912E-08,8.74558E-09
pfet_03v3,typical,125,3.63,0.28u,4,ioff_vgs0,3.49823E-08,8.74558E-09
pfet_03v3,typical,125,3.63,0.28u,8,ioff_vgs0,6.99646E-08,8.74558E-09
pfet_03v3,typical,125,3.63,0.28u,16,ioff_vgs0,1.39929E-07,8.74558E-09
pfet_03v3,typical,125,3.63,0.50u,1,ioff_vgs0,7.20596E-10,7.20596E-10
pfet_03v3,typical,125,3.63,0.50u,2,ioff_vgs0,1.44119E-09,7.20596E-10
pfet_03v3,typical,125,3.63,0.50u,4,ioff_vgs0,2.88239E-09,7.20596E-10
pfet_03v3,typical,125,3.63,0.50u,8,ioff_vgs0,5.76477E-09,7.20596E-10
pfet_03v3,typical,125,3.63,0.50u,16,ioff_vgs0,1.15295E-08,7.20596E-10
pfet_03v3,typical,125,3.63,1.00u,1,ioff_vgs0,4.01361E-10,4.01361E-10
pfet_03v3,typical,125,3.63,1.00u,2,ioff_vgs0,8.02722E-10,4.01361E-10
pfet_03v3,typical,125,3.63,1.00u,4,ioff_vgs0,1.60544E-09,4.01361E-10
pfet_03v3,typical,125,3.63,1.00u,8,ioff_vgs0,3.21089E-09,4.01361E-10
pfet_03v3,typical,125,3.63,1.00u,16,ioff_vgs0,6.42178E-09,4.01361E-10
pfet_03v3,ff,-40,2.10,0.28u,1,ioff_vgs0,2.12795E-11,2.12795E-11
pfet_03v3,ff,-40,2.10,0.28u,2,ioff_vgs0,4.2559E-11,2.12795E-11
pfet_03v3,ff,-40,2.10,0.28u,4,ioff_vgs0,8.5118E-11,2.12795E-11
pfet_03v3,ff,-40,2.10,0.28u,8,ioff_vgs0,1.70236E-10,2.12795E-11
pfet_03v3,ff,-40,2.10,0.28u,16,ioff_vgs0,3.40472E-10,2.12795E-11
pfet_03v3,ff,-40,2.10,0.50u,1,ioff_vgs0,2.1227E-11,2.1227E-11
pfet_03v3,ff,-40,2.10,0.50u,2,ioff_vgs0,4.24539E-11,2.1227E-11
pfet_03v3,ff,-40,2.10,0.50u,4,ioff_vgs0,8.49078E-11,2.1227E-11
pfet_03v3,ff,-40,2.10,0.50u,8,ioff_vgs0,1.69816E-10,2.1227E-11
pfet_03v3,ff,-40,2.10,0.50u,16,ioff_vgs0,3.39631E-10,2.1227E-11
pfet_03v3,ff,-40,2.10,1.00u,1,ioff_vgs0,2.1226E-11,2.1226E-11
pfet_03v3,ff,-40,2.10,1.00u,2,ioff_vgs0,4.24521E-11,2.1226E-11
pfet_03v3,ff,-40,2.10,1.00u,4,ioff_vgs0,8.49041E-11,2.1226E-11
