corner_id,T1,T1_measured,T2,T2_measured,T3,T3_measured,T4,T4_measured,T5,T5_measured,iinj_at_vref_na,vout_top_err_mv
ff_-40c_2.97v,FAIL,77.85 nA,FAIL,5.4502 uA,FAIL,-4.471 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,77.850,-0.5500
ff_-40c_3.30v,FAIL,131.08 nA,FAIL,5.6197 uA,FAIL,-4.559 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,131.083,-0.5800
ff_-40c_3.63v,FAIL,484.30 nA,FAIL,5.7922 uA,FAIL,-4.622 uA/V,FAIL,1.475 V,PASS,in regulation everywhere,484.300,-0.6700
ff_125c_2.97v,FAIL,275.15 nA,FAIL,5.3226 uA,FAIL,-4.344 uA/V,FAIL,1.450 V,PASS,in regulation everywhere,275.150,-0.9300
ff_125c_3.30v,FAIL,755.83 nA,FAIL,5.4737 uA,FAIL,-4.190 uA/V,FAIL,1.775 V,PASS,in regulation everywhere,755.833,-1.0600
ff_125c_3.63v,FAIL,1473.78 nA,FAIL,5.6949 uA,FAIL,-3.455 uA/V,FAIL,2.100 V,PASS,in regulation everywhere,1473.783,-2.4700
ff_27c_2.97v,FAIL,94.27 nA,FAIL,5.3946 uA,FAIL,-4.417 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,94.267,-0.6600
ff_27c_3.30v,FAIL,283.95 nA,FAIL,5.5537 uA,FAIL,-4.497 uA/V,FAIL,1.400 V,PASS,in regulation everywhere,283.950,-0.7000
ff_27c_3.63v,FAIL,869.67 nA,FAIL,5.7149 uA,FAIL,-4.206 uA/V,FAIL,1.725 V,PASS,in regulation everywhere,869.667,-0.8100
fs_-40c_2.97v,PASS,32.40 nA,FAIL,5.2123 uA,FAIL,-4.337 uA/V,PASS,1.200 V,PASS,in regulation everywhere,32.400,-0.5400
fs_-40c_3.30v,FAIL,62.42 nA,FAIL,5.3897 uA,FAIL,-4.437 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,62.417,-0.5600
fs_-40c_3.63v,FAIL,102.70 nA,FAIL,5.5581 uA,FAIL,-4.532 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,102.700,-0.6100
fs_125c_2.97v,FAIL,62.82 nA,FAIL,5.1253 uA,FAIL,-4.231 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,62.817,-0.7900
fs_125c_3.30v,FAIL,101.20 nA,FAIL,5.2895 uA,FAIL,-4.322 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,101.200,-0.8200
fs_125c_3.63v,FAIL,288.73 nA,FAIL,5.4410 uA,FAIL,-4.407 uA/V,FAIL,1.450 V,PASS,in regulation everywhere,288.733,-0.9000
fs_27c_2.97v,PASS,44.37 nA,FAIL,5.1739 uA,FAIL,-4.290 uA/V,PASS,1.200 V,PASS,in regulation everywhere,44.367,-0.6300
fs_27c_3.30v,FAIL,75.72 nA,FAIL,5.3440 uA,FAIL,-4.386 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,75.717,-0.6500
fs_27c_3.63v,FAIL,117.88 nA,FAIL,5.5027 uA,FAIL,-4.477 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,117.883,-0.7100
res_ff_-40c_2.97v,PASS,44.50 nA,FAIL,5.2724 uA,FAIL,-4.378 uA/V,PASS,1.200 V,PASS,in regulation everywhere,44.500,-0.5700
res_ff_-40c_3.30v,FAIL,81.27 nA,FAIL,5.4372 uA,FAIL,-4.466 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,81.267,-0.6000
res_ff_-40c_3.63v,FAIL,131.72 nA,FAIL,5.5985 uA,FAIL,-4.552 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,131.717,-0.6700
res_ff_125c_2.97v,FAIL,81.55 nA,FAIL,5.1606 uA,FAIL,-4.260 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,81.550,-0.8500
res_ff_125c_3.30v,FAIL,227.07 nA,FAIL,5.3095 uA,FAIL,-4.338 uA/V,FAIL,1.400 V,PASS,in regulation everywhere,227.067,-0.9100
res_ff_125c_3.63v,FAIL,648.80 nA,FAIL,5.4509 uA,FAIL,-4.307 uA/V,FAIL,1.700 V,PASS,in regulation everywhere,648.800,-1.0900
res_ff_27c_2.97v,FAIL,58.20 nA,FAIL,5.2258 uA,FAIL,-4.328 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,58.200,-0.6600
res_ff_27c_3.30v,FAIL,96.85 nA,FAIL,5.3823 uA,FAIL,-4.411 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,96.850,-0.7000
res_ff_27c_3.63v,FAIL,234.28 nA,FAIL,5.5326 uA,FAIL,-4.491 uA/V,FAIL,1.375 V,PASS,in regulation everywhere,234.283,-0.8000
res_ss_-40c_2.97v,PASS,35.78 nA,FAIL,5.2723 uA,FAIL,-4.380 uA/V,PASS,1.200 V,PASS,in regulation everywhere,35.783,-0.5000
res_ss_-40c_3.30v,FAIL,65.38 nA,FAIL,5.4371 uA,FAIL,-4.471 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,65.383,-0.5300
res_ss_-40c_3.63v,FAIL,107.72 nA,FAIL,5.5985 uA,FAIL,-4.563 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,107.717,-0.5900
res_ss_125c_2.97v,FAIL,69.32 nA,FAIL,5.1605 uA,FAIL,-4.263 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,69.317,-0.7700
res_ss_125c_3.30v,FAIL,228.70 nA,FAIL,5.3093 uA,FAIL,-4.345 uA/V,FAIL,1.425 V,PASS,in regulation everywhere,228.700,-0.8100
res_ss_125c_3.63v,FAIL,656.73 nA,FAIL,5.4507 uA,FAIL,-4.312 uA/V,FAIL,1.725 V,PASS,in regulation everywhere,656.733,-0.9900
res_ss_27c_2.97v,PASS,47.32 nA,FAIL,5.2258 uA,FAIL,-4.330 uA/V,PASS,1.200 V,PASS,in regulation everywhere,47.317,-0.5900
res_ss_27c_3.30v,FAIL,79.42 nA,FAIL,5.3822 uA,FAIL,-4.417 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,79.417,-0.6200
res_ss_27c_3.63v,FAIL,231.95 nA,FAIL,5.5325 uA,FAIL,-4.503 uA/V,FAIL,1.375 V,PASS,in regulation everywhere,231.950,-0.7100
sf_-40c_2.97v,PASS,47.48 nA,FAIL,5.1365 uA,FAIL,-4.329 uA/V,PASS,1.200 V,PASS,in regulation everywhere,47.483,-0.5200
sf_-40c_3.30v,FAIL,84.38 nA,FAIL,5.2886 uA,FAIL,-4.407 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,84.383,-0.5600
sf_-40c_3.63v,FAIL,293.78 nA,FAIL,5.4419 uA,FAIL,-4.489 uA/V,FAIL,1.400 V,PASS,in regulation everywhere,293.783,-0.6700
sf_125c_2.97v,FAIL,176.23 nA,FAIL,4.9701 uA,FAIL,-4.162 uA/V,FAIL,1.375 V,PASS,in regulation everywhere,176.233,-0.8400
sf_125c_3.30v,FAIL,558.75 nA,FAIL,5.1045 uA,FAIL,-4.184 uA/V,FAIL,1.675 V,PASS,in regulation everywhere,558.750,-0.9500
sf_125c_3.63v,FAIL,1190.87 nA,FAIL,5.2531 uA,FAIL,-3.507 uA/V,FAIL,2.000 V,PASS,in regulation everywhere,1190.867,-1.7200
sf_27c_2.97v,FAIL,61.32 nA,FAIL,5.0695 uA,FAIL,-4.262 uA/V,FAIL,1.225 V,PASS,in regulation everywhere,61.317,-0.6200
sf_27c_3.30v,FAIL,168.22 nA,FAIL,5.2116 uA,FAIL,-4.333 uA/V,FAIL,1.325 V,PASS,in regulation everywhere,168.217,-0.6800
sf_27c_3.63v,FAIL,629.95 nA,FAIL,5.3535 uA,FAIL,-4.308 uA/V,FAIL,1.625 V,PASS,in regulation everywhere,629.950,-0.8300
