corner_id,corner,temp_c,vin_v,ssr_v,fb_v,vout_v,pg_v,erramp_v,isup_a,iinj_a,in_regulation
ff_-40c_2.97v,ff,-40.0,2.97,0,1.19964,0.164409,2.20144,2.20144,0.00460235,5.45017e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.025,1.19964,0.195875,2.18736,2.18736,0.0054761,5.3452833e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.05,1.19964,0.228174,2.17412,2.17412,0.00637302,5.23762e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.075,1.19964,0.260963,2.16161,2.16161,0.00728355,5.1283233e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.1,1.19964,0.294038,2.14975,2.14975,0.00820199,5.0180733e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.125,1.19963,0.327282,2.13845,2.13845,0.00912514,4.90721e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.15,1.19963,0.36063,2.12762,2.12762,0.0100512,4.79605e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.175,1.19963,0.394046,2.1172,2.1172,0.0109791,4.6846633e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.2,1.19963,0.427506,2.10714,2.10714,0.0119083,4.57313e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.225,1.19963,0.460995,2.09739,2.09739,0.0128382,4.4615e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.25,1.19963,0.494505,2.08792,2.08792,0.0137688,4.3498e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.275,1.19963,0.528029,2.07869,2.07869,0.0146997,4.2380533e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.3,1.19963,0.561562,2.06968,2.06968,0.0156309,4.1262767e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.325,1.19963,0.5951,2.06087,2.06087,0.0165622,4.0144833e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.35,1.19963,0.62864,2.05224,2.05224,0.0174936,3.9026833e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.375,1.19963,0.662181,2.04377,2.04377,0.0184249,3.79088e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.4,1.19963,0.695719,2.03545,2.03545,0.0193563,3.6790867e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.425,1.19963,0.729255,2.02727,2.02727,0.0202875,3.5673e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.45,1.19963,0.762787,2.01922,2.01922,0.0212187,3.4555267e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.475,1.19963,0.796312,2.01128,2.01128,0.0221496,3.3437767e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.5,1.19963,0.829832,2.00346,2.00346,0.0230804,3.2320433e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.525,1.19963,0.863344,1.99573,1.99573,0.024011,3.1203367e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.55,1.19963,0.896849,1.9881,1.9881,0.0249414,3.0086533e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.575,1.19963,0.930346,1.98056,1.98056,0.0258716,2.8969967e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.6,1.19963,0.963835,1.9731,1.9731,0.0268015,2.7853667e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.625,1.19963,0.997316,1.96571,1.96571,0.0277313,2.6737633e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.65,1.19963,1.03079,1.95839,1.95839,0.0286608,2.5621833e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.675,1.19963,1.06426,1.95114,1.95114,0.0295902,2.4506167e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.7,1.19963,1.09773,1.94395,1.94395,0.0305195,2.33905e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.725,1.19963,1.1312,1.93682,1.93682,0.0314489,2.2274833e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.75,1.19963,1.16468,1.92973,1.92973,0.0323786,2.1158833e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.775,1.19963,1.19819,1.92269,1.92269,0.033309,2.0041833e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.8,1.19963,1.23174,1.91568,1.91568,0.0342409,1.89235e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.825,1.19963,1.26541,1.90869,1.90869,0.0351756,1.7801167e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.85,1.19963,1.29928,1.90169,1.90169,0.0361159,1.6672167e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.875,1.19963,1.33347,1.89466,1.89466,0.0370653,1.55325e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.9,1.19963,1.368,1.8876,1.8876,0.0380239,1.43815e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.925,1.19963,1.40272,1.88053,1.88053,0.0389875,1.3224167e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.95,1.19963,1.4375,1.87348,1.87348,0.039953,1.2064833e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,0.975,1.19963,1.47228,1.86644,1.86644,0.0409186,1.09055e-06,yes
ff_-40c_2.97v,ff,-40.0,2.97,1,1.19963,1.50704,1.85944,1.85944,0.0418834,9.7468333e-07,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.025,1.19963,1.54173,1.85246,1.85246,0.0428464,8.5905e-07,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.05,1.19963,1.57633,1.84551,1.84551,0.0438067,7.4371667e-07,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.075,1.19963,1.61077,1.83861,1.83861,0.0447629,6.2891667e-07,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.1,1.19963,1.645,1.83175,1.83175,0.045713,5.1481667e-07,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.125,1.19963,1.6789,1.82496,1.82496,0.046654,4.0181667e-07,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.15,1.19963,1.7123,1.81827,1.81827,0.0475812,2.9048333e-07,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.175,1.19963,1.74491,1.81173,1.81173,0.0484864,1.8178333e-07,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.2,1.19963,1.77609,1.80548,1.80548,0.0493517,7.785e-08,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.225,1.19963,1.79919,1.80083,1.80083,0.0499931,8.5e-10,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.25,1.19963,1.79941,1.80079,1.80079,0.0499992,1.1666667e-10,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.275,1.19963,1.79943,1.80078,1.80078,0.0499997,5e-11,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.3,1.19963,1.79944,1.80078,1.80078,0.0499999,1.6666667e-11,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.325,1.19963,1.79944,1.80078,1.80078,0.0499999,1.6666667e-11,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.35,1.19963,1.79945,1.80078,1.80078,0.05,-1.6666667e-11,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.375,1.19963,1.79945,1.80078,1.80078,0.0499999,-1.6666667e-11,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.4,1.19963,1.79945,1.80078,1.80078,0.0499999,-1.6666667e-11,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.425,1.19963,1.79945,1.80078,1.80078,0.0499999,-1.6666667e-11,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.45,1.19963,1.79945,1.80078,1.80078,0.0499999,-1.6666667e-11,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.475,1.19963,1.79945,1.80078,1.80078,0.0499998,-1.6666667e-11,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.5,1.19963,1.79945,1.80078,1.80078,0.0499998,-1.6666667e-11,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.525,1.19963,1.79945,1.80078,1.80078,0.0499997,-1.6666667e-11,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.55,1.19963,1.79945,1.80078,1.80078,0.0499997,-1.6666667e-11,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.575,1.19963,1.79945,1.80078,1.80078,0.0499996,-1.6666667e-11,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.6,1.19963,1.79945,1.80078,1.80078,0.0499996,-1.6666667e-11,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.625,1.19963,1.79945,1.80078,1.80078,0.0499995,-1.6666667e-11,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.65,1.19963,1.79945,1.80078,1.80078,0.0499995,-1.6666667e-11,yes
ff_-40c_2.97v,ff,-40.0,2.97,1.675,1.19963,1.79945,1.80078,1.80078,0.0499994,-1.6666667e-11,yes
