device,moscap_corner,temp_c,vbias_v,w_um,l_um,area_um2,c_f,c_density_ff_per_um2
cap_nmos_03v3,moscap_typical,-40,-3.30,10,10,100,2.3E-15,0.023
cap_nmos_03v3,moscap_typical,-40,-3.30,30,30,900,2.07E-14,0.023
cap_pmos_03v3,moscap_typical,-40,-3.30,10,10,100,3.958E-13,3.958
cap_pmos_03v3,moscap_typical,-40,-3.30,30,30,900,3.5622E-12,3.958
cap_nmos_03v3_b,moscap_typical,-40,-3.30,10,10,100,9.25427E-14,0.925427
cap_nmos_03v3_b,moscap_typical,-40,-3.30,30,30,900,8.32884E-13,0.925427
cap_pmos_03v3_b,moscap_typical,-40,-3.30,10,10,100,3.97499E-13,3.97499
cap_pmos_03v3_b,moscap_typical,-40,-3.30,30,30,900,3.57749E-12,3.97499
cap_nmos_06v0,moscap_typical,-40,-3.30,10,10,100,3.7E-15,0.037
cap_nmos_06v0,moscap_typical,-40,-3.30,30,30,900,3.33E-14,0.037
cap_pmos_06v0,moscap_typical,-40,-3.30,10,10,100,2.177E-13,2.177
cap_pmos_06v0,moscap_typical,-40,-3.30,30,30,900,1.9593E-12,2.177
cap_nmos_03v3,moscap_typical,-40,-3.15,10,10,100,2.3E-15,0.023
cap_nmos_03v3,moscap_typical,-40,-3.15,30,30,900,2.07E-14,0.023
cap_pmos_03v3,moscap_typical,-40,-3.15,10,10,100,3.958E-13,3.958
cap_pmos_03v3,moscap_typical,-40,-3.15,30,30,900,3.5622E-12,3.958
cap_nmos_03v3_b,moscap_typical,-40,-3.15,10,10,100,9.25673E-14,0.925673
cap_nmos_03v3_b,moscap_typical,-40,-3.15,30,30,900,8.33106E-13,0.925673
cap_pmos_03v3_b,moscap_typical,-40,-3.15,10,10,100,3.97498E-13,3.97498
cap_pmos_03v3_b,moscap_typical,-40,-3.15,30,30,900,3.57748E-12,3.97498
cap_nmos_06v0,moscap_typical,-40,-3.15,10,10,100,3.7E-15,0.037
cap_nmos_06v0,moscap_typical,-40,-3.15,30,30,900,3.33E-14,0.037
cap_pmos_06v0,moscap_typical,-40,-3.15,10,10,100,2.177E-13,2.177
cap_pmos_06v0,moscap_typical,-40,-3.15,30,30,900,1.9593E-12,2.177
cap_nmos_03v3,moscap_typical,-40,-3.00,10,10,100,2.3E-15,0.023
cap_nmos_03v3,moscap_typical,-40,-3.00,30,30,900,2.07E-14,0.023
cap_pmos_03v3,moscap_typical,-40,-3.00,10,10,100,3.958E-13,3.958
cap_pmos_03v3,moscap_typical,-40,-3.00,30,30,900,3.5622E-12,3.958
cap_nmos_03v3_b,moscap_typical,-40,-3.00,10,10,100,9.2606E-14,0.92606
cap_nmos_03v3_b,moscap_typical,-40,-3.00,30,30,900,8.33454E-13,0.92606
cap_pmos_03v3_b,moscap_typical,-40,-3.00,10,10,100,3.97496E-13,3.97496
cap_pmos_03v3_b,moscap_typical,-40,-3.00,30,30,900,3.57747E-12,3.97496
cap_nmos_06v0,moscap_typical,-40,-3.00,10,10,100,3.7E-15,0.037
cap_nmos_06v0,moscap_typical,-40,-3.00,30,30,900,3.33E-14,0.037
cap_pmos_06v0,moscap_typical,-40,-3.00,10,10,100,2.177E-13,2.177
cap_pmos_06v0,moscap_typical,-40,-3.00,30,30,900,1.9593E-12,2.177
cap_nmos_03v3,moscap_typical,-40,-2.85,10,10,100,2.3E-15,0.023
cap_nmos_03v3,moscap_typical,-40,-2.85,30,30,900,2.07E-14,0.023
cap_pmos_03v3,moscap_typical,-40,-2.85,10,10,100,3.958E-13,3.958
cap_pmos_03v3,moscap_typical,-40,-2.85,30,30,900,3.5622E-12,3.958
cap_nmos_03v3_b,moscap_typical,-40,-2.85,10,10,100,9.26669E-14,0.926669
cap_nmos_03v3_b,moscap_typical,-40,-2.85,30,30,900,8.34002E-13,0.926669
cap_pmos_03v3_b,moscap_typical,-40,-2.85,10,10,100,3.97494E-13,3.97494
cap_pmos_03v3_b,moscap_typical,-40,-2.85,30,30,900,3.57744E-12,3.97494
cap_nmos_06v0,moscap_typical,-40,-2.85,10,10,100,3.7E-15,0.037
cap_nmos_06v0,moscap_typical,-40,-2.85,30,30,900,3.33E-14,0.037
cap_pmos_06v0,moscap_typical,-40,-2.85,10,10,100,2.177E-13,2.177
cap_pmos_06v0,moscap_typical,-40,-2.85,30,30,900,1.9593E-12,2.177
cap_nmos_03v3,moscap_typical,-40,-2.70,10,10,100,2.3E-15,0.023
cap_nmos_03v3,moscap_typical,-40,-2.70,30,30,900,2.07E-14,0.023
cap_pmos_03v3,moscap_typical,-40,-2.70,10,10,100,3.958E-13,3.958
cap_pmos_03v3,moscap_typical,-40,-2.70,30,30,900,3.5622E-12,3.958
cap_nmos_03v3_b,moscap_typical,-40,-2.70,10,10,100,9.27629E-14,0.927629
cap_nmos_03v3_b,moscap_typical,-40,-2.70,30,30,900,8.34866E-13,0.927629
cap_pmos_03v3_b,moscap_typical,-40,-2.70,10,10,100,3.9749E-13,3.9749
cap_pmos_03v3_b,moscap_typical,-40,-2.70,30,30,900,3.57741E-12,3.9749
cap_nmos_06v0,moscap_typical,-40,-2.70,10,10,100,3.7E-15,0.037
cap_nmos_06v0,moscap_typical,-40,-2.70,30,30,900,3.33E-14,0.037
cap_pmos_06v0,moscap_typical,-40,-2.70,10,10,100,2.177E-13,2.177
cap_pmos_06v0,moscap_typical,-40,-2.70,30,30,900,1.9593E-12,2.177
cap_nmos_03v3,moscap_typical,-40,-2.55,10,10,100,2.3E-15,0.023
cap_nmos_03v3,moscap_typical,-40,-2.55,30,30,900,2.07E-14,0.023
cap_pmos_03v3,moscap_typical,-40,-2.55,10,10,100,3.958E-13,3.958
cap_pmos_03v3,moscap_typical,-40,-2.55,30,30,900,3.5622E-12,3.958
cap_nmos_03v3_b,moscap_typical,-40,-2.55,10,10,100,9.2914E-14,0.92914
cap_nmos_03v3_b,moscap_typical,-40,-2.55,30,30,900,8.36226E-13,0.92914
cap_pmos_03v3_b,moscap_typical,-40,-2.55,10,10,100,3.97483E-13,3.97483
cap_pmos_03v3_b,moscap_typical,-40,-2.55,30,30,900,3.57735E-12,3.97483
cap_nmos_06v0,moscap_typical,-40,-2.55,10,10,100,3.7E-15,0.037
cap_nmos_06v0,moscap_typical,-40,-2.55,30,30,900,3.33E-14,0.037
cap_pmos_06v0,moscap_typical,-40,-2.55,10,10,100,2.177E-13,2.177
cap_pmos_06v0,moscap_typical,-40,-2.55,30,30,900,1.9593E-12,2.177
cap_nmos_03v3,moscap_typical,-40,-2.40,10,10,100,2.3E-15,0.023
cap_nmos_03v3,moscap_typical,-40,-2.40,30,30,900,2.07E-14,0.023
cap_pmos_03v3,moscap_typical,-40,-2.40,10,10,100,3.958E-13,3.958
cap_pmos_03v3,moscap_typical,-40,-2.40,30,30,900,3.5622E-12,3.958
cap_nmos_03v3_b,moscap_typical,-40,-2.40,10,10,100,9.31517E-14,0.931517
cap_nmos_03v3_b,moscap_typical,-40,-2.40,30,30,900,8.38366E-13,0.931517
cap_pmos_03v3_b,moscap_typical,-40,-2.40,10,10,100,3.97472E-13,3.97472
cap_pmos_03v3_b,moscap_typical,-40,-2.40,30,30,900,3.57725E-12,3.97472
cap_nmos_06v0,moscap_typical,-40,-2.40,10,10,100,3.7E-15,0.037
cap_nmos_06v0,moscap_typical,-40,-2.40,30,30,900,3.33E-14,0.037
cap_pmos_06v0,moscap_typical,-40,-2.40,10,10,100,2.177E-13,2.177
cap_pmos_06v0,moscap_typical,-40,-2.40,30,30,900,1.9593E-12,2.177
cap_nmos_03v3,moscap_typical,-40,-2.25,10,10,100,2.3E-15,0.023
cap_nmos_03v3,moscap_typical,-40,-2.25,30,30,900,2.07E-14,0.023
cap_pmos_03v3,moscap_typical,-40,-2.25,10,10,100,3.958E-13,3.958
cap_pmos_03v3,moscap_typical,-40,-2.25,30,30,900,3.5622E-12,3.958
cap_nmos_03v3_b,moscap_typical,-40,-2.25,10,10,100,9.35255E-14,0.935255
cap_nmos_03v3_b,moscap_typical,-40,-2.25,30,30,900,8.4173E-13,0.935255
cap_pmos_03v3_b,moscap_typical,-40,-2.25,10,10,100,3.97454E-13,3.97454
cap_pmos_03v3_b,moscap_typical,-40,-2.25,30,30,900,3.57708E-12,3.97454
cap_nmos_06v0,moscap_typical,-40,-2.25,10,10,100,3.7E-15,0.037
cap_nmos_06v0,moscap_typical,-40,-2.25,30,30,900,3.33E-14,0.037
cap_pmos_06v0,moscap_typical,-40,-2.25,10,10,100,2.177E-13,2.177
cap_pmos_06v0,moscap_typical,-40,-2.25,30,30,900,1.9593E-12,2.177
cap_nmos_03v3,moscap_typical,-40,-2.10,10,10,100,2.3E-15,0.023
cap_nmos_03v3,moscap_typical,-40,-2.10,30,30,900,2.07E-14,0.023
cap_pmos_03v3,moscap_typical,-40,-2.10,10,10,100,3.958E-13,3.958
cap_pmos_03v3,moscap_typical,-40,-2.10,30,30,900,3.5622E-12,3.958
cap_nmos_03v3_b,moscap_typical,-40,-2.10,10,10,100,9.41126E-14,0.941126
cap_nmos_03v3_b,moscap_typical,-40,-2.10,30,30,900,8.47013E-13,0.941126
cap_pmos_03v3_b,moscap_typical,-40,-2.10,10,10,100,3.97423E-13,3.97423
cap_pmos_03v3_b,moscap_typical,-40,-2.10,30,30,900,3.57681E-12,3.97423
cap_nmos_06v0,moscap_typical,-40,-2.10,10,10,100,3.7E-15,0.037
cap_nmos_06v0,moscap_typical,-40,-2.10,30,30,900,3.33E-14,0.037
cap_pmos_06v0,moscap_typical,-40,-2.10,10,10,100,2.177E-13,2.177
cap_pmos_06v0,moscap_typical,-40,-2.10,30,30,900,1.9593E-12,2.177
cap_nmos_03v3,moscap_typical,-40,-1.95,10,10,100,2.3E-15,0.023
cap_nmos_03v3,moscap_typical,-40,-1.95,30,30,900,2.07E-14,0.023
cap_pmos_03v3,moscap_typical,-40,-1.95,10,10,100,3.958E-13,3.958
cap_pmos_03v3,moscap_typical,-40,-1.95,30,30,900,3.5622E-12,3.958
cap_nmos_03v3_b,moscap_typical,-40,-1.95,10,10,100,9.50329E-14,0.950329
cap_nmos_03v3_b,moscap_typical,-40,-1.95,30,30,900,8.55296E-13,0.950329
cap_pmos_03v3_b,moscap_typical,-40,-1.95,10,10,100,3.97374E-13,3.97374
cap_pmos_03v3_b,moscap_typical,-40,-1.95,30,30,900,3.57636E-12,3.97374
cap_nmos_06v0,moscap_typical,-40,-1.95,10,10,100,3.7E-15,0.037
cap_nmos_06v0,moscap_typical,-40,-1.95,30,30,900,3.33E-14,0.037
cap_pmos_06v0,moscap_typical,-40,-1.95,10,10,100,2.17699E-13,2.17699
cap_pmos_06v0,moscap_typical,-40,-1.95,30,30,900,1.9593E-12,2.17699
cap_nmos_03v3,moscap_typical,-40,-1.80,10,10,100,2.3E-15,0.023
cap_nmos_03v3,moscap_typical,-40,-1.80,30,30,900,2.07E-14,0.023
cap_pmos_03v3,moscap_typical,-40,-1.80,10,10,100,3.95799E-13,3.95799
cap_pmos_03v3,moscap_typical,-40,-1.80,30,30,900,3.56219E-12,3.95799
cap_nmos_03v3_b,moscap_typical,-40,-1.80,10,10,100,9.64716E-14,0.964716
cap_nmos_03v3_b,moscap_typical,-40,-1.80,30,30,900,8.68244E-13,0.964716
cap_pmos_03v3_b,moscap_typical,-40,-1.80,10,10,100,3.97292E-13,3.97292
cap_pmos_03v3_b,moscap_typical,-40,-1.80,30,30,900,3.57563E-12,3.97292
cap_nmos_06v0,moscap_typical,-40,-1.80,10,10,100,3.7E-15,0.037
cap_nmos_06v0,moscap_typical,-40,-1.80,30,30,900,3.33E-14,0.037
cap_pmos_06v0,moscap_typical,-40,-1.80,10,10,100,2.17696E-13,2.17696
cap_pmos_06v0,moscap_typical,-40,-1.80,30,30,900,1.95927E-12,2.17696
cap_nmos_03v3,moscap_typical,-40,-1.65,10,10,100,2.3E-15,0.023
cap_nmos_03v3,moscap_typical,-40,-1.65,30,30,900,2.07E-14,0.023
cap_pmos_03v3,moscap_typical,-40,-1.65,10,10,100,3.95792E-13,3.95792
cap_pmos_03v3,moscap_typical,-40,-1.65,30,30,900,3.56212E-12,3.95792
cap_nmos_03v3_b,moscap_typical,-40,-1.65,10,10,100,9.87108E-14,0.987108
cap_nmos_03v3_b,moscap_typical,-40,-1.65,30,30,900,8.88397E-13,0.987108
cap_pmos_03v3_b,moscap_typical,-40,-1.65,10,10,100,3.97157E-13,3.97157
cap_pmos_03v3_b,moscap_typical,-40,-1.65,30,30,900,3.57442E-12,3.97157
cap_nmos_06v0,moscap_typical,-40,-1.65,10,10,100,3.7E-15,0.037
cap_nmos_06v0,moscap_typical,-40,-1.65,30,30,900,3.33E-14,0.037
cap_pmos_06v0,moscap_typical,-40,-1.65,10,10,100,2.17677E-13,2.17677
cap_pmos_06v0,moscap_typical,-40,-1.65,30,30,900,1.95909E-12,2.17677
cap_nmos_03v3,moscap_typical,-40,-1.50,10,10,100,2.3E-15,0.023
cap_nmos_03v3,moscap_typical,-40,-1.50,30,30,900,2.07E-14,0.023
cap_pmos_03v3,moscap_typical,-40,-1.50,10,10,100,3.95745E-13,3.95745
cap_pmos_03v3,moscap_typical,-40,-1.50,30,30,900,3.56171E-12,3.95745
cap_nmos_03v3_b,moscap_typical,-40,-1.50,10,10,100,1.02172E-13,1.02172
cap_nmos_03v3_b,moscap_typical,-40,-1.50,30,30,900,9.19549E-13,1.02172
cap_pmos_03v3_b,moscap_typical,-40,-1.50,10,10,100,3.96935E-13,3.96935
cap_pmos_03v3_b,moscap_typical,-40,-1.50,30,30,900,3.57242E-12,3.96935
cap_nmos_06v0,moscap_typical,-40,-1.50,10,10,100,3.7E-15,0.037
cap_nmos_06v0,moscap_typical,-40,-1.50,30,30,900,3.33E-14,0.037
cap_pmos_06v0,moscap_typical,-40,-1.50,10,10,100,2.17548E-13,2.17548
cap_pmos_06v0,moscap_typical,-40,-1.50,30,30,900,1.95793E-12,2.17548
cap_nmos_03v3,moscap_typical,-40,-1.35,10,10,100,2.3E-15,0.023
cap_nmos_03v3,moscap_typical,-40,-1.35,30,30,900,2.07E-14,0.023
cap_pmos_03v3,moscap_typical,-40,-1.35,10,10,100,3.95443E-13,3.95443
cap_pmos_03v3,moscap_typical,-40,-1.35,30,30,900,3.55899E-12,3.95443
cap_nmos_03v3_b,moscap_typical,-40,-1.35,10,10,100,1.07466E-13,1.07466
cap_nmos_03v3_b,moscap_typical,-40,-1.35,30,30,900,9.67197E-13,1.07466
cap_pmos_03v3_b,moscap_typical,-40,-1.35,10,10,100,3.9657E-13,3.9657
cap_pmos_03v3_b,moscap_typical,-40,-1.35,30,30,900,3.56913E-12,3.9657
cap_nmos_06v0,moscap_typical,-40,-1.35,10,10,100,3.7E-15,0.037
cap_nmos_06v0,moscap_typical,-40,-1.35,30,30,900,3.33E-14,0.037
cap_pmos_06v0,moscap_typical,-40,-1.35,10,10,100,2.16714E-13,2.16714
cap_pmos_06v0,moscap_typical,-40,-1.35,30,30,900,1.95042E-12,2.16714
cap_nmos_03v3,moscap_typical,-40,-1.20,10,10,100,2.3E-15,0.023
cap_nmos_03v3,moscap_typical,-40,-1.20,30,30,900,2.07E-14,0.023
cap_pmos_03v3,moscap_typical,-40,-1.20,10,10,100,3.93483E-13,3.93483
cap_pmos_03v3,moscap_typical,-40,-1.20,30,30,900,3.54135E-12,3.93483
cap_nmos_03v3_b,moscap_typical,-40,-1.20,10,10,100,1.15435E-13,1.15435
cap_nmos_03v3_b,moscap_typical,-40,-1.20,30,30,900,1.03891E-12,1.15435
cap_pmos_03v3_b,moscap_typical,-40,-1.20,10,10,100,3.9597E-13,3.9597
cap_pmos_03v3_b,moscap_typical,-40,-1.20,30,30,900,3.56373E-12,3.9597
cap_nmos_06v0,moscap_typical,-40,-1.20,10,10,100,3.7E-15,0.037
cap_nmos_06v0,moscap_typical,-40,-1.20,30,30,900,3.33E-14,0.037
cap_pmos_06v0,moscap_typical,-40,-1.20,10,10,100,2.11427E-13,2.11427
cap_pmos_06v0,moscap_typical,-40,-1.20,30,30,900,1.90284E-12,2.11427
cap_nmos_03v3,moscap_typical,-40,-1.05,10,10,100,2.3E-15,0.023
cap_nmos_03v3,moscap_typical,-40,-1.05,30,30,900,2.07E-14,0.023
cap_pmos_03v3,moscap_typical,-40,-1.05,10,10,100,3.81168E-13,3.81168
cap_pmos_03v3,moscap_typical,-40,-1.05,30,30,900,3.43051E-12,3.81168
cap_nmos_03v3_b,moscap_typical,-40,-1.05,10,10,100,1.27141E-13,1.27141
cap_nmos_03v3_b,moscap_typical,-40,-1.05,30,30,900,1.14427E-12,1.27141
cap_pmos_03v3_b,moscap_typical,-40,-1.05,10,10,100,3.94986E-13,3.94986
cap_pmos_03v3_b,moscap_typical,-40,-1.05,30,30,900,3.55487E-12,3.94986
cap_nmos_06v0,moscap_typical,-40,-1.05,10,10,100,3.7E-15,0.037
cap_nmos_06v0,moscap_typical,-40,-1.05,30,30,900,3.33E-14,0.037
cap_pmos_06v0,moscap_typical,-40,-1.05,10,10,100,1.82493E-13,1.82493
cap_pmos_06v0,moscap_typical,-40,-1.05,30,30,900,1.64244E-12,1.82493
cap_nmos_03v3,moscap_typical,-40,-0.90,10,10,100,2.3E-15,0.023
cap_nmos_03v3,moscap_typical,-40,-0.90,30,30,900,2.07E-14,0.023
cap_pmos_03v3,moscap_typical,-40,-0.90,10,10,100,3.16689E-13,3.16689
cap_pmos_03v3,moscap_typical,-40,-0.90,30,30,900,2.8502E-12,3.16689
cap_nmos_03v3_b,moscap_typical,-40,-0.90,10,10,100,1.43744E-13,1.43744
cap_nmos_03v3_b,moscap_typical,-40,-0.90,30,30,900,1.2937E-12,1.43744
cap_pmos_03v3_b,moscap_typical,-40,-0.90,10,10,100,3.93377E-13,3.93377
cap_pmos_03v3_b,moscap_typical,-40,-0.90,30,30,900,3.54039E-12,3.93377
cap_nmos_06v0,moscap_typical,-40,-0.90,10,10,100,3.7E-15,0.037
cap_nmos_06v0,moscap_typical,-40,-0.90,30,30,900,3.33E-14,0.037
cap_pmos_06v0,moscap_typical,-40,-0.90,10,10,100,9.73942E-14,0.973942
cap_pmos_06v0,moscap_typical,-40,-0.90,30,30,900,8.76548E-13,0.973942
cap_nmos_03v3,moscap_typical,-40,-0.75,10,10,100,2.30001E-15,0.0230001
cap_nmos_03v3,moscap_typical,-40,-0.75,30,30,900,2.07001E-14,0.0230001
cap_pmos_03v3,moscap_typical,-40,-0.75,10,10,100,1.51796E-13,1.51796
cap_pmos_03v3,moscap_typical,-40,-0.75,30,30,900,1.36616E-12,1.51796
cap_nmos_03v3_b,moscap_typical,-40,-0.75,10,10,100,1.66149E-13,1.66149
cap_nmos_03v3_b,moscap_typical,-40,-0.75,30,30,900,1.49534E-12,1.66149
cap_pmos_03v3_b,moscap_typical,-40,-0.75,10,10,100,3.90761E-13,3.90761
cap_pmos_03v3_b,moscap_typical,-40,-0.75,30,30,900,3.51685E-12,3.90761
cap_nmos_06v0,moscap_typical,-40,-0.75,10,10,100,3.7E-15,0.037
cap_nmos_06v0,moscap_typical,-40,-0.75,30,30,900,3.33E-14,0.037
cap_pmos_06v0,moscap_typical,-40,-0.75,10,10,100,2.65318E-14,0.265318
cap_pmos_06v0,moscap_typical,-40,-0.75,30,30,900,2.38786E-13,0.265318
cap_nmos_03v3,moscap_typical,-40,-0.60,10,10,100,2.30008E-15,0.0230008
cap_nmos_03v3,moscap_typical,-40,-0.60,30,30,900,2.07007E-14,0.0230008
cap_pmos_03v3,moscap_typical,-40,-0.60,10,10,100,3.71588E-14,0.371588
cap_pmos_03v3,moscap_typical,-40,-0.60,30,30,900,3.34429E-13,0.371588
cap_nmos_03v3_b,moscap_typical,-40,-0.60,10,10,100,1.9444E-13,1.9444
cap_nmos_03v3_b,moscap_typical,-40,-0.60,30,30,900,1.74996E-12,1.9444
cap_pmos_03v3_b,moscap_typical,-40,-0.60,10,10,100,3.86544E-13,3.86544
cap_pmos_03v3_b,moscap_typical,-40,-0.60,30,30,900,3.4789E-12,3.86544
cap_nmos_06v0,moscap_typical,-40,-0.60,10,10,100,3.70003E-15,0.0370003
cap_nmos_06v0,moscap_typical,-40,-0.60,30,30,900,3.33002E-14,0.0370003
cap_pmos_06v0,moscap_typical,-40,-0.60,10,10,100,7.54905E-15,0.0754905
cap_pmos_06v0,moscap_typical,-40,-0.60,30,30,900,6.79414E-14,0.0754905
cap_nmos_03v3,moscap_typical,-40,-0.45,10,10,100,2.30054E-15,0.0230054
cap_nmos_03v3,moscap_typical,-40,-0.45,30,30,900,2.07049E-14,0.0230054
cap_pmos_03v3,moscap_typical,-40,-0.45,10,10,100,9.31294E-15,0.0931294
cap_pmos_03v3,moscap_typical,-40,-0.45,30,30,900,8.38165E-14,0.0931294
cap_nmos_03v3_b,moscap_typical,-40,-0.45,10,10,100,2.27309E-13,2.27309
cap_nmos_03v3_b,moscap_typical,-40,-0.45,30,30,900,2.04578E-12,2.27309
cap_pmos_03v3_b,moscap_typical,-40,-0.45,10,10,100,3.79844E-13,3.79844
cap_pmos_03v3_b,moscap_typical,-40,-0.45,30,30,900,3.4186E-12,3.79844
cap_nmos_06v0,moscap_typical,-40,-0.45,10,10,100,3.70018E-15,0.0370018
cap_nmos_06v0,moscap_typical,-40,-0.45,30,30,900,3.33016E-14,0.0370018
cap_pmos_06v0,moscap_typical,-40,-0.45,10,10,100,4.2994E-15,0.042994
