device,mim_corner,temp_c,vbias_v,w_um,l_um,area_um2,c_f,c_density_ff_per_um2
cap_mim_1f0_m2m3_noshield,mimcap_typical,-40,-1.65,10,10,100,1.11803E-13,1.11803
cap_mim_1f0_m2m3_noshield,mimcap_typical,-40,-1.65,30,30,900,9.27095E-13,1.03011
cap_mim_1f5_m2m3_noshield,mimcap_typical,-40,-1.65,10,10,100,1.61685E-13,1.61685
cap_mim_1f5_m2m3_noshield,mimcap_typical,-40,-1.65,30,30,900,1.36447E-12,1.51608
cap_mim_2f0_m2m3_noshield,mimcap_typical,-40,-1.65,10,10,100,2.08285E-13,2.08285
cap_mim_2f0_m2m3_noshield,mimcap_typical,-40,-1.65,30,30,900,1.81744E-12,2.01938
cap_mim_1f5_m3m4_noshield,mimcap_typical,-40,-1.65,10,10,100,1.61685E-13,1.61685
cap_mim_1f5_m4m5_noshield,mimcap_typical,-40,-1.65,10,10,100,1.61685E-13,1.61685
cap_mim_1f5_m5m6_noshield,mimcap_typical,-40,-1.65,10,10,100,1.61685E-13,1.61685
cap_mim_1f0_m2m3_noshield,mimcap_typical,-40,0,10,10,100,1.11803E-13,1.11803
cap_mim_1f0_m2m3_noshield,mimcap_typical,-40,0,30,30,900,9.27095E-13,1.03011
cap_mim_1f5_m2m3_noshield,mimcap_typical,-40,0,10,10,100,1.61685E-13,1.61685
cap_mim_1f5_m2m3_noshield,mimcap_typical,-40,0,30,30,900,1.36447E-12,1.51608
cap_mim_2f0_m2m3_noshield,mimcap_typical,-40,0,10,10,100,2.08285E-13,2.08285
cap_mim_2f0_m2m3_noshield,mimcap_typical,-40,0,30,30,900,1.81744E-12,2.01938
cap_mim_1f5_m3m4_noshield,mimcap_typical,-40,0,10,10,100,1.61685E-13,1.61685
cap_mim_1f5_m4m5_noshield,mimcap_typical,-40,0,10,10,100,1.61685E-13,1.61685
cap_mim_1f5_m5m6_noshield,mimcap_typical,-40,0,10,10,100,1.61685E-13,1.61685
cap_mim_1f0_m2m3_noshield,mimcap_typical,-40,0.825,10,10,100,1.11803E-13,1.11803
cap_mim_1f0_m2m3_noshield,mimcap_typical,-40,0.825,30,30,900,9.27095E-13,1.03011
cap_mim_1f5_m2m3_noshield,mimcap_typical,-40,0.825,10,10,100,1.61685E-13,1.61685
cap_mim_1f5_m2m3_noshield,mimcap_typical,-40,0.825,30,30,900,1.36447E-12,1.51608
cap_mim_2f0_m2m3_noshield,mimcap_typical,-40,0.825,10,10,100,2.08285E-13,2.08285
cap_mim_2f0_m2m3_noshield,mimcap_typical,-40,0.825,30,30,900,1.81744E-12,2.01938
cap_mim_1f5_m3m4_noshield,mimcap_typical,-40,0.825,10,10,100,1.61685E-13,1.61685
cap_mim_1f5_m4m5_noshield,mimcap_typical,-40,0.825,10,10,100,1.61685E-13,1.61685
cap_mim_1f5_m5m6_noshield,mimcap_typical,-40,0.825,10,10,100,1.61685E-13,1.61685
cap_mim_1f0_m2m3_noshield,mimcap_typical,-40,1.65,10,10,100,1.11803E-13,1.11803
