device,mim_corner,temp_c,size_um,c_at_0v_f,density_at_0v_ff_per_um2,c_spread_over_bias_ppm,voltage_coeff_0_to_3v3_ppm_per_v,area_density_ff_per_um2,perimeter_density_ff_per_um,density_at_0v_large_ff_per_um2
cap_mim_1f0_m2m3_noshield,mimcap_ff,-40,10,1.00623e-13,1.00623,0,0,0.887528,0.296754,0.927095
cap_mim_1f0_m2m3_noshield,mimcap_ff,27,10,1.00713e-13,1.00713,0,0,0.888322,0.297021,0.927924
cap_mim_1f0_m2m3_noshield,mimcap_ff,125,10,1.00836e-13,1.00836,0,0,0.889413,0.297367,0.929062
cap_mim_1f0_m2m3_noshield,mimcap_ss,-40,10,1.22983e-13,1.22983,0,0,1.08475,0.362696,1.13312
cap_mim_1f0_m2m3_noshield,mimcap_ss,27,10,1.23093e-13,1.23093,0,0,1.08573,0.362988,1.13413
cap_mim_1f0_m2m3_noshield,mimcap_ss,125,10,1.23244e-13,1.23244,0,0,1.08706,0.363442,1.13552
cap_mim_1f0_m2m3_noshield,mimcap_typical,-40,10,1.11803e-13,1.11803,0,0,0.986143,0.329717,1.03011
cap_mim_1f0_m2m3_noshield,mimcap_typical,27,10,1.11903e-13,1.11903,0,0,0.987025,0.330013,1.03103
cap_mim_1f0_m2m3_noshield,mimcap_typical,125,10,1.1204e-13,1.1204,0,0,0.988237,0.330408,1.03229
cap_mim_1f5_m2m3_noshield,mimcap_ff,-40,10,1.36624e-13,1.36624,0,0,1.23851,0.319317,1.28109
cap_mim_1f5_m2m3_noshield,mimcap_ff,27,10,1.37036e-13,1.37036,0,0,1.24225,0.320267,1.28495
cap_mim_1f5_m2m3_noshield,mimcap_ff,125,10,1.37487e-13,1.37487,0,0,1.24633,0.321346,1.28918
cap_mim_1f5_m2m3_noshield,mimcap_ss,-40,10,1.86746e-13,1.86746,0,0,1.69287,0.436475,1.75107
cap_mim_1f5_m2m3_noshield,mimcap_ss,27,10,1.8731e-13,1.8731,0,0,1.69798,0.437792,1.75636
cap_mim_1f5_m2m3_noshield,mimcap_ss,125,10,1.87926e-13,1.87926,0,0,1.70357,0.439225,1.76214
cap_mim_1f5_m2m3_noshield,mimcap_typical,-40,10,1.61685e-13,1.61685,0,0,1.46569,0.377896,1.51608
cap_mim_1f5_m2m3_noshield,mimcap_typical,27,10,1.62173e-13,1.62173,0,0,1.47012,0.379029,1.52066
cap_mim_1f5_m2m3_noshield,mimcap_typical,125,10,1.62707e-13,1.62707,0,0,1.47495,0.380304,1.52566
cap_mim_1f5_m3m4_noshield,mimcap_ff,-40,10,1.36624e-13,1.36624,0,0,,,
cap_mim_1f5_m3m4_noshield,mimcap_ff,27,10,1.37036e-13,1.37036,0,0,,,
cap_mim_1f5_m3m4_noshield,mimcap_ff,125,10,1.37487e-13,1.37487,0,0,,,
cap_mim_1f5_m3m4_noshield,mimcap_ss,-40,10,1.86746e-13,1.86746,0,0,,,
cap_mim_1f5_m3m4_noshield,mimcap_ss,27,10,1.8731e-13,1.8731,0,0,,,
cap_mim_1f5_m3m4_noshield,mimcap_ss,125,10,1.87926e-13,1.87926,0,0,,,
cap_mim_1f5_m3m4_noshield,mimcap_typical,-40,10,1.61685e-13,1.61685,0,0,,,
