device,moscap_corner,temp_c,size_um,density_max_ff_per_um2,vbias_at_max_v,density_min_ff_per_um2,vbias_at_min_v,density_at_0v_ff_per_um2,density_at_p1v65_ff_per_um2,density_at_m1v65_ff_per_um2,max_over_min_ratio,knee_v_at_half_swing,usable_bias_min_v,usable_bias_max_v
cap_nmos_03v3,moscap_ff,-40,10,3.5847,1.8,0.0207,-3.3,0.0220543,3.58469,0.0207,173.174,0.633882,0.9,3.3
cap_nmos_03v3,moscap_ff,-40,30,3.5847,1.8,0.0207,-3.3,0.0220543,3.58469,0.0207,173.174,0.633882,0.9,3.3
cap_nmos_03v3,moscap_ff,27,10,3.5847,1.8,0.0207,-3.3,0.0220543,3.58469,0.0207,173.174,0.633882,0.9,3.3
cap_nmos_03v3,moscap_ff,27,30,3.5847,1.8,0.0207,-3.3,0.0220543,3.58469,0.0207,173.174,0.633882,0.9,3.3
cap_nmos_03v3,moscap_ff,125,10,3.5847,1.8,0.0207,-3.3,0.0220543,3.58469,0.0207,173.174,0.633882,0.9,3.3
cap_nmos_03v3,moscap_ff,125,30,3.5847,1.8,0.0207,-3.3,0.0220543,3.58469,0.0207,173.174,0.633882,0.9,3.3
cap_nmos_03v3,moscap_ss,-40,10,4.3813,1.8,0.0253,-3.3,0.0269552,4.38129,0.0253,173.174,0.633883,0.9,3.3
cap_nmos_03v3,moscap_ss,-40,30,4.3813,1.8,0.0253,-3.3,0.0269552,4.38129,0.0253,173.174,0.633883,0.9,3.3
cap_nmos_03v3,moscap_ss,27,10,4.3813,1.8,0.0253,-3.3,0.0269552,4.38129,0.0253,173.174,0.633883,0.9,3.3
cap_nmos_03v3,moscap_ss,27,30,4.3813,1.8,0.0253,-3.3,0.0269552,4.38129,0.0253,173.174,0.633883,0.9,3.3
cap_nmos_03v3,moscap_ss,125,10,4.3813,1.8,0.0253,-3.3,0.0269552,4.38129,0.0253,173.174,0.633883,0.9,3.3
cap_nmos_03v3,moscap_ss,125,30,4.3813,1.8,0.0253,-3.3,0.0269552,4.38129,0.0253,173.174,0.633883,0.9,3.3
cap_nmos_03v3,moscap_typical,-40,10,3.983,1.8,0.023,-3.3,0.0245047,3.98299,0.023,173.174,0.633883,0.9,3.3
cap_nmos_03v3,moscap_typical,-40,30,3.983,1.8,0.023,-3.3,0.0245047,3.98299,0.023,173.174,0.633883,0.9,3.3
cap_nmos_03v3,moscap_typical,27,10,3.983,1.8,0.023,-3.3,0.0245047,3.98299,0.023,173.174,0.633883,0.9,3.3
cap_nmos_03v3,moscap_typical,27,30,3.983,1.8,0.023,-3.3,0.0245047,3.98299,0.023,173.174,0.633883,0.9,3.3
cap_nmos_03v3,moscap_typical,125,10,3.983,1.8,0.023,-3.3,0.0245047,3.98299,0.023,173.174,0.633883,0.9,3.3
cap_nmos_03v3,moscap_typical,125,30,3.983,1.8,0.023,-3.3,0.0245047,3.98299,0.023,173.174,0.633883,0.9,3.3
cap_nmos_03v3_b,moscap_ff,-40,10,3.59186,3.3,0.832884,-3.3,2.91368,3.58585,0.888397,4.31256,-0.369962,0.3,3.3
cap_nmos_03v3_b,moscap_ff,-40,30,3.59186,3.3,0.832884,-3.3,2.91368,3.58585,0.888397,4.31256,-0.369962,0.3,3.3
cap_nmos_03v3_b,moscap_ff,27,10,3.59186,3.3,0.832884,-3.3,2.91368,3.58585,0.888397,4.31256,-0.369962,0.3,3.3
cap_nmos_03v3_b,moscap_ff,27,30,3.59186,3.3,0.832884,-3.3,2.91368,3.58585,0.888397,4.31256,-0.369962,0.3,3.3
cap_nmos_03v3_b,moscap_ff,125,10,3.59186,3.3,0.832884,-3.3,2.91368,3.58585,0.888397,4.31256,-0.369962,0.3,3.3
cap_nmos_03v3_b,moscap_ff,125,30,3.59186,3.3,0.832884,-3.3,2.91368,3.58585,0.888397,4.31256,-0.369962,0.3,3.3
cap_nmos_03v3_b,moscap_ss,-40,10,4.39005,3.3,1.01797,-3.3,3.56116,4.38271,1.08582,4.31255,-0.369959,0.3,3.3
cap_nmos_03v3_b,moscap_ss,-40,30,4.39005,3.3,1.01797,-3.3,3.56116,4.38271,1.08582,4.31255,-0.369959,0.3,3.3
cap_nmos_03v3_b,moscap_ss,27,10,4.39005,3.3,1.01797,-3.3,3.56116,4.38271,1.08582,4.31255,-0.369959,0.3,3.3
cap_nmos_03v3_b,moscap_ss,27,30,4.39005,3.3,1.01797,-3.3,3.56116,4.38271,1.08582,4.31255,-0.369959,0.3,3.3
cap_nmos_03v3_b,moscap_ss,125,10,4.39005,3.3,1.01797,-3.3,3.56116,4.38271,1.08582,4.31255,-0.369959,0.3,3.3
cap_nmos_03v3_b,moscap_ss,125,30,4.39005,3.3,1.01797,-3.3,3.56116,4.38271,1.08582,4.31255,-0.369959,0.3,3.3
cap_nmos_03v3_b,moscap_typical,-40,10,3.99095,3.3,0.925427,-3.3,3.23742,3.98428,0.987108,4.31255,-0.369961,0.3,3.3
cap_nmos_03v3_b,moscap_typical,-40,30,3.99095,3.3,0.925427,-3.3,3.23742,3.98428,0.987108,4.31255,-0.369961,0.3,3.3
cap_nmos_03v3_b,moscap_typical,27,10,3.99095,3.3,0.925427,-3.3,3.23742,3.98428,0.987108,4.31255,-0.369961,0.3,3.3
cap_nmos_03v3_b,moscap_typical,27,30,3.99095,3.3,0.925427,-3.3,3.23742,3.98428,0.987108,4.31255,-0.369961,0.3,3.3
cap_nmos_03v3_b,moscap_typical,125,10,3.99095,3.3,0.925427,-3.3,3.23742,3.98428,0.987108,4.31255,-0.369961,0.3,3.3
cap_nmos_03v3_b,moscap_typical,125,30,3.99095,3.3,0.925427,-3.3,3.23742,3.98428,0.987108,4.31255,-0.369961,0.3,3.3
cap_nmos_06v0,moscap_ff,-40,10,1.9593,1.8,0.0333,-3.3,0.033744,1.95929,0.0333,58.8378,0.670661,0.9,3.3
cap_nmos_06v0,moscap_ff,-40,30,1.9593,1.8,0.0333,-3.3,0.033744,1.95929,0.0333,58.8378,0.670661,0.9,3.3
cap_nmos_06v0,moscap_ff,27,10,1.9593,1.8,0.0333,-3.3,0.033744,1.95929,0.0333,58.8378,0.670661,0.9,3.3
cap_nmos_06v0,moscap_ff,27,30,1.9593,1.8,0.0333,-3.3,0.033744,1.95929,0.0333,58.8378,0.670661,0.9,3.3
cap_nmos_06v0,moscap_ff,125,10,1.9593,1.8,0.0333,-3.3,0.033744,1.95929,0.0333,58.8378,0.670661,0.9,3.3
cap_nmos_06v0,moscap_ff,125,30,1.9593,1.8,0.0333,-3.3,0.033744,1.95929,0.0333,58.8378,0.670661,0.9,3.3
cap_nmos_06v0,moscap_ss,-40,10,2.3947,1.8,0.0407,-3.3,0.0412426,2.39469,0.0407,58.8378,0.670661,0.9,3.3
cap_nmos_06v0,moscap_ss,-40,30,2.3947,1.8,0.0407,-3.3,0.0412426,2.39469,0.0407,58.8378,0.670661,0.9,3.3
cap_nmos_06v0,moscap_ss,27,10,2.3947,1.8,0.0407,-3.3,0.0412426,2.39469,0.0407,58.8378,0.670661,0.9,3.3
cap_nmos_06v0,moscap_ss,27,30,2.3947,1.8,0.0407,-3.3,0.0412426,2.39469,0.0407,58.8378,0.670661,0.9,3.3
cap_nmos_06v0,moscap_ss,125,10,2.3947,1.8,0.0407,-3.3,0.0412426,2.39469,0.0407,58.8378,0.670661,0.9,3.3
cap_nmos_06v0,moscap_ss,125,30,2.3947,1.8,0.0407,-3.3,0.0412426,2.39469,0.0407,58.8378,0.670661,0.9,3.3
cap_nmos_06v0,moscap_typical,-40,10,2.177,1.8,0.037,-3.3,0.0374933,2.17699,0.037,58.8378,0.670661,0.9,3.3
cap_nmos_06v0,moscap_typical,-40,30,2.177,1.8,0.037,-3.3,0.0374933,2.17699,0.037,58.8378,0.670661,0.9,3.3
cap_nmos_06v0,moscap_typical,27,10,2.177,1.8,0.037,-3.3,0.0374933,2.17699,0.037,58.8378,0.670661,0.9,3.3
cap_nmos_06v0,moscap_typical,27,30,2.177,1.8,0.037,-3.3,0.0374933,2.17699,0.037,58.8378,0.670661,0.9,3.3
cap_nmos_06v0,moscap_typical,125,10,2.177,1.8,0.037,-3.3,0.0374933,2.17699,0.037,58.8378,0.670661,0.9,3.3
