corner_id,process,temp_c,vin_v,iload_ma,ceff_uf,esr_ohm,vout_v,dc_loop_gain_db,f_crossover_hz,phase_margin_deg,f_180_hz,gain_margin_db,result
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.001,1.79953,131,3731.09,-0.08,2720.45,-5.49,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.05,1.79953,131,3731.09,-0.06,2909.77,-4.32,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.2,1.79953,131,3731.1,0.01,3893.01,0.74,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.5,1.79953,131,3731.11,0.14,1.35923e+06,99.59,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,1,0.001,1.79953,131,2143.37,0.05,2609.85,3.42,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,1,0.05,1.79953,131,2143.37,0.09,3324.35,7.63,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,1,0.2,1.79953,131,2143.37,0.20,1.68986e+06,110.96,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,1,0.5,1.79953,131,2143.39,0.43,2.32143e+06,107.59,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.001,1.79953,130.9,988.594,0.26,2600.89,16.80,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.05,1.79953,130.9,988.595,0.34,1.8769e+06,124.58,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.2,1.79953,130.9,988.602,0.59,2.47154e+06,116.37,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.5,1.79953,130.9,988.646,1.10,2.56576e+06,108.89,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.001,1.79953,143.5,39756.1,-1.66,6240.47,-32.17,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.05,1.79953,143.5,39756.2,-1.43,6714.58,-30.90,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.2,1.79953,143.5,39758.6,-0.72,9334.25,-25.18,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.5,1.79953,143.5,39772.2,0.70,1.79021e+06,62.60,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.001,1.79953,143.5,22841.4,-0.94,4096.28,-29.86,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.05,1.79953,143.5,22841.7,-0.54,5355.46,-25.20,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.2,1.79953,143.5,22845.9,0.70,2.0947e+06,73.06,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.5,1.79953,143.5,22869.9,3.16,2.71002e+06,69.04,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.001,1.79953,143.5,10537,-0.40,2890.77,-22.47,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.05,1.79953,143.5,10537.7,0.47,2.27306e+06,86.38,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.2,1.79953,143.5,10547.4,3.15,2.86124e+06,77.79,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.5,1.79953,143.5,10601.8,8.47,2.95681e+06,70.30,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.001,1.79953,144.3,108245,-4.61,15651.5,-33.61,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.05,1.79953,144.3,108247,-3.98,16813.9,-32.37,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.2,1.79953,144.3,108294,-2.06,23130,-26.83,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.5,1.79953,144.3,108571,1.78,1.6709e+06,44.25,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,1,0.001,1.79953,144.3,62232.2,-2.64,9206.51,-33.20,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,1,0.05,1.79953,144.3,62237.5,-1.54,11953.1,-28.67,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,1,0.2,1.79953,144.3,62324.1,1.81,1.98168e+06,54.94,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,1,0.5,1.79953,144.3,62815,8.48,2.60067e+06,51.18,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,4.7,0.001,1.79953,144.3,28710.8,-1.17,4775.21,-31.16,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,4.7,0.05,1.79953,144.3,28723.2,1.21,2.16249e+06,68.36,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,4.7,0.2,1.79953,144.3,28915.7,8.46,2.75269e+06,59.98,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,4.7,0.5,1.79953,144.3,30026,22.63,2.84744e+06,52.51,FAIL
ff_-40c_2.97v,ff,-40,2.97,10,0.33,0.001,1.79953,143.4,220650,-9.45,35172.5,-31.97,FAIL
ff_-40c_2.97v,ff,-40,2.97,10,0.33,0.05,1.79953,143.4,220669,-8.17,37740.2,-30.75,FAIL
ff_-40c_2.97v,ff,-40,2.97,10,0.33,0.2,1.79953,143.4,221071,-4.26,51552.9,-25.33,FAIL
ff_-40c_2.97v,ff,-40,2.97,10,0.33,0.5,1.79953,143.4,223441,3.43,1.59098e+06,31.15,FAIL
