corner_id,process,temp_c,vin_v,iload_ma,ceff_uf,esr_ohm,pm_base,pm_head,d_pm,gm_base,gm_head,d_gm,f0_base,f0_head,d_f0_pct,res_base,res_head,d_res,result_base,result_head,res_result_base,res_result_head
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.001,27.14,27.14,0,44.39,44.39,0,3330.79,3330.34,-0.0135103,-1.342,-0.09052,1.25148,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.05,27.16,27.16,0,44.37,44.37,0,3330.79,3330.33,-0.0138105,-1.342,-0.09053,1.25147,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.2,27.22,27.22,0,44.3,44.3,0,3330.79,3330.33,-0.0138105,-1.342,-0.09053,1.25147,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.5,27.34,27.34,0,44.18,44.18,0,3330.8,3330.34,-0.0138105,-1.342,-0.09049,1.25151,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.001,15.83,15.83,0,44.35,44.35,0,1844.64,1844.21,-0.0233108,-1.316,-0.1617,1.1543,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.05,15.86,15.86,0,44.33,44.33,0,1844.64,1844.21,-0.0233108,-1.316,-0.1617,1.1543,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.2,15.96,15.96,0,44.27,44.27,0,1844.64,1844.22,-0.0227687,-1.316,-0.1617,1.1543,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.5,16.16,16.16,0,44.14,44.14,0,1844.66,1844.23,-0.0233105,-1.316,-0.1616,1.1544,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.001,7.5,7.5,0,44.34,44.34,0,838.794,838.663,-0.0156177,-1.444,-0.1554,1.2886,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.05,7.57,7.56,-0.01,44.32,44.32,0,838.794,838.663,-0.0156177,-1.444,-0.1554,1.2886,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.2,7.78,7.78,0,44.26,44.25,-0.01,838.799,838.668,-0.0156176,-1.444,-0.1553,1.2887,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.5,8.21,8.2,-0.01,44.13,44.13,0,838.826,838.695,-0.0156171,-1.444,-0.1547,1.2893,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.001,65.27,65.27,0,16.39,16.39,0,217999,217986,-0.00596333,-0.4632,-0.08708,0.37612,PASS,PASS,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.05,66.53,66.53,0,17.62,17.62,0,218050,218039,-0.00504471,-0.4607,-0.0848,0.3759,PASS,PASS,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.2,70.32,70.32,0,21.57,21.57,0,218826,218825,-0.000456984,-0.854,-0.1041,0.7499,PASS,PASS,PASS,PASS
