corner_id,process,temp_c,vin_v,iload_ma,ceff_uf,esr_ohm,vout_v,dc_loop_gain_db,f_crossover_hz,phase_margin_deg,f_180_hz,gain_margin_db,result,resurgence_db,resurgence_result
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.001,1.79945,135.7,3132.84,25.04,1.87811e+06,51.44,FAIL,-0.876,PASS
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.05,1.79945,135.7,3132.84,25.06,1.87502e+06,51.40,FAIL,-0.876,PASS
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.2,1.79945,135.7,3132.84,25.12,1.86572e+06,51.26,FAIL,-0.876,PASS
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.5,1.79945,135.7,3132.85,25.23,1.84775e+06,50.98,FAIL,-0.876,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.001,1.79945,135.7,1741.48,14.58,1.89786e+06,51.36,FAIL,-1.511,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.05,1.79945,135.7,1741.48,14.62,1.89486e+06,51.32,FAIL,-1.511,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.2,1.79945,135.7,1741.48,14.71,1.88577e+06,51.18,FAIL,-1.511,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.5,1.79945,135.7,1741.49,14.90,1.86816e+06,50.91,FAIL,-1.511,PASS
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.001,1.79945,135.6,793.149,6.87,1.90503e+06,51.33,FAIL,-0.8205,PASS
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.05,1.79945,135.6,793.149,6.93,1.90206e+06,51.28,FAIL,-0.8205,PASS
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.2,1.79945,135.6,793.153,7.13,1.89306e+06,51.15,FAIL,-0.8204,PASS
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.5,1.79945,135.6,793.175,7.53,1.8756e+06,50.88,FAIL,-0.8198,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.001,1.79945,146.7,162942,46.82,467027,14.47,PASS,-0.747,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.05,1.79945,146.7,162960,47.77,494607,15.36,PASS,-0.7456,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.2,1.79945,146.7,163225,50.61,612491,18.50,PASS,-0.7245,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.5,1.79945,146.7,164719,56.07,976337,23.44,PASS,-0.6082,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.001,1.79945,146.7,58605.3,74.61,472892,24.29,PASS,-0.5937,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.05,1.79945,146.7,58616.1,75.64,579594,27.35,PASS,-0.592,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.2,1.79945,146.7,58779.5,78.77,1.11463e+06,33.38,PASS,-0.5666,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.5,1.79945,146.7,59714.5,84.96,1.35487e+06,29.37,PASS,-0.4265,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.001,1.79945,146.7,12189.2,61.66,517021,39.08,PASS,-0.8099,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.05,1.79945,146.7,12190.8,62.67,1.3648e+06,45.24,PASS,-0.8083,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.2,1.79945,146.7,12215.7,65.82,1.46017e+06,37.50,PASS,-0.7837,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.5,1.79945,146.7,12357.2,72.31,1.48251e+06,30.75,PASS,-0.6486,PASS
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.001,1.79945,146.9,564577,-10.88,459981,-3.24,FAIL,-1.052,PASS
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.05,1.79945,146.9,565112,-7.65,485953,-2.39,FAIL,-1.034,PASS
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.2,1.79945,146.9,573005,1.58,594154,0.56,FAIL,-0.7868,PASS
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.5,1.79945,146.9,619803,16.40,924586,5.39,FAIL,-0.8744,PASS
ff_-40c_2.97v,ff,-40,2.97,1,1,0.001,1.79945,146.9,299661,20.74,461461,6.44,FAIL,-0.7696,PASS
ff_-40c_2.97v,ff,-40,2.97,1,1,0.05,1.79945,146.9,300472,25.89,554793,9.21,FAIL,-0.7266,PASS
ff_-40c_2.97v,ff,-40,2.97,1,1,0.2,1.79945,146.9,313126,40.07,1.02239e+06,15.37,FAIL,-0.741,PASS
ff_-40c_2.97v,ff,-40,2.97,1,1,0.5,1.79945,146.9,394882,58.66,1.2957e+06,11.92,PASS,-0.5342,PASS
ff_-40c_2.97v,ff,-40,2.97,1,4.7,0.001,1.79945,146.9,93781,65.28,470593,20.18,PASS,-0.5941,PASS
ff_-40c_2.97v,ff,-40,2.97,1,4.7,0.05,1.79945,146.9,94641.2,72.83,1.11633e+06,28.70,PASS,-0.5006,PASS
ff_-40c_2.97v,ff,-40,2.97,1,4.7,0.2,1.79945,146.9,110442,93.51,1.37985e+06,20.80,PASS,-0.606,PASS
ff_-40c_2.97v,ff,-40,2.97,1,4.7,0.5,1.79945,146.9,284277,99.60,1.42787e+06,13.54,PASS,-0.3528,PASS
ff_-40c_2.97v,ff,-40,2.97,10,0.33,0.001,1.79945,145.1,1.15694e+06,-65.69,457348,-15.80,FAIL,-1.781,PASS
ff_-40c_2.97v,ff,-40,2.97,10,0.33,0.05,1.79945,145.1,1.16055e+06,-59.31,482603,-14.98,FAIL,-1.706,PASS
ff_-40c_2.97v,ff,-40,2.97,10,0.33,0.2,1.79945,145.1,1.21313e+06,-44.18,586804,-12.11,FAIL,-1.669,PASS
ff_-40c_2.97v,ff,-40,2.97,10,0.33,0.5,1.79945,145.1,1.45308e+06,-35.06,902166,-7.40,FAIL,-1.743,PASS
ff_-40c_2.97v,ff,-40,2.97,10,1,0.001,1.79945,145.1,673602,-21.77,457852,-6.16,FAIL,-1.205,PASS
ff_-40c_2.97v,ff,-40,2.97,10,1,0.05,1.79945,145.1,681680,-10.69,547634,-3.47,FAIL,-0.984,PASS
ff_-40c_2.97v,ff,-40,2.97,10,1,0.2,1.79945,145.1,810953,10.79,994362,2.60,FAIL,-0.9031,PASS
ff_-40c_2.97v,ff,-40,2.97,10,1,0.5,1.79945,145.1,1.33322e+06,-5.00,1.26774e+06,-0.72,FAIL,-1.274,PASS
ff_-40c_2.97v,ff,-40,2.97,10,4.7,0.001,1.79945,145.1,279717,24.14,463950,7.48,FAIL,-1.076,PASS
ff_-40c_2.97v,ff,-40,2.97,10,4.7,0.05,1.79945,145.1,295288,44.72,1.06838e+06,15.97,FAIL,-0.8758,PASS
ff_-40c_2.97v,ff,-40,2.97,10,4.7,0.2,1.79945,145.1,583224,60.41,1.3499e+06,8.27,FAIL,-0.6378,PASS
ff_-40c_2.97v,ff,-40,2.97,10,4.7,0.5,1.79945,145.1,1.31256e+06,7.21,1.39984e+06,0.95,FAIL,-0.7368,PASS
ff_-40c_2.97v,ff,-40,2.97,25,0.33,0.001,1.79945,143,1.35091e+06,-83.20,457362,-19.21,FAIL,-1.648,PASS
ff_-40c_2.97v,ff,-40,2.97,25,0.33,0.05,1.79945,143,1.35577e+06,-75.80,482424,-18.39,FAIL,-1.551,PASS
ff_-40c_2.97v,ff,-40,2.97,25,0.33,0.2,1.79945,143,1.42548e+06,-59.14,585506,-15.55,FAIL,-1.394,PASS
ff_-40c_2.97v,ff,-40,2.97,25,0.33,0.5,1.79945,143,1.70294e+06,-50.51,895913,-10.89,FAIL,-1.559,PASS
ff_-40c_2.97v,ff,-40,2.97,25,1,0.001,1.79945,143,825944,-36.04,457240,-9.59,FAIL,-0.9185,PASS
ff_-40c_2.97v,ff,-40,2.97,25,1,0.05,1.79945,143,840248,-22.87,546176,-6.93,FAIL,-1.382,PASS
ff_-40c_2.97v,ff,-40,2.97,25,1,0.2,1.79945,143,1.05604e+06,-4.40,986849,-0.90,FAIL,-1.167,PASS
ff_-40c_2.97v,ff,-40,2.97,25,1,0.5,1.79945,143,1.6183e+06,-26.24,1.25882e+06,-4.19,FAIL,-1.47,PASS
ff_-40c_2.97v,ff,-40,2.97,25,4.7,0.001,1.79945,143,354869,13.07,462818,4.03,FAIL,-1.028,PASS
ff_-40c_2.97v,ff,-40,2.97,25,4.7,0.05,1.79945,143,385092,38.09,1.05878e+06,12.48,FAIL,-1.024,PASS
ff_-40c_2.97v,ff,-40,2.97,25,4.7,0.2,1.79945,143,875048,38.07,1.341e+06,4.81,FAIL,-0.8146,PASS
