corner_id,process,temp_c,vin_v,iload_ma,ceff_uf,esr_ohm,pm_base,pm_head,d_pm,gm_base,gm_head,d_gm,f0_base,f0_head,d_f0_pct,res_base,res_head,d_res,result_base,result_head,res_result_base,res_result_head
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.001,25.74,25.74,0,53.64,58.45,4.81,3258.95,3258.96,0.000306847,-0.7886,-0.7885,0.0001,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.05,25.76,25.75,-0.01,53.63,59.89,6.26,3258.94,3258.77,-0.00521642,-0.7886,-0.7895,-0.0009,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.2,25.82,25.82,0,53.62,66.59,12.97,3258.95,3258.96,0.000306847,-0.7886,-0.7885,0.0001,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.5,25.93,25.94,0.01,53.6,78.95,25.35,3258.95,3258.97,0.000613695,-0.7885,-0.7884,0.0001,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.001,15.04,15.04,0,53.63,67.95,14.32,1806.08,1806.08,0,-0.8971,-0.8971,0,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.05,15.07,15.06,-0.01,53.62,73.37,19.75,1806.08,1806.04,-0.00221474,-0.8971,-0.8975,-0.0004,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.2,15.17,15.17,0,53.61,78.75,25.14,1806.08,1806.08,0,-0.8971,-0.8971,0,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.5,15.37,15.37,0,53.59,78.88,25.29,1806.1,1806.1,0,-0.897,-0.897,0,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.001,7.13,7.13,0,53.62,80.65,27.03,821.562,821.559,-0.000365158,-0.9072,-0.9073,-0.0001,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.05,7.2,7.2,0,53.62,78.65,25.03,821.562,821.556,-0.000730316,-0.9072,-0.9074,-0.0002,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.2,7.41,7.41,0,53.61,78.73,25.12,821.566,821.564,-0.000243438,-0.9071,-0.9072,-0.0001,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.5,7.83,7.83,0,53.59,78.86,25.27,821.591,821.589,-0.00024343,-0.9065,-0.9066,-0.0001,FAIL,FAIL,PASS,PASS
