corner_id,process,temp_c,vin_v,iload_ma,ceff_uf,esr_ohm,pm_base,pm_head,d_pm,gm_base,gm_head,d_gm,f0_base,f0_head,d_f0_pct,res_base,res_head,d_res,result_base,result_head,res_result_base,res_result_head
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.001,25.73,25.74,0.01,53.64,53.64,0,3258.75,3258.95,0.00613732,-0.7896,-0.7886,0.001,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.05,25.76,25.76,0,53.63,53.63,0,3258.95,3258.94,-0.000306847,-0.7886,-0.7886,0,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.2,25.8,25.82,0.02,53.62,53.62,0,3258.75,3258.95,0.00613732,-0.7896,-0.7886,0.001,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.5,25.93,25.93,0,53.6,53.6,0,3258.95,3258.95,0,-0.7885,-0.7885,0,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.001,15.03,15.04,0.01,53.62,53.63,0.01,1806.05,1806.08,0.00166108,-0.8975,-0.8971,0.0004,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.05,15.07,15.07,0,53.62,53.62,0,1806.08,1806.08,0,-0.8971,-0.8971,0,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.2,15.16,15.17,0.01,53.61,53.61,0,1806.05,1806.08,0.00166108,-0.8975,-0.8971,0.0004,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.5,15.37,15.37,0,53.59,53.59,0,1806.1,1806.1,0,-0.897,-0.897,0,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.001,7.13,7.13,0,53.62,53.62,0,821.558,821.562,0.00048688,-0.9073,-0.9072,0.0001,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.05,7.2,7.2,0,53.62,53.62,0,821.562,821.562,0,-0.9072,-0.9072,0,FAIL,FAIL,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.2,7.41,7.41,0,53.61,53.61,0,821.563,821.566,0.000365158,-0.9072,-0.9071,0.0001,FAIL,FAIL,PASS,PASS
