corner_id,process,temp_c,vin_v,iload_ma,ceff_uf,esr_ohm,vout_v,dc_loop_gain_db,f_crossover_hz,phase_margin_deg,f_180_hz,gain_margin_db,result
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.001,1.79945,135.7,3129.27,26.69,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.05,1.79945,135.7,3129.27,26.71,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.2,1.79945,135.7,3129.27,26.77,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.5,1.79945,135.7,3129.28,26.88,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,1,0.001,1.79945,135.7,1735.42,15.53,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,1,0.05,1.79945,135.7,1735.42,15.56,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,1,0.2,1.79945,135.7,1735.42,15.66,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,1,0.5,1.79945,135.7,1735.44,15.84,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.001,1.79945,135.6,789.761,7.30,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.05,1.79945,135.6,789.761,7.37,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.2,1.79945,135.6,789.765,7.57,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.5,1.79945,135.6,789.787,7.97,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.001,1.79945,146.7,223943,80.02,746183,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.05,1.79945,146.7,224014,81.32,745432,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.2,1.79945,146.7,225073,85.26,737367,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.5,1.79945,146.7,231325,93.03,701104,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.001,1.79945,146.7,63477.3,90.05,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.05,1.79945,146.7,63492.4,91.17,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.2,1.79945,146.7,63721.3,94.60,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.5,1.79945,146.7,65041.1,101.56,767996,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.001,1.79945,146.7,12419.8,66.31,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.05,1.79945,146.7,12421.5,67.34,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.2,1.79945,146.7,12447.7,70.55,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.5,1.79945,146.7,12597.1,77.21,777196,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.001,1.79945,146.9,1.12864e+06,197.53,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.05,1.79945,146.9,1.13011e+06,204.08,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.2,1.79945,146.9,1.14932e+06,222.89,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.5,1.79945,146.9,1.23557e+06,248.64,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,1,1,0.001,1.79945,146.9,952972,190.76,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,1,1,0.05,1.79945,146.9,958881,207.83,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,1,1,0.2,1.79945,146.9,1.02126e+06,247.28,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,1,1,0.5,1.79945,146.9,1.17898e+06,271.85,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,1,4.7,0.001,1.79945,146.9,107870,88.02,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,1,4.7,0.05,1.79945,146.9,109430,96.91,785376,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,1,4.7,0.2,1.79945,146.9,148394,126.23,508871,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,1,4.7,0.5,1.79945,146.9,1.17022e+06,283.61,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,10,0.33,0.001,1.79945,145.1,1.48625e+06,191.72,,inf,PASS
