corner_id,process,temp_c,vin_v,iload_ma,ceff_uf,esr_ohm,vout_v,dc_loop_gain_db,f_crossover_hz,phase_margin_deg,f_180_hz,gain_margin_db,result
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.001,1.80232,89.79,75026.3,48.59,2.34419e+06,56.19,PASS
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.05,1.80232,89.79,75027.9,49.03,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.2,1.80232,89.79,75051.3,50.35,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.5,1.80232,89.79,75182.9,52.98,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.001,1.80232,89.79,31000.6,70.00,2.746e+06,68.56,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.05,1.80232,89.79,31001.9,70.54,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.2,1.80232,89.79,31021.5,72.21,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0,1,0.5,1.80232,89.79,31132.3,75.49,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.001,1.80232,89.78,6994.98,85.32,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.05,1.80232,89.78,6995.36,85.89,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.2,1.80232,89.78,7000.98,87.67,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.5,1.80232,89.78,7032.69,91.21,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.001,1.80223,95.08,329442,12.50,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.05,1.80223,95.08,329536,14.41,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.2,1.80223,95.08,330977,20.21,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.5,1.80223,95.08,339452,31.49,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.001,1.80223,95.08,184757,21.56,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.05,1.80223,95.08,184923,24.81,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.2,1.80223,95.08,187443,34.47,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.5,1.80223,95.08,202214,52.21,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.001,1.80223,95.08,74800.5,44.33,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.05,1.80223,95.08,75100.1,50.42,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.2,1.80223,95.08,79867.9,67.58,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.5,1.80223,95.08,112952,91.82,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.001,1.80214,95.43,851733,4.69,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.05,1.80214,95.43,853343,9.63,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.2,1.80214,95.43,878455,24.46,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.5,1.80214,95.43,1.03003e+06,50.66,,inf,PASS
ff_-40c_2.97v,ff,-40,2.97,1,1,0.001,1.80214,95.43,487738,8.07,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,1,0.05,1.80214,95.43,490609,16.61,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,1,0.2,1.80214,95.43,535836,41.14,,inf,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,1,0.5,1.80214,95.43,807032,73.24,,inf,PASS
