corner_id,process,temp_c,vin_v,iload_ma,ceff_uf,esr_ohm,vout_v,dc_loop_gain_db,f_crossover_hz,phase_margin_deg,f_180_hz,gain_margin_db,result
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.001,1.79953,131,3732.59,1.69,356062,76.03,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.05,1.79953,131,3732.59,1.71,680826,87.07,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.2,1.79953,131,3732.59,1.78,4.26555e+06,109.32,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,0.33,0.5,1.79953,131,3732.6,1.91,5.24477e+06,103.81,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,1,0.001,1.79953,131,2142.89,1.06,361786,85.94,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,1,0.05,1.79953,131,2142.89,1.09,3.67317e+06,119.27,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,1,0.2,1.79953,131,2142.89,1.21,5.34726e+06,111.97,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,1,0.5,1.79953,131,2142.91,1.44,5.6239e+06,104.49,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.001,1.79953,130.9,988.174,0.72,399421,101.08,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.05,1.79953,130.9,988.174,0.81,5.41761e+06,124.14,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.2,1.79953,130.9,988.182,1.06,5.70633e+06,112.58,FAIL
ff_-40c_2.97v,ff,-40,2.97,0,4.7,0.5,1.79953,130.9,988.225,1.56,5.7613e+06,104.71,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.001,1.79953,143.5,43199.8,10.20,480066,40.06,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.05,1.79953,143.5,43199.9,10.45,1.62663e+06,60.32,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.2,1.79953,143.5,43203.3,11.22,5.66528e+06,73.56,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,0.33,0.5,1.79953,143.5,43222.7,12.76,6.8921e+06,69.00,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.001,1.79953,143.5,23693.2,8.32,493551,50.16,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.05,1.79953,143.5,23693.5,8.74,5.00566e+06,83.36,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.2,1.79953,143.5,23698.6,10.02,7.03358e+06,77.30,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,1,0.5,1.79953,143.5,23727.4,12.59,7.42278e+06,70.23,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.001,1.79953,143.5,10623,4.50,593681,66.76,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.05,1.79953,143.5,10623.6,5.38,7.13117e+06,89.57,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.2,1.79953,143.5,10633.7,8.08,7.54124e+06,78.44,FAIL
ff_-40c_2.97v,ff,-40,2.97,0.1,4.7,0.5,1.79953,143.5,10690,13.48,7.62161e+06,70.66,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.001,1.79953,144.3,127058,6.24,441916,21.23,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.05,1.79953,144.3,127062,6.97,1.32366e+06,39.65,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.2,1.79953,144.3,127146,9.23,5.41583e+06,56.03,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,0.33,0.5,1.79953,144.3,127627,13.73,6.6995e+06,51.79,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,1,0.001,1.79953,144.3,70551,9.29,450993,31.21,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,1,0.05,1.79953,144.3,70559.7,10.54,4.72566e+06,65.58,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,1,0.2,1.79953,144.3,70698.9,14.34,6.84656e+06,60.10,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,1,0.5,1.79953,144.3,71487.6,21.87,7.24914e+06,53.10,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,4.7,0.001,1.79953,144.3,30273.2,9.41,525390,47.27,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,4.7,0.05,1.79953,144.3,30289.6,11.92,6.94824e+06,72.39,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,4.7,0.2,1.79953,144.3,30540,19.61,7.37818e+06,61.34,FAIL
ff_-40c_2.97v,ff,-40,2.97,1,4.7,0.5,1.79953,144.3,31970.3,34.81,7.46061e+06,53.57,FAIL
ff_-40c_2.97v,ff,-40,2.97,10,0.33,0.001,1.79953,143.4,264516,2.35,427804,8.24,FAIL
ff_-40c_2.97v,ff,-40,2.97,10,0.33,0.05,1.79953,143.4,264554,3.88,1.14098e+06,24.81,FAIL
ff_-40c_2.97v,ff,-40,2.97,10,0.33,0.2,1.79953,143.4,265284,8.57,5.24244e+06,43.46,FAIL
ff_-40c_2.97v,ff,-40,2.97,10,0.33,0.5,1.79953,143.4,269513,17.82,6.55283e+06,39.43,FAIL
ff_-40c_2.97v,ff,-40,2.97,10,1,0.001,1.79953,143.4,150219,5.27,429241,17.93,FAIL
