corner_id,corner,temp_c,vin_v,cout,esr_ohm,rload_ohm,t_v04,t_v14,t_startup,vout_max_en,vout_settled,icap_peak_ma,isup_peak_ma,dvout_max,dvout_min,ssr_end,hg_end,vout_pp_late,vout_off_tran,pg_off_tran,ssr_off_tran,hg_off_tran,slope_vpms,t_startup_ms
ff_-40c_2.97v_0.33u_0.001_36,ff,-40,2.97,0.33u,0.001,36,0.000285699,0.000665203,0.000742439,1.79945,1.79945,60.917,63.8376,129.437,-16.697,2.15667,2.97,3.78219e-09,2.76412e-09,2.97002,1.21839e-08,7.81164e-06,2.63502,0.742439
ff_-40c_2.97v_0.33u_0.5_36,ff,-40,2.97,0.33u,0.5,36,0.000285698,0.000665203,0.000742441,1.79945,1.79945,87.4111,90.5385,230.816,-26.4804,2.15667,2.97,1.55811e-07,-6.24899e-08,2.97006,2.05388e-08,9.63803e-06,2.63501,0.742441
ff_-40c_2.97v_1u_0.1_1e9,ff,-40,2.97,1u,0.1,1e9,0.000285637,0.000665158,0.000742269,1.79978,1.79945,80.9543,80.9892,62.3822,-0.000739608,2.15667,2.97,1.54335e-07,1.79765,2.96999,7.1992e-09,4.26134e-06,2.6349,0.742269
ff_-40c_2.97v_1u_0.1_36,ff,-40,2.97,1u,0.1,36,0.000285695,0.000665202,0.000742427,1.79945,1.79945,73.6703,75.0863,54.4892,-2.7025,2.15667,2.97,1.09337e-08,1.82892e-09,2.97,9.98918e-09,8.53312e-06,2.635,0.742427
ff_-40c_2.97v_4.7u_0.001_36,ff,-40,2.97,4.7u,0.001,36,0.000285681,0.000665194,0.000742344,1.79945,1.79945,70.3125,70.5548,10.4965,-0.228357,2.15667,2.97,1.72245e-09,0.00882418,2.97004,1.56841e-08,8.91345e-06,2.63496,0.742344
ff_-40c_2.97v_4.7u_0.5_36,ff,-40,2.97,4.7u,0.5,36,0.000285682,0.000665195,0.000742346,1.79945,1.79945,74.9282,76.2582,30.2147,-23.6837,2.15667,2.97,7.16807e-07,0.0093603,2.97002,1.27982e-08,8.82417e-06,2.63496,0.742346
ff_-40c_3.30v_1u_0.1_36,ff,-40,3.30,1u,0.1,36,0.00041922,0.000815557,0.000901135,1.79942,1.79942,7.12134,50.2252,6.49601,-0.000162273,2.23599,3.3,5.07699e-08,-3.67285e-09,3.30005,6.56376e-08,9.47404e-06,2.52311,0.901135
ff_-40c_3.63v_0.33u_0.001_36,ff,-40,3.63,0.33u,0.001,36,0.000586699,0.000982197,0.001068,1.79921,1.79921,3.62072,50.0007,8.80137,-0.000281982,2.31109,3.63,2.80705e-09,2.34896e-08,3.62998,4.19743e-08,7.83236e-06,2.52846,1.068
ff_-40c_3.63v_0.33u_0.5_36,ff,-40,3.63,0.33u,0.5,36,0.000586699,0.000982197,0.001068,1.79921,1.79921,3.41219,50.0007,8.60378,-0.00030465,2.31109,3.63,2.09482e-08,9.91378e-08,3.62994,-1.1901e-08,9.0074e-06,2.52846,1.068
ff_-40c_3.63v_1u_0.1_1e9,ff,-40,3.63,1u,0.1,1e9,0.000586649,0.000982161,0.00106786,1.7995,1.79922,8.16158,8.2012,7.40164,-0.000730301,2.31109,3.63,7.56524e-08,1.79742,3.63002,-7.35793e-08,4.01839e-06,2.52837,1.06786
ff_-40c_3.63v_1u_0.1_36,ff,-40,3.63,1u,0.1,36,0.000586696,0.000982196,0.00106799,1.79921,1.79921,7.52679,50.2164,7.11184,-0.000238434,2.31109,3.63,6.62105e-09,3.64392e-08,3.62994,-1.75118e-08,9.02379e-06,2.52845,1.06799
ff_-40c_3.63v_4.7u_0.001_36,ff,-40,3.63,4.7u,0.001,36,0.000586687,0.000982192,0.00106793,1.79921,1.79921,56.4971,57.4648,10.5975,-2.62918e-07,2.31109,3.63,8.18765e-10,0.0088207,3.63003,-1.97368e-08,1.1008e-05,2.52841,1.06793
ff_-40c_3.63v_4.7u_0.5_36,ff,-40,3.63,4.7u,0.5,36,0.000586687,0.000982192,0.00106793,1.79921,1.79921,35.4877,55.4548,8.03355,-1.83549e-05,2.31109,3.63,8.00628e-08,0.00935628,3.63003,-2.06317e-08,1.11105e-05,2.52841,1.06793
ff_125c_2.97v_0.33u_0.001_36,ff,125,2.97,0.33u,0.001,36,0.000309778,0.000648738,0.000729009,1.79711,1.79711,3.1322,49.9397,8.22833,-0.000223483,1.98709,2.97,1.87589e-09,6.05968e-06,2.96999,9.76274e-08,1.29525e-06,2.9502,0.729009
ff_125c_2.97v_0.33u_0.5_36,ff,125,2.97,0.33u,0.5,36,0.000309778,0.000648738,0.000729009,1.79711,1.79711,2.91703,49.9397,7.9434,-0.000222687,1.98709,2.97,1.00586e-09,6.06604e-06,2.96999,5.31564e-08,1.54571e-06,2.9502,0.729009
ff_125c_2.97v_1u_0.1_1e9,ff,125,2.97,1u,0.1,1e9,0.000309681,0.000648666,0.000728653,1.79778,1.79714,8.17171,8.21062,7.06024,-0.000562128,1.98709,2.97,4.64738e-05,1.79543,2.97,5.05808e-08,4.18498e-07,2.94998,0.728653
ff_125c_2.97v_1u_0.1_36,ff,125,2.97,1u,0.1,36,0.000309771,0.000648736,0.000728984,1.79711,1.79711,7.35761,50.0647,6.50119,-1.83419e-05,1.98709,2.97,3.23013e-08,6.05816e-06,2.97001,9.88877e-09,2.37966e-06,2.95016,0.728984
ff_125c_2.97v_4.7u_0.001_36,ff,125,2.97,4.7u,0.001,36,0.00030975,0.000648724,0.000728851,1.79711,1.79711,56.2774,57.6569,11.5841,-8.52618e-07,1.98709,2.97,1.50082e-09,0.00881503,2.97,4.55604e-08,2.09785e-06,2.95008,0.728851
ff_125c_2.97v_4.7u_0.5_36,ff,125,2.97,4.7u,0.5,36,0.00030975,0.000648724,0.000728851,1.79711,1.79711,37.6462,55.4385,9.09256,-0.000112527,1.98709,2.97,1.85267e-07,0.00934989,2.96999,8.72618e-08,1.89502e-06,2.95008,0.728851
ff_27c_2.97v_1u_0.1_36,ff,27,2.97,1u,0.1,36,0.0002852,0.000643891,0.000720563,1.79934,1.79934,9.00729,50.1822,5.0157,-0.202951,2.08824,2.97,6.04507e-08,2.07281e-08,2.96996,-1.56572e-09,3.52245e-06,2.78791,0.720563
ff_27c_3.30v_1u_0.1_36,ff,27,3.30,1u,0.1,36,0.000415831,0.000782653,0.000863839,1.79917,1.79917,8.71497,50.1596,7.0038,-0.000652209,2.16691,3.3,2.58164e-09,2.01493e-08,3.3,-3.38921e-08,9.87704e-07,2.72612,0.863839
ff_27c_3.63v_1u_0.1_36,ff,27,3.63,1u,0.1,36,0.000564238,0.000930365,0.00102061,1.77317,1.77317,8.18012,49.6455,7.3419,-0.000229864,2.24155,3.63,5.02109e-08,4.05442e-08,3.62999,-1.83162e-08,4.5449e-06,2.73129,1.02061
fs_-40c_2.97v_1u_0.1_36,fs,-40,2.97,1u,0.1,36,0.000324073,0.000853228,0.000950177,1.79946,1.79946,193.253,195.314,185.007,-208.949,2.32378,2.97,1.41221e-06,-4.23805e-09,2.97003,-4.11702e-08,1.20681e-05,1.88981,0.950177
fs_-40c_3.30v_1u_0.1_36,fs,-40,3.30,1u,0.1,36,0.000362943,0.000896529,0.00103975,1.79944,1.79944,66.1142,67.1956,78.4424,-2.45371,2.41159,3.3,1.88263e-07,-3.51407e-09,3.30004,2.66772e-08,1.35468e-05,1.87411,1.03975
fs_-40c_3.63v_1u_0.1_36,fs,-40,3.63,1u,0.1,36,0.000496219,0.00108338,0.00125883,1.79939,1.79939,4.93256,50.0456,4.47703,-0.000119049,2.4946,3.63,1.09689e-09,-9.06638e-09,3.6301,-2.52026e-08,1.59601e-05,1.70311,1.25883
fs_125c_2.97v_1u_0.1_36,fs,125,2.97,1u,0.1,36,0.000277492,0.000715674,0.000837991,1.79921,1.79921,114.05,117.286,127.961,-4.56189,2.155,2.97,3.98145e-08,9.85463e-08,2.97001,-1.85418e-07,2.54757e-06,2.28216,0.837991
fs_125c_3.30v_1u_0.1_36,fs,125,3.30,1u,0.1,36,0.000350868,0.000844352,0.00100527,1.79918,1.79918,26.9767,49.9984,16.1009,-0.684533,2.24078,3.3,9.26837e-08,1.10965e-07,3.30001,4.63907e-08,2.23014e-06,2.02641,1.00527
fs_125c_3.63v_1u_0.1_36,fs,125,3.63,1u,0.1,36,0.000512249,0.00102119,0.00119091,1.79888,1.79888,5.71724,49.995,4.91792,-0.000172047,2.32228,3.63,3.28995e-08,1.29894e-07,3.63,-1.06025e-07,1.09274e-07,1.96486,1.19091
fs_27c_2.97v_1u_0.1_36,fs,27,2.97,1u,0.1,36,0.000295673,0.000773359,0.000857808,1.79937,1.79937,178.999,181.114,186.369,-170.176,2.25566,2.97,6.42381e-06,6.6654e-09,2.96997,4.03187e-09,3.36994e-06,2.09343,0.857808
