corner_id,iload_a,ceff_f,esr_ohm,pm_deg[ngspice-46-pinned],gm_db[ngspice-46-pinned],pm_deg[ngspice-46-fresh],gm_db[ngspice-46-fresh],pm_deg[ngspice-47],gm_db[ngspice-47],dpm_deg[ngspice-46-fresh-ngspice-46-pinned],dgm_db[ngspice-46-fresh-ngspice-46-pinned],dpm_deg[ngspice-47-ngspice-46-pinned],dgm_db[ngspice-47-ngspice-46-pinned]
ff_125c_2.97v,0,1e-06,0.001,6.772000,78.557200,6.772000,78.557200,6.772000,78.557200,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0,1e-06,0.05,6.782000,81.720400,6.782000,81.720400,6.782000,81.720400,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0,1e-06,0.2,6.829000,80.677400,6.829000,80.677400,6.829000,80.677400,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0,1e-06,0.5,6.923000,80.770700,6.923000,80.770700,6.923000,80.770700,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0,3.3e-07,0.001,11.108000,69.433700,11.108000,69.433700,11.108000,69.433700,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0,3.3e-07,0.05,11.109000,70.394600,11.109000,70.394600,11.109000,70.394600,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0,3.3e-07,0.2,11.136000,74.185200,11.136000,74.185200,11.136000,74.185200,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0,3.3e-07,0.5,11.190000,80.779800,11.190000,80.779800,11.190000,80.779800,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0,4.7e-06,0.001,4.083000,89.518200,4.083000,89.518200,4.083000,89.518200,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0,4.7e-06,0.05,4.114000,80.628000,4.114000,80.628000,4.114000,80.628000,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0,4.7e-06,0.2,4.215000,80.673900,4.215000,80.673900,4.215000,80.673900,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0,4.7e-06,0.5,4.417000,80.767200,4.417000,80.767200,4.417000,80.767200,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0.0001,1e-06,0.001,65.877000,34.961000,65.877000,34.961000,65.877000,34.961000,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0.0001,1e-06,0.05,65.655000,39.269700,65.655000,39.269700,66.256000,39.429000,0.000000,0.000000,0.601000,0.159300
ff_125c_2.97v,0.0001,1e-06,0.2,67.422000,50.037300,67.422000,50.037300,67.422000,50.037300,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0.0001,1e-06,0.5,69.147000,46.048900,69.147000,46.048900,69.777000,45.478200,0.000000,0.000000,0.630000,-0.570700
ff_125c_2.97v,0.0001,3.3e-07,0.001,68.099000,25.284300,68.099000,25.284300,68.099000,25.284300,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0.0001,3.3e-07,0.05,67.942000,26.444600,67.942000,26.444600,68.491000,26.548200,0.000000,0.000000,0.549000,0.103600
ff_125c_2.97v,0.0001,3.3e-07,0.2,69.687000,31.726900,69.687000,31.726900,69.687000,31.726900,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0.0001,3.3e-07,0.5,71.462000,40.626100,71.462000,40.626100,72.058000,40.246200,0.000000,0.000000,0.596000,-0.379900
ff_125c_2.97v,0.0001,4.7e-06,0.001,35.913000,48.670400,35.913000,48.670400,35.913000,48.670400,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0.0001,4.7e-06,0.05,36.087000,64.496000,36.087000,64.496000,36.482000,63.924100,0.000000,0.000000,0.395000,-0.571900
ff_125c_2.97v,0.0001,4.7e-06,0.2,38.235000,54.437600,38.235000,54.437600,38.235000,54.437600,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0.0001,4.7e-06,0.5,41.378000,47.355700,41.378000,47.355700,41.785000,46.774100,0.000000,0.000000,0.407000,-0.581600
ff_125c_2.97v,0.001,1e-06,0.001,69.680000,23.797000,69.680000,23.797000,69.680000,23.797000,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0.001,1e-06,0.05,71.018000,27.076000,71.018000,27.076000,71.018000,27.076000,0.000000,0.000000,0.000000,0.000000
ff_125c_2.97v,0.001,1e-06,0.2,75.131000,31.416300,75.131000,31.416300,73.846000,32.324000,0.000000,0.000000,-1.285000,0.907700
