corner_id,corner,temp_c,vin_v,cout,esr,rload,arm,fit_slope_v_per_s,fit_t0_us,fit_ceiling_v,m_icap_peak_ma,m_icap_peak_acq_ma,m_icap_peak_ramp_ma,m_isup_peak_ma,m_t_startup,m_vout_settled,m_vout_max_en,m_dvout_max,m_dvout_min,m_vout_at_hr,m_ssr_at_hr,m_ssr_end,m_hg_end,m_t_v04,m_t_v14,error
tt_-40c_2.97v,tt,-40.0,2.97,1u,0.1,36,internal,1388.1,158.576,2.25312,269.918,269.918,1.82337,274.951,0.000922089,1.79947,1.79947,257.803,-614.499,1.1907,0.751624,2.25312,2.97,0.00026649,0.000815912,
tt_-40c_2.97v,tt,-40.0,2.97,1u,0.1,36,ideal,1388.1,158.576,2.25312,245.748,245.748,1.81289,250.746,0.000922008,1.79947,1.79947,259.799,-362.621,1.1906,0.75155,2.25312,2.97,0.00026648,0.000815939,
tt_-40c_3.30v,tt,-40.0,3.3,1u,0.1,36,internal,1388.45,162.56,2.33774,272.42,272.42,1.84504,275.062,0.000940148,1.79944,1.79944,351.707,-486.205,1.14783,0.746278,2.33774,3.3,0.000296229,0.000837229,
tt_-40c_3.30v,tt,-40.0,3.3,1u,0.1,36,ideal,1388.45,162.56,2.33774,283.15,283.15,1.84436,286.11,0.000940066,1.79944,1.79944,371.903,-905.678,1.14774,0.74621,2.33774,3.3,0.000296226,0.000837247,
tt_-40c_3.63v,tt,-40.0,3.63,1u,0.1,36,internal,1388.77,166.174,2.41779,253.391,253.391,1.86749,256.179,0.000961384,1.79937,1.79937,299.648,-420.386,1.10255,0.741428,2.41779,3.63,0.000324992,0.000859881,
tt_-40c_3.63v,tt,-40.0,3.63,1u,0.1,36,ideal,1388.77,166.174,2.41779,285.222,285.222,1.86748,287.792,0.000961299,1.79937,1.79937,371.048,-566.273,1.10246,0.741363,2.41779,3.63,0.000324995,0.000859892,
tt_27c_2.97v,tt,27.0,2.97,1u,0.1,36,internal,1563.6,158.188,2.18417,232.653,232.653,2.01263,237.283,0.000829059,1.79938,1.79938,240.305,-86.4644,1.31322,0.847227,2.18417,2.97,0.000249941,0.000743299,
tt_27c_2.97v,tt,27.0,2.97,1u,0.1,36,ideal,1563.6,158.188,2.18417,230.296,230.296,2.00865,234.933,0.000828992,1.79938,1.79938,255.696,-410.619,1.31316,0.847178,2.18417,2.97,0.000249932,0.00074332,
tt_27c_3.30v,tt,27.0,3.3,1u,0.1,36,internal,1563.98,161.728,2.26799,230.238,230.238,2.06364,234.229,0.000844829,1.79934,1.79934,263.861,-321.3,1.27417,0.841893,2.26799,3.3,0.000275654,0.0007617,
tt_27c_3.30v,tt,27.0,3.3,1u,0.1,36,ideal,1563.98,161.728,2.26799,228.599,228.599,2.04477,231.155,0.000844763,1.79934,1.79934,276.226,-394.01,1.27411,0.841848,2.26799,3.3,0.00027565,0.000761714,
tt_27c_3.63v,tt,27.0,3.63,1u,0.1,36,internal,1564.33,164.93,2.34746,202.896,202.896,2.07802,204.984,0.000879014,1.79925,1.79925,177.188,-44.0934,1.23281,0.837067,2.34746,3.63,0.000300143,0.000781075,
tt_27c_3.63v,tt,27.0,3.63,1u,0.1,36,ideal,1564.33,164.93,2.34746,198.247,198.247,2.06951,200.194,0.000878935,1.79925,1.79925,185.411,-51.813,1.23276,0.837025,2.34746,3.63,0.000300143,0.000781084,
