corner_id,corner,temp_c,vin_v,variant,ssr_cmd_v,ssr_v,fb_v,vout_v,iinj_ua,pass_gate_v,erramp_out_v,isup_a,gmsum_v,in_regulation
ff_-40c_2.97v,ff,-40,2.97,binj,0,0.000000,1.200130,0.000190,6.00002,2.969770,2.969770,2.012700e-05,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.025,0.025000,1.199640,0.036951,5.87503,2.290390,2.290390,1.043450e-03,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.05,0.050000,1.199640,0.074451,5.75003,2.253940,2.253940,2.085040e-03,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.075,0.075000,1.199640,0.111951,5.62503,2.228870,2.228870,3.126630e-03,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.1,0.100000,1.199640,0.149451,5.50003,2.208660,2.208660,4.168220e-03,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.125,0.125000,1.199640,0.186951,5.37503,2.191220,2.191220,5.209810e-03,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.15,0.150000,1.199640,0.224451,5.25003,2.175590,2.175590,6.251400e-03,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.175,0.175000,1.199640,0.261951,5.12503,2.161250,2.161250,7.292990e-03,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.2,0.200000,1.199640,0.299451,5.00003,2.147870,2.147870,8.334580e-03,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.225,0.225000,1.199630,0.336951,4.87498,2.135260,2.135260,9.376170e-03,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.25,0.250000,1.199630,0.374451,4.74998,2.123260,2.123260,1.041780e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.275,0.275000,1.199630,0.411951,4.62498,2.111770,2.111770,1.145940e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.3,0.300000,1.199630,0.449451,4.49998,2.100720,2.100720,1.250090e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.325,0.325000,1.199630,0.486951,4.37498,2.090030,2.090030,1.354250e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.35,0.350000,1.199630,0.524451,4.24998,2.079660,2.079660,1.458410e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.375,0.375000,1.199630,0.561951,4.12498,2.069570,2.069570,1.562570e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.4,0.400000,1.199630,0.599451,3.99998,2.059740,2.059740,1.666730e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.425,0.425000,1.199630,0.636951,3.87498,2.050120,2.050120,1.770890e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.45,0.450000,1.199630,0.674451,3.74998,2.040710,2.040710,1.875050e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.475,0.475000,1.199630,0.711951,3.62498,2.031480,2.031480,1.979210e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.5,0.500000,1.199630,0.749450,3.49998,2.022410,2.022410,2.083370e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.525,0.525000,1.199630,0.786950,3.37498,2.013490,2.013490,2.187530e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.55,0.550000,1.199630,0.824450,3.24998,2.004710,2.004710,2.291690e-02,,yes
ff_-40c_2.97v,ff,-40,2.97,binj,0.575,0.575000,1.199630,0.861950,3.12498,1.996050,1.996050,2.395850e-02,,yes
