corner_id,process,temp_c,vin_v,variant,phase,ssr_cmd,ssr_v,load_model,iload_ma,rload_ohm,ceff_uf,esr_ohm,vout_v,fb_v,iinj_ua,isup_ma,dc_loop_gain_db,f_crossover_hz,phase_margin_deg,f_180_hz,gain_margin_db,resurgence_db,margin_vs_dr0001,resurgence_vs_dr0008
ff_-40c_2.97v,ff,-40,2.97,binj,anchor,free,2.15667,ideal-sink-50mA,50,1e+12,1,0.001,1.79945,1.19963,-1.667e-05,50.01,137.8,376239,42.88,933181,11.06,-0.5305,FAIL,PASS
ff_-40c_2.97v,ff,-40,2.97,binj,anchor,free,2.15667,ideal-sink-50mA,50,1e+12,1,0.05,1.79945,1.19963,-1.667e-05,50.01,137.8,378361,49.35,1.26362e+06,15.24,-0.5261,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,binj,anchor,free,2.15667,ideal-sink-50mA,50,1e+12,1,0.1,1.79945,1.19963,-1.667e-05,50.01,137.8,385086,55.65,1.7527e+06,18.51,-0.5057,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,binj,anchor,free,2.15667,ideal-sink-50mA,50,1e+12,1,0.2,1.79945,1.19963,-1.667e-05,50.01,137.8,415193,67.20,2.28653e+06,17.98,-0.4398,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,binj,anchor,free,2.15667,ideal-sink-50mA,50,1e+12,1,0.5,1.79945,1.19963,-1.667e-05,50.01,137.8,767253,79.08,2.61655e+06,12.47,-0.317,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,binj,anchor,free,2.15667,ideal-sink-50mA,50,1e+12,4.7,0.001,1.79945,1.19963,-1.667e-05,50.01,137.8,98894.1,52.31,950988,24.77,-0.5505,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,binj,anchor,free,2.15667,ideal-sink-50mA,50,1e+12,4.7,0.05,1.79945,1.19963,-1.667e-05,50.01,137.8,99729.2,60.61,2.37461e+06,30.70,-0.5719,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,binj,anchor,free,2.15667,ideal-sink-50mA,50,1e+12,4.7,0.1,1.79945,1.19963,-1.667e-05,50.01,137.8,102409,69.35,2.60978e+06,26.35,-0.5033,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,binj,anchor,free,2.15667,ideal-sink-50mA,50,1e+12,4.7,0.2,1.79945,1.19963,-1.667e-05,50.01,137.8,115573,87.95,2.72051e+06,21.04,-0.3829,PASS,PASS
ff_-40c_2.97v,ff,-40,2.97,binj,anchor,free,2.15667,ideal-sink-50mA,50,1e+12,4.7,0.5,1.79945,1.19963,-1.667e-05,50.01,137.8,660305,103.96,2.7807e+06,13.48,-0.2131,PASS,PASS
ff_-40c_3.30v,ff,-40,3.3,binj,anchor,free,2.23599,ideal-sink-50mA,50,1e+12,1,0.001,1.79942,1.19961,-1.667e-05,50.02,139.3,416580,40.84,993375,10.95,-0.5684,FAIL,PASS
ff_-40c_3.30v,ff,-40,3.3,binj,anchor,free,2.23599,ideal-sink-50mA,50,1e+12,1,0.05,1.79942,1.19961,-1.667e-05,50.02,139.3,419404,47.98,1.41154e+06,15.88,-0.5505,PASS,PASS
ff_-40c_3.30v,ff,-40,3.3,binj,anchor,free,2.23599,ideal-sink-50mA,50,1e+12,1,0.1,1.79942,1.19961,-1.667e-05,50.02,139.3,428309,54.86,2.03417e+06,19.40,-0.551,PASS,PASS
ff_-40c_3.30v,ff,-40,3.3,binj,anchor,free,2.23599,ideal-sink-50mA,50,1e+12,1,0.2,1.79942,1.19961,-1.667e-05,50.02,139.3,468545,67.20,2.61585e+06,18.34,-0.4449,PASS,PASS
ff_-40c_3.30v,ff,-40,3.3,binj,anchor,free,2.23599,ideal-sink-50mA,50,1e+12,1,0.5,1.79942,1.19961,-1.667e-05,50.02,139.3,902869,75.90,2.95508e+06,12.53,-0.342,PASS,PASS
ff_-40c_3.30v,ff,-40,3.3,binj,anchor,free,2.23599,ideal-sink-50mA,50,1e+12,4.7,0.001,1.79942,1.19961,-1.667e-05,50.02,139.3,109972,53.65,1.01486e+06,24.71,-0.5121,PASS,PASS
ff_-40c_3.30v,ff,-40,3.3,binj,anchor,free,2.23599,ideal-sink-50mA,50,1e+12,4.7,0.05,1.79942,1.19961,-1.667e-05,50.02,139.3,111160,62.88,2.70759e+06,30.97,-0.5071,PASS,PASS
ff_-40c_3.30v,ff,-40,3.3,binj,anchor,free,2.23599,ideal-sink-50mA,50,1e+12,4.7,0.1,1.79942,1.19961,-1.667e-05,50.02,139.3,115007,72.61,2.9488e+06,26.43,-0.4738,PASS,PASS
ff_-40c_3.30v,ff,-40,3.3,binj,anchor,free,2.23599,ideal-sink-50mA,50,1e+12,4.7,0.2,1.79942,1.19961,-1.667e-05,50.02,139.3,135181,93.46,3.06201e+06,21.05,-0.3297,PASS,PASS
ff_-40c_3.30v,ff,-40,3.3,binj,anchor,free,2.23599,ideal-sink-50mA,50,1e+12,4.7,0.5,1.79942,1.19961,-1.667e-05,50.02,139.3,827112,95.65,3.12338e+06,13.44,-0.2777,PASS,PASS
ff_-40c_3.63v,ff,-40,3.63,binj,anchor,free,2.31109,ideal-sink-50mA,50,1e+12,1,0.001,1.79933,1.19956,3.333e-05,50.02,139.3,453764,39.06,1.04868e+06,10.85,-0.5959,FAIL,PASS
ff_-40c_3.63v,ff,-40,3.63,binj,anchor,free,2.31109,ideal-sink-50mA,50,1e+12,1,0.05,1.79933,1.19956,3.333e-05,50.02,139.3,457332,46.81,1.56547e+06,16.54,-0.5644,PASS,PASS
ff_-40c_3.63v,ff,-40,3.63,binj,anchor,free,2.31109,ideal-sink-50mA,50,1e+12,1,0.1,1.79933,1.19956,3.333e-05,50.02,139.3,468565,54.21,2.32325e+06,20.16,-0.5278,PASS,PASS
ff_-40c_3.63v,ff,-40,3.63,binj,anchor,free,2.31109,ideal-sink-50mA,50,1e+12,1,0.2,1.79933,1.19956,3.333e-05,50.02,139.3,519709,67.19,2.93879e+06,18.61,-0.4495,PASS,PASS
ff_-40c_3.63v,ff,-40,3.63,binj,anchor,free,2.31109,ideal-sink-50mA,50,1e+12,1,0.5,1.79933,1.19956,3.333e-05,50.02,139.3,1.0296e+06,73.43,3.2849e+06,12.59,-0.377,PASS,PASS
ff_-40c_3.63v,ff,-40,3.63,binj,anchor,free,2.31109,ideal-sink-50mA,50,1e+12,4.7,0.001,1.79933,1.19956,3.333e-05,50.02,139.3,120742,54.66,1.0739e+06,24.65,-0.549,PASS,PASS
ff_-40c_3.63v,ff,-40,3.63,binj,anchor,free,2.31109,ideal-sink-50mA,50,1e+12,4.7,0.05,1.79933,1.19956,3.333e-05,50.02,139.3,122357,64.79,3.03342e+06,31.19,-0.5148,PASS,PASS
ff_-40c_3.63v,ff,-40,3.63,binj,anchor,free,2.31109,ideal-sink-50mA,50,1e+12,4.7,0.1,1.79933,1.19956,3.333e-05,50.02,139.3,127646,75.47,3.27927e+06,26.50,-0.4496,PASS,PASS
ff_-40c_3.63v,ff,-40,3.63,binj,anchor,free,2.31109,ideal-sink-50mA,50,1e+12,4.7,0.2,1.79933,1.19956,3.333e-05,50.02,139.3,157578,98.44,3.3945e+06,21.06,-0.3011,PASS,PASS
ff_-40c_3.63v,ff,-40,3.63,binj,anchor,free,2.31109,ideal-sink-50mA,50,1e+12,4.7,0.5,1.79933,1.19956,3.333e-05,50.02,139.3,970262,90.04,3.45674e+06,13.42,-0.3345,PASS,PASS
ff_27c_2.97v,ff,27,2.97,binj,anchor,free,2.08824,ideal-sink-50mA,50,1e+12,1,0.001,1.79934,1.19956,0,50.02,136.3,308413,48.04,903857,12.22,-0.5303,PASS,PASS
