corner_id,corner,temp_c,vin_v,vout_en,iload_en_ma,isup_en_ua,iref_en_ua,iq_en_ua,vout_off,pg_off,clg_off,isup_off_ua,iref_off_ua,iloop_off_ua,nbias_off,iq_off_ua,ileak_vin_vout_ua,t_startup,vout_settled,vout_max_en,vout_min_reg,isup_peak_ma,clg_min_reg,isup_peak_reg_ma,vout_pp_late,vout_off_tran,vout_max_off,pg_off_tran,t_startup_us
tt_-40c_2.97v,tt,-40,2.97,1.79947,49.9854,49996.4,1.28263,12.3391,3.83901e-05,2.97,2.97,0.000107783,2.39823e-06,6.89661e-06,6.38031e-10,0.000110182,4.27418e-05,0.00411783,1.78344,1.90157,1.70838,229.013,2.91667,198.191,0.185347,8.23178e-09,1.74841e-06,2.96997,4117.83
tt_-40c_3.30v,tt,-40,3.30,1.79944,49.9846,49997.3,1.28264,13.9845,0.00012165,3.3,3.3,0.000211903,2.39823e-06,1.02015e-05,8.37794e-10,0.000214301,0.000135466,0.00419564,1.79601,1.90341,1.72416,252.97,2.37618,252.97,0.157031,3.4306e-09,1.7302e-06,3.30001,4195.64
tt_-40c_3.63v,tt,-40,3.63,1.79937,49.9826,49997,1.28264,15.664,0.000345764,3.63,3.63,0.000480079,2.39823e-06,1.81298e-05,1.30707e-09,0.000482477,0.000385265,0.00424978,1.79855,1.8765,1.71392,271.362,2.49969,268.429,0.110479,1.83787e-08,1.70731e-06,3.62998,4249.78
tt_27c_2.97v,tt,27,2.97,1.79938,49.9828,49994.9,1.44692,13.6293,4.94238e-05,2.97,2.97,0.000122906,2.68513e-06,6.99781e-06,8.11673e-10,0.000125591,5.50209e-05,0.00369088,1.81842,1.88282,1.71436,171.619,2.92145,167.653,0.138108,2.63627e-09,1.70695e-06,2.97,3690.88
tt_27c_3.30v,tt,27,3.30,1.79934,49.9818,49995.8,1.44692,15.4169,0.00013446,3.3,3.3,0.000229895,2.68513e-06,1.02972e-05,1.05554e-09,0.00023258,0.000149729,0.00376132,1.79534,1.86018,1.72491,195.699,2.37012,173.771,0.133969,3.11657e-09,1.70489e-06,3.30001,3761.32
tt_27c_3.63v,tt,27,3.63,1.79925,49.9792,49995,1.44693,17.2409,0.00036085,3.63,3.63,0.000499893,2.68513e-06,1.8326e-05,1.63134e-09,0.000502578,0.000402076,0.0038134,1.82728,1.84669,1.74637,206.142,2.58826,201.499,0.0923136,2.34424e-08,1.77769e-06,3.62996,3813.4
tt_125c_2.97v,tt,125,2.97,1.7992,49.9778,49991.4,1.65667,15.2655,0.0126427,2.97,2.97,0.0143961,0.000192534,3.93359e-05,4.67486e-09,0.0145887,0.0141316,0.00330074,1.78551,1.85009,1.73448,141.035,2.92512,141.035,0.115232,4.99233e-07,2.23551e-06,2.97005,3300.74
tt_125c_3.30v,tt,125,3.30,1.79916,49.9765,49992.1,1.65669,17.2139,0.014144,3.3,3.3,0.016084,0.000192534,4.33308e-05,4.80316e-09,0.0162766,0.0158237,0.00336222,1.78325,1.84118,1.74401,150.12,2.64537,145.713,0.0923145,5.75251e-07,2.27617e-06,3.29997,3362.22
tt_125c_3.63v,tt,125,3.63,1.79902,49.9728,49990.3,1.6567,19.2008,0.0160272,3.63,3.63,0.0182022,0.000192534,5.20404e-05,5.41433e-09,0.0183948,0.0179582,0.00341045,1.81821,1.83212,1.75856,154.931,2.91504,152.627,0.0663378,6.45437e-07,2.38309e-06,3.63001,3410.45
ff_-40c_2.97v,ff,-40,2.97,1.79945,49.9848,49998.9,1.71012,15.8795,6.38069e-05,2.97,2.97,0.000137762,2.40231e-06,7.76837e-06,6.39927e-10,0.000140165,7.10396e-05,0.00282978,1.81761,1.87382,1.72397,240.209,2.60257,233.384,0.144776,8.43425e-09,1.76545e-06,2.96998,2829.78
ff_-40c_3.30v,ff,-40,3.30,1.79942,49.9838,50000.1,1.71012,18.0072,0.000207376,3.3,3.3,0.000312272,2.40231e-06,1.30424e-05,9.42718e-10,0.000314675,0.00023099,0.00286983,1.79837,1.85562,1.74124,252.654,2.47197,243.684,0.0954599,5.05919e-11,1.7221e-06,3.30003,2869.83
ff_-40c_3.63v,ff,-40,3.63,1.79934,49.9815,50000,1.71013,20.1738,0.000575692,3.63,3.63,0.000750111,2.40231e-06,2.57011e-05,1.64954e-09,0.000752513,0.000641862,0.00289966,1.79853,1.85001,1.75088,260.175,2.50827,259.478,0.0956344,1.62315e-08,1.73497e-06,3.63002,2899.66
ff_27c_2.97v,ff,27,2.97,1.79934,49.9818,49997.4,1.92915,17.5755,0.000323348,2.97,2.97,0.0004337,7.36693e-06,8.1228e-06,8.29405e-10,0.000441067,0.000360052,0.00253986,1.81149,1.85858,1.74245,190.391,2.91635,177.589,0.103886,1.3504e-08,1.76216e-06,2.97,2539.86
ff_27c_3.30v,ff,27,3.30,1.7993,49.9806,49998.6,1.92916,19.8864,0.000508402,3.3,3.3,0.000656174,7.36693e-06,1.35127e-05,1.199e-09,0.000663541,0.000566381,0.00257864,1.80441,1.85126,1.75214,209.169,2.62518,195.026,0.085568,2.6885e-08,1.71325e-06,3.29997,2578.64
ff_27c_3.63v,ff,27,3.63,1.79919,49.9776,49997.9,1.92917,22.2396,0.000927403,3.63,3.63,0.00114876,7.36693e-06,2.61955e-05,2.06212e-09,0.00115612,0.00103418,0.00260899,1.81053,1.85009,1.76171,217.528,2.80882,192.58,0.070892,3.89535e-08,1.75247e-06,3.62999,2608.99
ff_125c_2.97v,ff,125,2.97,1.79908,49.9745,49992,2.2088,19.726,0.1439,2.97,2.97,0.162424,0.00169934,0.000328554,3.13924e-08,0.164124,0.168321,0.00229547,1.79218,1.83993,1.76536,157.564,2.93704,143.505,0.0613075,6.06571e-06,7.74173e-06,2.96997,2295.47
ff_125c_3.30v,ff,125,3.30,1.79902,49.9726,49992.7,2.20882,22.2442,0.160446,3.3,3.3,0.180896,0.00169934,0.000340396,3.06867e-08,0.182596,0.189141,0.00233115,1.78405,1.83652,1.76821,154.604,3.18491,150.561,0.0605693,6.81619e-06,8.48926e-06,3.29996,2331.15
ff_125c_3.63v,ff,125,3.63,1.79885,49.968,49990.6,2.20884,24.8086,0.17962,3.63,3.63,0.202319,0.00169934,0.000361243,3.1117e-08,0.204018,0.214294,0.0023606,1.80756,1.83153,1.76977,164.376,3.52075,156.902,0.0529731,7.70773e-06,9.42941e-06,3.63003,2360.6
ss_-40c_2.97v,ss,-40,2.97,1.79948,49.9856,49994.7,1.02613,10.0594,2.49868e-05,2.97,2.97,9.14371e-05,2.39811e-06,6.50021e-06,6.60744e-10,9.38352e-05,2.78147e-05,0.00551491,1.80734,1.90032,1.69379,159.407,2.91304,159.407,0.197609,2.55595e-09,1.78809e-06,2.96999,5514.91
